;de;illinois;state;que;en;justice;million;la;las;black;los;care;el;families;people;across;covid19;help;work;support;states;un;para;pandemic;full;program;communities;forward;#allinillinois;una;child;continue;businesses;pritzker;mask;nation;4;take;new;health;residents;governor;move;business;emergency;phase;tested;public;family;grants;#covid19;lives;provide;wear;safe;illinoisans;together;face;access;without;virus;social;matter;providers;testing;community;hemos;children;moving;local;statement;relief;theres;cannot;site;peoria;opportunity;possible;visit;safely;6;action;home;es;desde;si;moment;proud;another;announce;masks;offer;year;signed;administration;programs;thank;fase;find;wearing
de;0;10;0;22;16;0;0;20;18;0;22;0;16;0;0;0;2;0;0;0;0;12;12;0;0;0;0;0;2;18;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;4;8;0;0;0;0;0;0;0;0;0;0;0;6;0;0
illinois;0;0;14;8;8;4;12;6;6;0;10;8;8;12;8;8;4;2;6;6;16;4;2;8;8;6;6;8;6;4;4;6;4;2;2;6;6;0;2;6;0;2;6;0;4;6;2;4;4;2;6;2;4;4;0;2;2;4;8;0;4;0;2;0;2;0;4;4;8;0;2;6;2;2;0;2;8;2;2;2;2;2;4;2;0;2;2;6;4;6;2;2;6;0;2;2;0;4;2;0
state;0;0;0;0;0;10;8;0;0;8;0;12;0;4;4;20;8;6;4;4;2;0;0;6;2;10;6;6;0;0;10;4;4;6;0;8;2;4;6;4;2;4;2;4;4;2;0;4;2;8;2;2;6;0;0;4;4;0;0;2;0;2;0;6;6;4;0;2;0;6;2;6;0;0;2;2;2;2;2;2;0;2;6;0;0;0;4;2;0;6;2;4;2;0;0;0;2;0;0;0
que;0;0;0;0;16;0;0;22;10;0;20;0;18;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;2;14;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;2;6;0;0;0;0;0;0;0;0;0;0;0;8;0;0
en;0;0;0;0;0;0;0;18;12;0;14;0;14;0;0;0;2;0;0;0;0;6;6;0;0;0;0;0;2;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;6;0;0
justice;0;0;0;0;0;0;0;0;0;16;0;0;0;0;4;4;0;2;4;2;0;0;0;0;6;0;6;2;0;0;0;4;0;0;0;6;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;0;4;0;0;4;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;6;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0
million;0;0;0;0;0;0;0;0;0;2;0;6;0;4;4;6;8;8;4;12;2;0;0;8;0;12;4;0;0;0;4;0;8;0;0;0;0;2;4;0;4;0;0;2;8;0;0;2;2;2;2;2;6;0;0;0;2;0;2;0;0;0;0;4;2;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;6;0;4;2;4;4;0;2;2;0;0;0;0
la;0;0;0;0;0;0;0;0;8;0;16;0;16;0;0;0;2;0;0;0;0;8;6;0;0;0;0;0;2;16;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;2;8;0;0;0;0;0;0;0;0;0;0;0;8;0;0
las;0;0;0;0;0;0;0;0;0;0;12;0;8;0;0;0;2;0;0;0;0;4;8;0;0;0;0;0;2;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
black;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;6;2;6;0;0;0;0;0;0;14;2;0;0;0;2;4;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;4;0;0;2;0;0;6;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0
