;president;house;trump;great;new;people;news;states;white;united;called;man;year;republican;justice;party;good;fbi;election;love;national;committee;2016;order;fake;country;military;big;woman;history;may;suspect;amazing;americans;taking;help;team;china;investigation;night;video;whether;announce;working;department;force;campaign;voted;administration;days;continue;start;puerto;paying;real;win;become;husband;murder;attack;donald;media;terrorist;hard;usa;stop;american;fixed;post;series;games;death;full;economic;thursday;best;friday;practice;together;next;build;men;poll;power;something;nfl;week;nation;vote;times;cambodia;state;navy;system;process;women;thing;senior;obama;thank
president;0;8;14;8;0;2;2;4;2;6;4;4;0;2;4;2;0;2;4;0;2;2;6;2;2;0;0;0;0;4;2;2;0;2;0;0;0;2;4;2;0;2;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;4;2;0;0;0;2;0;0;2;0;0;0;2;4;0;4;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
house;0;0;2;2;0;0;2;4;12;4;4;0;0;2;2;2;2;4;0;0;2;4;2;0;0;0;2;0;0;0;4;0;0;2;0;0;2;2;2;0;0;2;2;0;0;0;4;2;2;0;2;0;2;2;2;0;0;2;2;2;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;4;0;0;2;2;2;0;0;2;0;2;0;4;0;0;0;0;2;0;2;0;0;0;0
trump;0;0;0;4;6;4;4;4;0;4;2;2;0;2;6;2;0;4;2;0;2;2;4;2;4;2;0;0;2;2;0;2;0;2;0;2;0;2;2;2;0;4;0;0;2;0;4;0;2;0;0;2;0;0;0;2;0;2;0;2;6;2;2;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0
great;0;0;0;0;6;2;0;0;2;0;2;4;0;6;0;4;0;0;2;4;2;2;2;0;0;4;2;0;0;2;2;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;4;2;2;0;0;0;0;2;4;2;2;0;0;0;0;4;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;2;2;4;0;0;0;0;0;4;0;0;2;2;0;2;2;2;0;0
people;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;4;0;0;0;2;0;0;6;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;2;2;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0
news;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;10;0;0;4;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;0;0;0;2;2;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;2;14;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;2;2;2;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
united;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0
