;trump;president;people;united;new;national;states;obama;great;administration;news;donald;federal;billion;state;order;government;republican;americans;youthank;fully;american;military;investigating;2016;thank;street;country;fbi;law;used;huge;russia;city;paying;year;place;help;election;york;general;illegal;book;police;think;washington;congress;special;considering;agreed;bill;study;constitution;hillary;may;media;jackets;quickly;learned;clinton;nearly;announced;million;power;amazing;j;little;play;protect;house;china;moving;job;stand;less;night;events;blue;working;called;4;set;asked;best;history;convention;man;beautiful;give;online;week;save;japan;chris;past;another;mayor;game;speech;company
trump;0;16;4;6;2;6;4;2;4;2;4;12;2;2;0;2;2;4;0;0;2;4;2;4;0;2;0;0;2;2;0;0;2;2;2;2;2;0;0;2;0;8;0;0;2;0;0;2;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;2;0;6;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;2;2;0;0;2;2;4;2;0;2;0
president;0;0;6;16;0;4;14;2;4;0;2;4;2;2;0;4;2;0;2;0;2;2;0;4;0;0;0;0;2;0;2;0;2;0;2;0;2;2;0;0;2;4;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;4;0;4;0;2;2;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;2;0;0;2;4;2;0;0;2;0
people;0;0;0;2;4;4;2;6;6;2;6;0;0;0;0;2;2;0;0;0;0;2;0;2;2;2;2;4;4;2;0;0;2;2;0;0;0;2;2;4;0;2;2;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;2;2;2;0;0;0;0;2;2;0;0;0;0;0;2;2;0;4;0;0;0;2;2;0;2;0;0
united;0;0;0;0;0;4;22;4;0;2;0;2;2;4;0;2;2;0;2;0;2;4;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0
new;0;0;0;0;0;4;0;0;8;0;0;0;2;0;4;0;2;2;0;0;2;0;2;0;0;0;2;4;0;2;0;0;2;4;0;2;2;0;0;8;2;2;2;4;0;4;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;2
national;0;0;0;0;0;0;4;0;4;0;2;4;0;0;0;0;0;2;4;0;2;0;4;2;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;4;2;0;2;0;2;0;0;0;2;0;0;2;2;0
states;0;0;0;0;0;0;0;4;0;2;0;2;2;2;0;2;2;0;2;0;2;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0
obama;0;0;0;0;0;0;0;0;0;14;0;0;4;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2
great;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;4;0;0;0;4;0;6;0;4;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;0;2;2;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2
