;trump;great;president;united;states;people;new;house;american;national;federal;news;government;state;white;administration;country;man;working;department;world;obama;fbi;democrats;republican;campaign;thank;senate;party;election;donald;help;big;york;2016;job;washington;police;love;history;best;justice;russia;presidential;court;media;may;americans;good;hillary;committee;military;clinton;former;year;article;fake;security;america;law;million;china;called;bill;investigation;killed;city;team;congress;times;hard;proud;thing;left;released;support;announce;strong;vote;war;post;act;political;story;work;democratic;supreme;economy;trying;important;another;fact;think;reserve;russian;family;report;bernie;amazing;radical
trump;0;138;530;142;140;106;168;144;64;98;46;104;32;54;122;148;48;44;60;64;32;48;104;70;98;196;26;42;58;72;288;34;54;66;84;52;68;10;18;32;26;60;106;82;22;70;40;30;28;56;74;26;60;66;10;12;60;44;28;22;20;34;40;22;58;8;20;32;28;52;38;16;28;32;34;30;16;26;26;26;32;16;30;32;14;36;14;18;22;16;32;46;26;10;40;10;36;20;22;18
great;0;0;152;104;108;192;136;68;134;58;28;66;34;94;52;36;104;50;68;14;40;26;6;42;42;24;96;28;28;42;26;46;66;38;22;116;38;18;84;36;48;10;14;12;12;20;10;34;40;14;2;50;14;22;26;20;16;26;70;18;8;28;22;46;4;4;16;28;26;14;40;44;28;14;0;44;24;58;20;14;22;14;12;20;42;8;6;38;18;20;14;14;18;16;8;36;16;10;36;16
president;0;0;0;268;250;138;98;154;94;62;54;88;40;48;108;42;64;48;60;46;46;84;70;42;34;50;32;52;42;48;98;18;30;24;42;46;42;14;10;46;28;50;50;30;30;62;34;36;36;30;48;28;24;86;14;14;46;46;42;20;8;34;52;32;38;10;10;16;34;26;34;20;30;22;20;20;14;24;22;32;18;18;28;18;10;20;16;22;22;20;28;36;30;4;38;16;20;14;20;30
united;0;0;0;0;1010;142;64;66;78;44;52;38;94;72;42;82;86;18;42;44;92;48;18;18;22;22;34;30;20;32;28;50;28;22;22;24;22;8;20;54;12;24;40;24;48;22;24;24;14;10;8;54;8;10;22;22;14;36;78;18;22;52;24;16;22;22;8;12;16;16;24;24;14;20;18;30;26;18;14;46;20;18;26;18;24;4;32;20;22;34;24;10;24;10;28;16;12;4;18;32
states;0;0;0;0;0;144;72;58;72;44;60;40;102;76;34;76;80;14;40;44;84;52;20;22;26;28;26;34;20;32;30;50;30;20;22;28;20;6;22;50;12;22;36;22;50;24;22;18;18;10;12;50;8;12;24;24;16;34;80;18;30;50;22;20;22;22;10;12;20;16;14;26;14;24;18;28;32;18;16;48;18;22;20;16;24;6;32;18;22;34;24;14;26;14;26;14;18;6;18;36
people;0;0;0;0;0;0;114;46;212;42;52;48;72;60;30;48;68;20;58;22;46;32;36;34;30;20;40;26;34;42;20;38;38;38;28;56;46;18;34;28;30;20;10;16;32;14;22;26;32;28;18;28;22;8;22;12;22;20;46;28;32;26;24;12;20;42;20;14;20;14;32;20;22;38;12;16;16;46;28;18;14;26;14;22;16;22;24;14;14;26;12;30;40;6;12;16;8;12;24;16
new;0;0;0;0;0;0;0;24;54;56;36;58;42;64;26;44;28;24;56;28;30;38;30;36;38;38;14;10;40;26;46;22;26;294;18;32;42;22;26;30;30;28;14;24;20;20;18;20;40;50;10;10;52;26;38;38;26;14;24;16;16;16;38;28;20;10;52;24;28;136;22;22;16;18;42;10;28;10;12;14;30;16;20;34;14;24;14;20;12;10;22;22;12;12;4;16;32;24;24;10
house;0;0;0;0;0;0;0;0;36;50;32;52;22;18;356;28;22;12;22;26;4;32;22;54;40;24;30;74;22;38;26;18;12;10;28;20;32;8;8;18;12;16;26;16;10;14;24;18;12;12;66;20;10;18;12;6;18;28;20;10;12;10;18;42;24;6;2;8;14;8;4;12;12;18;24;12;10;6;24;4;8;16;6;12;0;10;6;8;8;8;14;12;8;6;22;6;18;6;8;18
american;0;0;0;0;0;0;0;0;0;22;32;32;34;18;30;36;32;26;38;26;12;42;14;28;26;12;20;18;14;20;16;24;16;10;16;24;26;8;20;54;8;20;10;6;14;16;8;26;16;12;6;32;12;10;20;18;16;16;24;10;4;16;22;22;8;18;6;12;20;2;16;26;6;16;8;12;6;12;10;10;22;20;22;18;12;6;12;12;10;14;12;14;14;8;6;18;6;4;14;20
national;0;0;0;0;0;0;0;0;0;0;12;28;16;22;38;14;20;10;18;22;14;18;16;20;64;50;14;8;22;18;30;22;8;8;32;4;26;8;4;12;16;12;14;28;8;12;26;34;0;26;94;18;22;40;18;10;12;132;10;12;12;6;14;8;18;6;8;14;14;6;2;20;4;8;24;12;22;2;12;2;10;6;8;2;12;82;10;2;8;4;8;14;2;4;4;2;6;24;8;4
federal;0;0;0;0;0;0;0;0;0;0;0;16;180;40;16;28;10;4;20;20;12;10;14;14;10;10;10;20;10;6;16;52;16;14;8;6;14;16;2;6;8;14;8;4;48;4;8;18;14;20;12;2;14;18;16;8;4;14;8;24;32;4;6;8;24;2;18;2;6;6;8;4;12;4;8;4;4;10;12;4;16;16;0;0;4;2;14;42;0;2;24;4;2;146;0;10;6;2;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;14;14;42;18;10;16;16;14;18;14;20;26;32;16;14;18;24;12;22;10;32;10;16;18;26;14;10;26;30;12;26;18;8;102;8;14;36;10;12;0;14;12;10;6;206;12;12;4;4;4;18;10;12;0;4;4;8;12;10;8;12;14;6;2;8;2;10;6;26;2;10;16;2;12;6;6;24;8;8;16;14;8;10;10;10;10;16;6
government;0;0;0;0;0;0;0;0;0;0;0;0;0;28;10;42;14;6;32;22;12;16;12;6;8;8;8;14;8;14;6;58;8;4;10;10;6;10;4;12;10;4;12;8;22;10;10;18;12;6;8;16;6;4;14;8;2;22;10;12;36;10;10;16;14;8;8;0;10;4;8;4;14;8;16;18;16;2;4;8;4;12;4;4;16;0;10;16;12;8;12;4;4;8;20;4;20;0;4;4
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;18;24;8;34;66;18;16;20;16;26;30;18;12;16;20;14;28;20;30;18;10;24;16;12;10;12;12;4;20;24;8;14;14;12;50;8;14;48;50;12;10;6;10;8;24;22;4;4;16;16;12;8;2;14;12;6;12;4;4;18;22;10;10;12;4;4;4;8;8;12;6;18;4;4;10;4;12;6;0;8;6;8;2;6;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;16;12;20;18;4;22;18;28;24;12;26;16;12;14;30;8;4;16;12;16;22;8;10;6;12;10;14;6;6;14;24;14;8;12;8;12;10;16;2;8;14;24;16;8;8;10;16;4;16;6;6;6;12;10;10;8;8;14;20;8;8;8;4;6;8;2;6;16;2;6;4;4;8;6;6;10;4;2;8;10;8;4;14;14
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4;28;32;16;236;12;18;10;12;0;6;4;20;16;26;14;16;16;10;16;12;6;24;10;20;22;14;8;12;6;22;6;6;10;8;4;8;10;12;14;10;14;10;16;16;10;12;14;6;2;2;20;14;6;10;6;4;14;10;6;4;6;6;14;18;6;4;6;2;2;8;16;8;12;12;12;0;12;2;20;0;4;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;18;40;2;6;20;12;6;26;12;6;12;12;14;20;10;8;8;0;4;30;20;6;14;4;4;10;0;6;20;8;10;6;14;10;4;14;4;4;10;28;10;8;8;2;14;6;8;8;8;8;8;18;12;18;8;4;10;6;28;4;8;6;2;8;6;12;4;8;10;8;10;4;10;12;4;6;8;2;2;10;16
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;22;18;18;12;10;10;10;8;10;6;10;4;12;10;10;6;6;62;6;8;2;4;6;10;12;12;6;2;20;10;8;12;8;16;10;4;4;0;8;8;8;2;12;2;14;60;6;2;4;8;12;6;2;12;6;6;4;4;4;4;4;2;6;8;4;6;6;0;8;4;8;6;2;0;2;12;4;0;4;6
