;wyoming;health;covid19;state;cases;public;help;social;distancing;states;may;confirmed;wyomings;continue;provide;orders;additional;thank;businesses;home;#slowthespread;facebook;communities;testing;spread;people;stay;protect;live;work;#covid19wy;citizens;critical;number;possible;watch;data;local;staying;important;new;economy;briefing;safe;residents;@wyomingpbs;workers;restrictions;support;county;together;counties;case;wyomingites;statewide;response;information;youtube;remain;3;april;healthcare;department;media;measures;order;community;resources;ensure;recognize;holding;15;economic;weeks;close;steps;virus;federal;take;remember;working;honor;school;celebrate;transition;updated;great;risk;bills;update;please;another;visit;available;slow;#stayhomestaysafe;put;recovered;family;joined
wyoming;0;50;60;38;32;22;24;16;16;16;20;20;8;18;14;14;20;26;18;20;12;10;16;12;12;14;12;12;8;10;6;12;8;10;4;6;14;8;8;6;14;6;10;10;12;6;14;4;10;8;10;14;6;4;10;4;6;8;4;6;8;12;14;8;6;8;12;14;10;4;8;8;8;4;6;8;10;12;0;4;6;2;6;8;10;4;8;12;10;6;4;6;6;8;4;10;8;8;10;6
health;0;0;40;26;20;54;14;26;26;14;12;6;8;20;6;34;12;2;8;10;6;2;6;8;16;6;8;14;4;6;2;12;8;12;8;2;12;10;6;10;12;10;2;6;10;2;4;16;4;16;4;10;6;6;8;6;12;2;6;2;6;6;20;2;8;10;10;6;6;6;2;8;0;8;6;8;8;6;8;4;4;0;0;4;4;14;0;10;0;2;6;0;6;6;12;6;8;2;4;4
covid19;0;0;0;28;34;18;18;16;16;16;14;28;10;18;22;8;24;2;6;22;16;24;6;14;24;4;8;4;18;0;10;6;8;14;10;14;12;0;14;6;12;2;16;10;8;12;6;2;0;14;4;10;12;10;12;16;12;14;6;12;12;4;4;14;2;4;14;6;2;0;16;8;6;6;4;2;12;4;2;6;6;0;0;2;2;6;0;6;4;14;4;0;8;6;12;8;4;12;6;6
state;0;0;0;0;14;10;12;4;4;8;6;10;6;8;8;4;12;10;4;6;4;4;4;4;8;6;4;4;4;6;10;8;6;4;6;4;2;6;2;2;4;0;0;4;4;2;4;0;4;8;4;2;6;8;2;4;8;2;2;0;0;6;2;0;0;4;0;2;8;0;0;4;4;4;0;4;0;8;2;0;6;0;4;2;0;0;4;4;4;0;6;6;2;2;6;0;0;2;2;6
cases;0;0;0;0;0;16;8;10;10;10;6;38;2;12;0;2;10;6;0;14;14;2;2;10;6;4;6;2;2;2;8;0;4;18;10;2;10;2;10;0;12;0;0;2;4;2;0;2;0;6;2;14;4;6;2;0;4;2;4;0;0;0;4;0;2;0;4;0;0;0;0;4;0;6;2;4;4;2;2;4;4;0;0;2;2;0;0;4;0;0;4;2;6;2;0;8;0;12;2;4
public;0;0;0;0;0;0;6;14;14;8;8;4;8;12;2;28;6;8;8;2;4;2;2;8;8;4;2;4;2;8;0;6;4;6;6;2;4;8;2;6;10;4;2;2;2;2;2;12;0;2;2;10;2;4;4;0;2;2;6;2;2;0;6;2;2;6;6;2;0;2;2;6;0;6;0;4;4;2;2;4;2;2;0;2;2;12;0;4;0;2;2;0;2;2;4;2;8;0;2;2
help;0;0;0;0;0;0;0;14;14;2;4;6;6;2;4;2;0;2;4;12;14;4;6;8;12;2;2;6;6;2;8;2;6;6;6;4;2;2;10;2;0;2;2;0;2;2;4;0;0;2;10;2;2;4;0;0;0;2;2;0;2;2;4;2;2;4;6;2;4;0;2;2;2;4;2;2;4;6;2;0;2;0;0;2;0;0;0;0;4;0;4;6;4;2;8;0;2;0;4;2
social;0;0;0;0;0;0;0;0;54;4;6;8;6;10;0;10;0;2;6;12;12;0;4;8;14;8;10;2;0;0;10;2;6;4;10;0;0;4;10;2;4;6;0;4;0;0;6;8;2;0;4;2;6;8;4;0;0;0;2;0;2;4;2;0;10;6;6;0;0;0;0;4;0;2;2;4;6;0;6;0;2;0;0;0;4;4;0;2;0;0;6;2;0;0;8;0;2;0;2;0
distancing;0;0;0;0;0;0;0;0;0;4;6;8;6;10;0;10;0;2;6;12;12;0;4;8;14;6;10;2;0;0;10;2;6;4;10;0;0;2;10;2;4;6;0;4;0;0;6;8;2;0;4;2;6;8;4;0;0;0;2;0;2;4;2;0;10;6;6;0;0;0;0;4;0;2;2;4;6;0;6;0;2;0;0;0;4;4;0;2;0;0;6;2;0;0;8;0;2;0;2;0
states;0;0;0;0;0;0;0;0;0;0;8;8;4;2;4;4;4;0;6;2;0;6;6;4;0;2;2;4;4;0;0;2;6;2;0;2;0;0;2;0;2;2;4;0;4;4;2;0;6;2;0;2;4;2;0;4;0;2;0;4;2;0;0;4;2;0;2;4;4;4;2;2;4;2;0;2;2;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;6;2;0;0
