;trump;great;united;new;states;president;campaign;house;republican;trying;state;big;help;administration;news;clinton;world;department;government;bernie;investigating;people;game;could;office;team;money;sanders;man;everyone;thing;making;white;year;wall;real;official;fbi;north;federal;election;called;guy;decision;national;obama;city;security;russia;whether;2016;win;working;love;important;party;end;leader;bill;head;second;brilliant;sent;carolina;congress;weeks;michigan;stand;american;top;police;capital;british;thank;may;left;fact;public;hillary;detroit;presidential;cut;dangerous;likely;justice;york;little;enough;dr;seen;conference;america;allow;tuesday;stop;border;texas;anything;media;lot
trump;0;0;2;0;2;8;6;6;0;0;2;0;2;4;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;4;2;0;0;4;0;0;0;0;0;2;0;4;4;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
great;0;0;0;4;0;2;0;2;2;0;2;2;0;0;4;0;2;0;0;0;0;4;2;2;2;0;0;0;2;0;0;0;2;4;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;0;2;4;0;2;2;2;0;0;0;2;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;2
united;0;0;0;0;14;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;2;0;2;0;6;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0
states;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
president;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0
campaign;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;6;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0
republican;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0
trying;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
