;maryland;hogan;live;coronavirus;@govlarryhogan;state;covid19;testing;new;watch;baltimore;@wjz;announces;health;take;tax;together;#mdga20;governor;gov;update;city;recovery;crime;marylanders;action;@govlarryhogans;@foxbaltimore;rate;actions;todays;announcement;governors;leaders;support;majority;stage;help;site;roadmap;lives;people;reopening;bipartisan;md;#marylandstrong;hospitalizations;critical;says;larry;legislation;level;marylands;across;legislators;plan;local;#mdpolitics;positivity;bill;tune;relief;violent;emergency;overwhelming;drivethru;twitter;nations;county;meeting;save;hike;urgent;tests;center;300;500;available;efforts;states;phase;funding;youtube;pandemic;senate;crisis;captioning;announced;care;@wbaltv11;bills;annapolis;may;murders;provide;facebook;launched;million;nursing;response
maryland;0;18;2;20;14;16;12;6;10;0;6;14;4;6;0;6;0;2;6;8;2;4;6;4;0;6;0;2;8;0;0;0;2;2;6;0;4;2;0;4;2;2;6;0;0;2;8;2;8;4;0;6;0;4;2;2;2;2;4;2;0;0;0;0;0;4;2;0;0;2;0;4;0;4;0;2;0;2;4;0;4;2;2;0;0;2;2;4;2;2;2;0;2;0;0;2;4;4;0;2
hogan;0;0;0;6;0;8;10;6;6;0;0;8;16;2;0;2;0;6;14;18;2;0;4;4;2;2;0;8;2;0;0;0;0;0;0;0;6;4;4;0;0;2;10;0;4;0;0;2;6;10;2;2;4;0;0;2;2;2;0;2;0;4;0;2;0;2;0;0;0;0;0;0;2;4;0;0;2;0;2;0;8;6;0;4;0;0;0;2;2;4;2;0;0;0;0;0;0;6;2;0
live;0;0;0;0;2;0;4;0;0;28;0;0;0;0;0;0;0;0;0;0;14;0;6;0;2;0;10;0;0;0;12;14;0;0;0;0;4;0;0;10;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;4;6;8;0;0;0;0;8;0;0;0;8;0;0;0;0;0;0;0;6;8;0;0;0;2
coronavirus;0;0;0;0;10;4;2;8;6;0;6;8;8;2;0;2;4;2;0;2;6;2;2;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;2;0;0;2;0;0;8;0;4;0;0;4;2;2;0;2;0;0;0;4;0;0;0;2;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;2;0;0;0;0;0;6;4
@govlarryhogan;0;0;0;0;0;6;2;0;4;0;4;0;4;4;0;0;2;4;0;0;4;2;4;4;0;2;0;0;0;0;0;0;6;4;2;0;2;0;0;4;2;0;0;4;0;2;0;2;0;0;0;0;2;0;2;0;2;2;0;0;0;2;0;6;0;2;2;4;0;8;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;2;2;6;2;0;2;0;0;0;2;2;0;0;4;0
state;0;0;0;0;0;0;2;2;4;0;4;6;0;4;2;0;2;2;6;2;2;0;4;4;0;0;2;2;2;2;0;0;0;0;0;0;0;4;0;0;2;4;0;2;2;0;2;4;6;4;0;4;0;6;0;0;8;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;4;0;0
covid19;0;0;0;0;0;0;0;16;14;4;6;10;10;2;0;0;0;0;4;6;6;2;0;0;0;0;4;10;10;0;0;0;2;2;0;0;0;2;8;0;2;0;0;0;8;0;2;4;4;0;0;0;0;2;0;0;0;0;8;0;2;4;0;0;0;4;0;0;4;2;0;0;0;6;6;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
testing;0;0;0;0;0;0;0;0;16;0;6;8;10;2;0;0;0;0;6;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;12;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;8;0;0;4;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;2;8;8;2;0;0;0;0;6;2;0;0;0;0;0;0;0;6;2;0;0;0;2;0;0;2;0;2;12;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;8;0;0;6;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;6;0;2;0;10;0;0;0;12;14;0;0;0;0;2;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2
