;great;united;states;trump;new;people;president;national;house;state;senate;american;complete;country;party;police;working;committee;government;history;federal;administration;man;election;may;washington;killed;job;best;world;2016;help;democrats;law;russia;news;campaign;department;thing;called;times;york;obama;former;white;think;good;donald;program;5;win;love;act;media;businesses;trade;article;intelligence;political;wednesday;record;set;life;approved;san;support;bill;loved;number;week;big;clinton;americans;republican;america;source;shot;work;night;court;thank;billion;hillary;accused;hard;air;fake;seen;republicans;director;democratic;post;presidential;leader;supreme;taking;book;group;security;million
great;0;12;12;6;8;14;12;4;8;4;0;14;0;10;0;0;4;2;4;2;2;0;0;0;0;0;2;8;2;2;0;0;2;4;0;2;0;2;4;2;0;2;0;0;4;2;2;0;0;2;0;6;0;4;4;0;0;0;0;0;2;4;0;0;0;0;4;0;0;6;6;2;4;4;4;0;4;4;4;2;8;0;0;0;0;0;2;4;4;2;0;0;0;4;2;0;4;4;0;0
united;0;0;62;6;10;10;8;2;4;10;4;6;0;8;2;2;0;4;8;2;2;4;4;6;2;0;4;4;4;6;2;4;0;0;0;2;0;4;0;2;4;2;4;2;2;2;6;0;0;0;2;2;0;0;6;2;0;4;2;4;2;2;4;4;0;2;0;4;4;2;0;0;2;2;2;0;0;0;2;6;2;4;0;4;0;2;2;4;2;0;0;0;2;2;6;2;2;2;4;0
states;0;0;0;8;8;8;10;4;4;6;4;6;0;6;0;2;0;4;8;4;2;4;4;8;0;0;4;4;2;6;4;6;0;2;0;4;0;6;0;2;4;0;4;2;2;2;8;0;0;0;2;2;0;0;4;2;0;4;0;2;2;2;4;2;0;2;2;4;4;2;0;0;2;2;2;0;0;0;2;8;2;6;0;4;0;2;4;4;0;0;0;2;2;2;8;2;4;0;2;2
trump;0;0;0;0;4;0;26;8;6;0;6;2;0;2;4;0;2;2;2;2;4;8;0;2;8;4;0;2;0;0;0;0;2;0;8;4;6;0;4;4;2;2;4;4;6;4;4;14;4;0;0;0;2;4;2;2;0;0;4;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;6;0;0;0;0;2;6;0;0;2;4;4;4;0
new;0;0;0;0;0;10;2;6;0;10;2;2;0;0;0;0;0;0;0;0;2;0;2;4;0;6;0;0;4;2;0;6;0;2;0;2;2;2;2;2;6;18;0;2;0;0;4;2;2;0;2;4;2;0;6;2;0;0;0;2;0;4;2;0;2;4;0;2;2;4;4;4;0;0;0;0;2;0;0;0;2;4;4;0;2;2;0;2;0;0;4;4;6;0;0;2;4;2;0;0
people;0;0;0;0;0;0;2;2;6;6;0;0;0;0;4;6;2;0;4;0;2;2;2;2;2;0;4;4;6;6;0;2;2;2;0;0;0;0;4;0;0;4;2;0;4;4;2;0;0;0;2;0;2;0;2;0;0;0;0;2;2;2;4;0;4;0;0;2;2;2;0;0;0;0;0;0;4;4;2;4;0;0;0;0;2;0;0;2;0;0;0;2;0;4;4;4;2;2;0;0
president;0;0;0;0;0;0;0;8;2;0;8;2;0;4;0;0;2;4;2;0;4;2;0;0;4;0;0;2;0;0;0;0;0;0;2;6;0;0;4;6;2;2;6;8;4;4;4;4;0;0;0;0;0;4;0;0;0;4;2;4;0;0;0;2;0;0;0;0;0;2;0;0;4;2;4;2;2;0;2;0;2;0;0;2;0;0;8;2;0;4;0;0;0;0;0;0;4;4;4;0
national;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;10;0;0;0;0;2;4;2;0;2;2;0;0;4;2;2;2;4;0;6;0;0;0;0;0;2;6;2;2;0;2;2;0;4;0;0;0;0;0;0;4;0;0;0;2;0;4;0;0;0;0;0;0;2;4;4;2;0;2;0;0;2;2;0;0;4;0;2;0;0;0;0;4;6;0;0;0;2;2;0;0;8;4
house;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;2;0;8;0;2;0;2;0;2;4;0;2;2;0;2;4;2;2;0;2;0;0;0;0;0;0;0;0;2;14;0;2;2;0;0;0;0;2;0;0;0;0;8;0;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;2;0;0;0;2;2;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;4;2;0;0;4;2;0;4;4;0;6;0;0;0;0;0;6;0;0;2;4;2;0;0;0;0;0;2;0;2;0;0;2;4;0;0;0;2;2;0;0;2;4;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0
