;people;great;trump;president;new;united;states;american;house;news;administration;national;government;department;senate;state;white;federal;york;obama;fbi;may;thank;best;former;election;security;donald;history;democrats;man;country;court;committee;americans;party;city;media;job;republican;world;article;called;million;health;intelligence;justice;times;big;think;america;year;police;2016;military;released;republicans;working;help;director;texas;act;supreme;announce;russia;love;thing;take;running;order;friday;support;following;left;proud;work;hard;campaign;bill;fake;war;presidential;week;killed;coming;comey;important;wednesday;post;night;number;greatest;young;story;full;forward;fact;political;death;china
people;0;34;14;20;12;20;24;34;18;6;8;10;10;8;6;8;14;8;6;6;4;6;8;6;4;8;6;0;12;2;2;14;6;8;12;6;4;6;10;10;2;4;4;16;10;6;6;6;6;4;8;8;6;4;2;10;2;2;4;0;6;10;4;6;6;6;2;4;0;0;4;6;2;6;0;2;2;2;4;4;0;2;4;6;0;2;0;2;0;4;14;4;4;2;2;0;4;2;2;0
great;0;0;16;22;18;30;24;18;10;12;6;0;4;4;2;10;6;2;6;4;2;2;8;4;0;4;2;0;6;4;2;12;6;0;6;6;2;8;12;10;4;2;6;2;2;0;2;0;8;4;16;8;2;0;4;0;8;6;8;0;0;2;4;6;0;8;0;2;4;2;4;8;4;4;0;2;4;2;6;4;4;0;0;0;8;0;6;4;2;4;0;2;0;6;2;0;0;2;0;2
trump;0;0;0;80;30;16;14;4;18;6;32;8;4;8;10;0;16;4;16;8;18;10;2;4;10;18;4;40;6;12;6;10;2;12;12;4;4;2;12;8;6;8;8;0;0;14;4;12;6;2;8;2;4;12;4;2;4;4;2;14;2;4;2;2;12;4;4;2;4;4;6;2;4;4;4;4;4;16;0;2;0;14;10;0;6;10;4;6;2;4;0;4;0;6;6;2;4;4;4;0
president;0;0;0;0;16;32;30;8;20;14;8;10;6;12;10;6;10;4;6;10;8;6;4;2;12;18;6;14;4;12;2;8;2;10;8;2;0;8;8;4;0;4;10;0;6;12;10;6;4;0;10;0;0;10;4;4;6;0;0;10;0;10;2;2;12;4;2;2;2;8;8;2;0;4;0;4;6;2;2;6;4;8;8;2;2;10;4;2;2;8;0;4;0;2;6;0;2;2;2;4
new;0;0;0;0;0;6;4;16;8;8;8;14;4;8;4;4;6;2;56;4;4;2;2;4;6;0;6;12;4;4;4;0;2;0;8;2;16;2;4;6;2;10;4;2;8;0;2;22;8;4;2;2;2;2;6;8;6;2;8;2;2;2;2;2;2;8;6;4;2;6;4;2;4;2;2;4;4;4;8;0;2;4;4;0;4;0;2;2;0;2;2;2;2;8;2;6;2;0;4;0
united;0;0;0;0;0;0;118;10;4;4;10;0;12;2;8;10;4;4;2;2;0;2;6;0;0;4;2;0;8;6;2;6;14;0;2;2;2;6;4;2;12;2;4;2;0;0;6;0;6;0;12;2;0;0;10;0;2;2;0;0;0;0;10;6;4;0;0;4;0;2;4;2;2;4;4;4;0;0;6;4;4;4;2;4;8;0;4;4;2;2;0;2;0;6;2;0;4;4;2;2
states;0;0;0;0;0;0;0;8;4;6;4;0;12;2;10;12;4;6;0;2;0;0;6;2;0;4;2;0;8;6;2;6;12;0;2;4;2;6;2;4;12;2;6;4;0;0;4;0;4;0;12;2;0;0;8;0;2;0;0;0;2;0;8;6;2;2;0;4;0;2;4;2;2;6;4;4;0;0;6;4;4;2;2;4;8;0;4;4;2;2;2;4;0;4;2;0;2;4;2;2
american;0;0;0;0;0;0;0;0;6;2;4;12;2;6;4;2;6;4;4;4;0;6;4;4;0;4;2;0;4;0;2;4;4;6;6;2;0;4;0;6;0;6;6;4;10;4;0;4;4;0;2;6;0;2;2;6;2;0;2;2;0;10;2;4;0;0;2;4;4;2;0;2;8;0;0;0;0;2;6;0;0;2;0;2;4;0;0;0;0;2;0;0;6;4;2;0;0;2;2;2
house;0;0;0;0;0;0;0;0;0;4;8;6;6;4;8;2;50;4;4;10;6;8;4;0;6;4;8;4;2;10;2;0;0;12;0;0;0;2;0;0;0;2;2;2;0;12;0;4;0;0;0;4;2;6;2;10;10;4;0;2;0;6;0;2;2;0;2;2;4;2;2;0;0;0;0;4;2;4;2;2;0;4;4;0;0;2;0;4;2;4;0;0;0;0;2;2;0;0;2;2
news;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;6;4;0;2;0;4;2;10;6;2;2;2;0;2;0;2;0;0;0;2;2;0;8;2;0;0;2;2;0;0;0;2;2;4;2;0;2;2;0;0;0;4;2;2;0;0;0;0;0;2;6;0;0;2;0;4;0;0;0;0;0;4;0;0;24;2;0;2;0;2;0;2;0;0;4;2;6;0;2;0;0;2;0;2;2
