;president;trump;people;united;states;new;great;government;world;news;white;national;house;american;administration;thank;country;best;job;federal;china;democrats;youthank;republican;americans;proud;party;vote;working;report;election;help;former;fbi;security;state;fake;2016;obama;york;big;year;take;team;presidential;washington;love;man;saying;radical;history;media;campaign;article;economic;senate;charged;idea;incredible;energy;nation;work;several;source;official;donald;football;reserve;economy;announce;public;j;night;department;congress;death;democrat;left;police;backthey;hard;military;committee;trade;wednesday;use;show;join;everyone;hillary;san;across;thought;democratic;times;secretary;support;sanders;james;russia
president;0;40;12;14;12;12;4;0;2;8;4;4;6;6;2;0;8;6;4;0;2;4;0;6;8;2;2;0;4;4;6;6;4;4;0;0;4;2;4;4;0;4;2;2;2;2;0;2;4;4;4;0;4;2;2;2;0;2;2;2;4;0;2;2;0;4;2;0;0;0;0;4;4;2;0;0;2;2;2;0;2;6;2;0;4;0;2;0;0;4;0;2;0;0;4;2;0;4;4;0
trump;0;0;10;12;4;16;4;2;2;6;8;8;10;4;14;0;6;0;4;2;2;6;0;12;2;2;8;2;4;4;6;4;4;4;2;0;4;4;2;2;4;0;2;2;6;4;2;2;4;0;0;2;6;0;4;4;0;2;2;2;0;2;2;2;4;12;0;0;2;2;0;8;4;2;0;0;2;0;2;0;2;6;4;0;2;2;2;0;0;6;0;2;0;2;2;2;0;2;4;2
people;0;0;0;10;8;4;6;8;6;0;0;0;0;12;6;6;4;4;4;4;2;2;2;2;0;6;0;2;0;0;0;4;0;0;2;0;2;0;4;2;2;4;2;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;4;0;2;4;0;0;2;2;0;2;0;0;0;2;0;0;2;2;0;0;2;0;2;8;0;0;0;4;2;2;4;2;0;0;0;0;0;0;2;0;0;4
united;0;0;0;0;52;4;4;4;6;2;0;2;2;4;6;2;2;4;6;2;8;0;0;2;6;0;4;0;4;2;0;4;0;0;2;2;0;0;2;0;2;0;4;2;0;0;0;0;2;2;0;0;4;0;2;2;0;0;2;4;0;0;2;2;2;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;4;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0
states;0;0;0;0;0;6;2;2;6;2;0;0;0;4;2;2;2;4;8;0;8;0;0;0;4;0;4;0;4;2;0;4;0;0;0;4;0;0;2;0;2;0;4;2;0;0;0;0;2;2;0;0;4;0;2;2;0;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0
new;0;0;0;0;0;0;6;2;2;2;2;2;0;2;2;0;4;0;4;0;4;2;0;2;0;4;2;2;0;0;2;6;2;2;0;6;0;2;2;18;2;0;0;2;4;0;2;0;0;2;0;0;0;6;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;2;2;2;0;2;0;0;2;2;2;0;0;0;4;0;2;0;0;6;2;0;2;0;0
great;0;0;0;0;0;0;0;2;6;2;2;2;2;2;0;4;8;0;8;0;2;2;0;2;4;4;2;0;0;4;0;2;0;0;4;2;0;0;0;4;0;0;0;2;0;0;10;2;0;2;0;0;2;0;2;0;0;0;2;2;0;0;2;0;2;2;2;0;2;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;2;2;0
government;0;0;0;0;0;0;0;0;2;4;2;2;4;0;4;0;2;2;0;10;0;0;0;0;4;0;0;2;4;0;0;6;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;6;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0
world;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;2;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;4;0;2;2;0;4;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;4;0;2;0;0;0;2;2;2;0;2;0;2;0;2;0;0;2;4;0;0;2;0;2;2
news;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;4;2;8;2;4;0;0;0;4;2;0;4;2;0;8;0;0;4;6;0;2;18;2;0;2;0;0;0;0;2;2;2;0;2;0;4;12;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;4;4;2;0;2;2;0;0;0;0;2;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0
