;great;people;news;thank;fake;big;complete;endorsement;job;country;joe;military;states;media;president;china;good;amendment;state;vets;strong;trump;left;democrats;second;new;congressman;house;@foxnews;white;help;american;history;america;border;radical;sleepy;police;law;coronavirus;testing;hard;world;work;vote;national;night;republican;incredible;biden;lamestream;crime;bad;win;order;united;tom;election;washington;nothing;federal;democrat;ventilators;#maga;governor;@usdot;corrupt;russia;mike;businesses;crazy;do_nothing;tremendous;jobs;important;fighter;book;working;ballots;political;dems;obama;congress;usa;coming;guard;farmers;party;money;love;senator;totally;conference;proud;take;numbers;act;wrong;john;congratulations
great;0;74;50;58;34;54;50;48;90;32;14;62;16;12;26;14;30;30;52;54;36;26;20;20;20;36;32;6;14;6;38;36;6;36;18;18;8;14;14;22;24;18;16;20;24;24;18;26;16;6;8;20;12;18;14;6;20;8;22;14;10;18;22;18;18;22;6;4;20;16;4;12;10;18;16;30;34;10;10;6;10;6;20;12;8;18;20;8;8;14;32;8;2;18;14;8;8;2;6;20
people;0;0;36;22;42;30;50;50;24;26;24;38;12;24;16;18;12;36;22;40;34;12;12;14;34;16;34;4;14;4;24;18;4;18;22;12;12;4;12;12;4;14;8;16;10;6;12;8;30;8;20;12;8;10;4;8;14;10;4;16;10;6;6;10;12;16;14;0;4;6;6;10;20;6;6;4;4;18;6;8;0;8;18;14;10;2;12;4;8;12;12;8;2;12;2;6;16;4;2;2
news;0;0;0;32;196;20;0;0;12;18;10;0;14;58;16;26;24;0;6;0;4;8;18;18;0;6;2;40;4;38;2;8;12;6;2;16;4;2;2;16;10;4;8;10;0;4;12;6;0;6;40;2;20;10;10;14;4;6;4;8;4;8;2;2;6;4;20;6;0;2;8;14;0;4;2;0;0;6;4;4;8;2;0;10;10;0;2;10;0;2;2;18;30;4;6;6;4;14;0;2
thank;0;0;0;0;8;12;4;2;18;8;14;8;10;4;14;8;4;0;4;0;4;14;6;6;0;10;0;38;10;38;4;8;8;0;4;6;10;8;4;0;0;10;4;8;0;6;10;28;2;8;4;6;8;8;4;10;2;2;0;2;4;0;4;16;2;0;6;6;2;2;2;4;0;6;2;0;2;10;2;6;2;2;4;0;2;4;2;20;2;6;0;2;34;0;4;4;4;4;0;2
fake;0;0;0;0;0;8;0;0;10;20;12;0;8;60;16;28;18;0;4;0;2;4;12;26;0;0;0;10;8;8;2;6;8;6;0;10;8;0;2;14;10;2;6;8;0;4;10;6;2;4;42;0;18;10;8;8;2;6;4;12;2;8;2;0;4;0;22;8;0;2;6;18;0;2;0;0;2;4;2;2;10;2;0;8;4;0;0;6;2;4;2;16;4;4;4;8;2;12;2;0
big;0;0;0;0;0;0;24;24;8;22;10;10;12;14;14;6;6;18;12;10;22;10;12;10;14;12;6;4;0;2;18;6;6;8;12;8;4;4;10;8;4;10;6;8;24;2;4;18;2;4;4;24;6;32;4;6;14;6;10;4;10;8;0;12;6;8;0;6;4;6;2;4;8;12;2;6;4;4;4;4;4;2;8;10;8;0;2;8;6;6;6;6;0;0;4;4;6;4;8;20
complete;0;0;0;0;0;0;0;172;28;14;6;68;0;0;2;2;2;90;16;82;64;2;2;4;90;6;82;0;0;0;18;6;0;6;44;4;2;4;14;0;0;28;0;4;28;0;2;2;40;2;0;36;2;4;0;0;10;2;18;6;0;0;0;24;6;6;0;0;14;26;6;0;34;4;0;28;0;16;4;0;0;2;16;4;2;0;24;0;2;0;16;0;0;4;0;0;0;0;4;6
endorsement;0;0;0;0;0;0;0;0;28;14;2;68;0;0;2;0;2;90;14;82;64;2;0;0;90;2;82;0;0;0;16;6;0;4;44;2;0;2;12;0;0;28;0;4;26;0;2;2;40;0;0;34;0;4;0;0;10;2;18;6;0;0;0;24;4;0;0;0;14;26;6;0;34;4;0;28;0;16;4;0;0;0;16;4;0;0;24;0;0;0;16;0;0;2;0;0;0;0;4;4
job;0;0;0;0;0;0;0;0;0;18;6;12;12;8;14;4;18;18;8;16;14;10;12;2;16;2;22;8;8;8;10;4;4;2;6;8;0;14;6;10;16;4;8;4;2;18;14;8;8;4;6;8;12;4;0;6;4;4;2;4;8;4;16;12;6;0;4;2;4;10;4;4;10;0;6;0;0;4;0;6;4;4;8;0;2;16;4;2;4;2;4;6;0;8;2;4;4;0;2;8
country;0;0;0;0;0;0;0;0;0;0;8;14;12;12;10;16;14;8;2;16;16;6;12;6;8;8;14;6;4;2;6;6;12;0;8;10;4;8;2;4;20;6;24;4;4;4;0;4;2;2;6;8;8;10;6;10;0;2;4;2;4;0;8;8;4;0;0;4;4;4;2;4;8;2;0;10;2;2;4;8;8;2;8;4;8;0;2;2;0;12;8;2;0;2;8;4;4;4;0;0
