;#akgov;#covid19;live;#reopenalaskaresponsibly;press;briefing;alaska;watch;alaskans;tonight;new;businesses;@alaska_dhss;plan;state;economy;12;#caresact;#akleg;reopen;#alaska;5pm;numbers;holding;gt;1;0;responsibly;join;thank;may;cases;efforts;phase;update;alaskas;22;discuss;communities;funding;covid19;nonprofits;ak;latest;recovered;next;great;capacity;social;ongoing;2;information;todays;women;economic;men;billion;public;cumulative;questions;tomorrow;hospitalizations;deaths;facebook;health;nome;yesterday;tests;funds;service;reopening;act;beneville;across;team;work;friday;richard;week;info;honoring;federal;page;community;serving;@annezinkmd;provide;#aklng;updated;25;discussing;virus;hands;local;low;legislature;states;individuals;submit;business
#akgov;0;60;46;54;38;34;28;32;18;28;2;14;24;12;10;16;8;10;12;14;16;16;6;8;4;8;0;14;12;10;2;2;12;10;10;6;6;12;4;6;6;4;8;6;0;4;6;4;4;8;6;6;2;6;6;6;2;2;0;6;2;0;0;8;6;0;6;2;4;4;6;4;0;6;4;6;2;0;0;2;4;2;6;0;2;6;4;2;0;2;6;6;2;2;2;0;2;6;6;4
#covid19;0;0;44;52;44;40;26;32;16;28;8;14;22;16;8;12;4;16;8;12;14;16;12;14;2;8;4;12;6;8;0;6;12;8;12;8;2;8;6;8;4;6;0;6;4;2;2;0;0;8;8;4;2;0;6;0;4;2;4;6;6;4;4;6;2;0;8;2;4;2;4;4;0;2;2;4;0;0;0;2;0;2;4;0;0;6;6;0;4;0;6;4;0;4;2;4;2;6;4;0
live;0;0;0;40;34;30;20;32;4;24;0;0;24;8;0;6;0;8;2;8;6;16;4;4;0;2;0;10;8;0;0;0;10;6;8;2;0;10;0;6;0;0;0;0;0;2;0;0;0;6;4;0;0;0;4;0;0;2;0;6;0;0;0;8;2;0;0;0;0;0;4;4;0;0;0;0;0;0;0;2;0;0;6;0;0;6;4;0;0;0;6;4;0;0;0;0;0;0;6;0
#reopenalaskaresponsibly;0;0;0;0;34;30;18;28;14;22;4;12;20;16;2;12;2;12;4;14;8;16;4;8;2;4;2;8;6;4;2;6;10;10;8;8;4;10;4;6;4;4;0;6;2;4;0;2;2;6;6;4;0;0;4;0;0;4;2;4;4;2;2;6;8;0;2;4;4;0;2;2;0;2;0;4;2;0;0;4;0;0;4;0;0;6;4;0;2;0;4;4;0;4;4;2;2;2;4;2
press;0;0;0;0;0;40;18;24;2;22;6;2;16;8;2;6;2;8;2;8;6;10;10;14;2;4;4;8;2;0;0;4;10;6;10;4;0;6;0;6;4;0;0;4;2;2;2;0;0;6;6;4;2;0;0;0;0;0;2;0;6;2;4;2;0;0;2;0;0;0;2;4;0;0;2;2;0;0;0;0;0;0;2;0;0;2;6;0;2;0;4;4;0;0;0;0;0;0;0;0
briefing;0;0;0;0;0;0;16;22;2;18;6;2;16;4;2;6;2;8;2;8;6;6;8;14;2;2;4;8;2;0;0;4;10;4;8;4;0;4;0;4;4;0;0;4;2;2;2;0;0;6;4;4;2;0;0;0;0;0;2;0;6;2;4;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;4;0;2;0;4;2;0;0;0;0;0;0;0;0
alaska;0;0;0;0;0;0;0;14;2;10;2;4;10;12;6;6;4;8;4;8;4;4;6;0;4;4;2;10;4;2;6;2;6;10;4;0;2;6;2;4;4;2;0;2;2;4;2;2;0;4;6;2;2;2;0;2;4;0;2;2;0;2;2;2;2;2;0;4;0;2;4;2;2;2;0;0;2;2;2;0;2;4;2;2;2;0;2;0;2;0;2;0;2;0;2;2;4;2;2;0
watch;0;0;0;0;0;0;0;0;4;14;0;0;16;6;0;6;0;6;2;8;6;10;4;2;0;2;0;8;2;0;0;0;8;4;6;2;0;2;0;4;0;0;0;0;0;0;0;0;0;4;4;0;0;0;4;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;6;2;0;0;0;0;0;0;2;0
alaskans;0;0;0;0;0;0;0;0;0;2;2;8;4;2;10;6;4;2;6;6;6;2;4;2;0;2;0;2;6;4;2;4;2;2;0;4;6;2;2;2;0;2;0;2;2;2;2;0;2;2;2;0;0;4;4;4;2;4;2;4;2;2;0;2;4;0;4;2;0;2;2;2;0;4;0;2;2;0;2;2;2;0;0;2;2;4;0;0;0;0;0;0;2;2;4;0;0;2;2;2
tonight;0;0;0;0;0;0;0;0;0;0;2;2;10;6;2;4;0;2;0;4;4;14;6;10;0;4;0;8;6;0;0;0;6;4;8;0;0;10;0;2;4;0;0;4;0;0;2;0;0;4;4;4;0;0;0;0;0;2;0;2;2;0;0;6;2;0;2;0;0;0;4;4;0;0;0;2;0;0;0;2;0;0;6;0;0;0;4;0;0;0;6;2;0;0;0;0;0;0;4;0
new;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;2;0;0;0;2;0;8;6;4;6;8;0;0;0;0;8;0;0;2;2;2;0;0;0;6;0;0;6;8;0;4;0;0;0;2;2;6;0;0;0;0;0;8;0;4;8;8;0;0;0;2;6;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;4;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;8;4;8;10;4;6;0;0;2;2;4;0;0;0;6;4;2;0;2;0;2;2;0;12;4;2;10;0;2;0;0;2;2;4;0;2;2;0;0;2;0;4;2;0;0;0;0;0;0;4;0;6;0;4;0;0;0;0;2;0;6;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;6;0;4;2;6;0;2
@alaska_dhss;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;6;0;2;2;6;2;2;0;0;0;4;6;0;0;0;0;4;4;0;0;4;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;2;0;4;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;6;2;0;0;0;4;0;0;0;0;0;0;0;4;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;8;2;4;0;6;4;2;2;2;2;2;0;0;0;4;0;8;4;4;0;2;4;4;2;4;0;2;0;2;0;2;0;0;6;2;0;0;0;0;4;0;0;0;2;0;2;2;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;4;0;2;2;2;2;0;4;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;4;6;0;4;2;0;2;2;2;2;0;4;4;2;2;0;2;4;0;0;0;4;0;0;4;2;0;4;0;0;2;2;2;2;2;0;2;0;2;2;0;0;2;2;0;0;2;6;2;2;0;0;0;2;2;2;2;2;2;2;2;2;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;6;2;2;0;0;0;0;6;0;0;0;2;6;0;2;4;0;4;2;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;4;0;2
