;please;thank;email;councillor_matlow@torontoca;city;community;welcome;health;feel;support;toronto;public;together;family;residents;people;eglinton;happy;good;certainly;covid19;staff;work;pleasure;love;new;discuss;everyone;morning;kind;important;best;thanks;ford;@carolyn_bennett;join;@johntory;id;ive;working;local;number;take;call;follow;ontario;care;information;lrt;lives;still;transit;business;life;heres;wonderful;councillor;citys;owners;businesses;council;hi;grateful;social;able;write;appreciate;developers;construction;protect;reach;save;completely;home;along;kids;scarborough;metrolinx;tenants;government;advice;thoughtful;rent;great;sidewalks;provincial;proud;remarkable;friends;share;questions;meeting;experts;priorities;details;believe;yes;stop;doug;hope
please;0;26;138;138;20;6;110;12;108;14;12;12;14;8;4;8;4;48;6;28;4;18;8;4;4;0;26;2;2;6;8;4;2;0;2;4;16;34;8;6;8;30;6;26;26;0;4;10;0;4;4;0;0;2;0;2;2;4;0;4;4;28;0;0;4;2;4;0;2;6;22;4;6;4;4;4;0;2;6;4;2;4;2;0;0;10;0;0;2;16;6;4;2;0;16;0;6;8;0;2
thank;0;0;16;16;10;32;6;4;6;18;4;8;16;22;6;2;2;4;4;4;2;4;10;10;14;0;2;16;0;30;6;14;0;0;12;0;6;2;2;4;4;0;0;0;6;2;12;0;0;2;2;0;6;4;2;12;4;2;4;2;6;2;10;6;0;24;16;2;0;4;0;2;0;0;2;6;0;2;0;0;0;14;0;2;2;0;2;2;4;0;2;20;2;2;0;0;6;0;0;6
email;0;0;0;164;26;2;128;10;118;10;2;8;2;4;0;2;2;52;2;32;0;26;4;0;2;0;28;0;0;2;6;2;0;0;2;2;18;38;6;4;2;38;2;22;32;0;4;8;2;0;2;0;0;0;0;4;2;4;0;2;4;26;0;0;4;0;4;0;2;0;30;0;8;0;0;0;0;4;4;4;2;2;2;2;0;8;0;0;0;14;6;0;2;0;20;2;2;2;0;2
councillor_matlow@torontoca;0;0;0;0;26;0;124;8;118;10;2;8;2;4;0;2;2;54;0;28;0;24;4;0;2;0;28;0;0;2;6;2;0;0;2;2;18;40;6;4;2;38;0;22;32;0;2;8;2;0;2;0;0;0;0;4;2;4;0;2;4;26;0;0;4;0;4;0;2;0;30;0;8;0;0;0;0;4;4;4;2;2;2;0;0;8;0;0;0;14;6;0;2;0;20;2;2;2;0;2
city;0;0;0;0;0;14;20;14;20;14;36;18;8;4;14;12;4;6;6;8;12;38;8;8;0;8;16;2;2;0;8;2;10;0;4;6;4;2;4;6;2;6;0;2;12;4;4;2;4;4;0;2;2;2;6;0;12;8;2;2;20;4;2;2;4;0;2;12;4;4;2;0;6;4;0;2;2;2;0;2;2;2;2;4;12;8;2;6;4;2;2;6;0;16;10;4;2;6;0;6
community;0;0;0;0;0;0;4;4;2;20;20;8;16;24;22;16;8;6;6;0;10;6;6;12;12;12;4;20;6;4;10;8;6;6;20;18;0;0;2;12;14;0;4;6;0;2;10;4;0;4;6;0;4;6;10;2;4;6;2;4;10;0;10;8;0;4;10;4;0;2;0;4;6;0;6;0;0;0;4;0;2;4;0;10;2;0;4;4;14;0;0;14;0;10;0;2;2;0;2;6
welcome;0;0;0;0;0;0;0;8;118;10;2;6;2;2;6;0;2;50;2;24;0;18;4;0;0;2;28;0;0;2;4;2;0;0;2;2;12;38;4;4;2;36;2;20;14;4;4;4;2;0;0;0;0;0;0;0;2;4;0;2;4;18;0;0;2;0;4;4;0;0;28;0;6;0;0;0;0;2;4;2;0;2;2;0;0;6;0;0;0;10;4;0;2;0;20;0;2;2;4;2
health;0;0;0;0;0;0;0;0;10;12;24;64;10;14;8;16;0;2;30;6;18;4;10;0;8;10;0;8;10;4;4;10;8;0;0;0;6;0;0;8;4;0;14;0;4;0;8;16;0;4;8;2;2;4;4;2;0;6;4;6;4;4;2;4;4;0;4;0;2;10;2;2;4;6;0;2;0;0;0;0;22;0;2;0;0;6;4;2;0;0;8;0;24;2;0;0;2;2;0;2
feel;0;0;0;0;0;0;0;0;0;10;2;6;6;2;0;4;2;48;2;24;0;16;6;0;2;0;28;0;4;6;4;2;2;0;2;2;12;36;8;4;2;36;2;20;12;0;4;4;2;2;2;0;0;2;0;0;2;4;0;2;4;16;6;0;2;4;4;0;0;0;28;2;10;0;0;0;0;2;4;2;0;2;2;0;0;6;0;0;0;10;4;0;2;0;20;2;2;2;0;2
support;0;0;0;0;0;0;0;0;0;0;10;6;14;12;16;18;12;4;8;2;8;6;14;4;6;6;0;8;2;2;10;6;6;8;0;4;10;2;4;8;6;2;0;4;2;2;14;0;4;4;2;4;12;4;0;2;2;6;16;16;6;2;4;2;2;0;4;4;2;6;2;6;4;2;12;4;0;4;8;10;2;6;4;0;0;2;12;4;2;4;0;4;2;2;6;2;2;0;6;2
toronto;0;0;0;0;0;0;0;0;0;0;0;30;10;6;10;8;2;2;6;2;14;0;6;2;0;12;8;0;4;0;6;4;0;0;0;6;2;0;4;4;6;0;6;6;4;2;0;14;0;2;0;4;0;2;14;0;6;10;0;2;14;2;8;2;4;2;0;12;0;8;0;2;0;0;0;0;0;0;4;0;6;4;0;0;12;2;4;6;6;0;8;6;4;4;0;0;2;2;0;4
public;0;0;0;0;0;0;0;0;0;0;0;0;10;8;10;8;2;2;12;2;14;4;4;2;2;2;6;2;10;6;10;6;4;2;0;4;6;0;0;8;4;0;8;0;4;4;0;20;0;2;8;0;0;4;4;0;0;10;2;2;2;4;2;2;0;0;6;6;2;4;0;2;2;6;0;0;0;0;0;0;20;2;0;2;2;6;2;2;0;2;10;4;22;6;0;2;0;0;2;6
together;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;16;6;0;2;2;2;4;12;18;8;2;0;4;6;6;4;4;6;2;8;2;4;2;4;14;8;2;18;4;0;2;8;2;0;4;0;4;6;8;0;0;2;6;4;6;0;2;2;6;4;4;2;2;4;2;2;4;8;8;6;2;2;2;2;2;6;4;2;10;2;4;6;2;4;2;0;2;4;10;0;2;6;0;2;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;18;2;0;2;2;2;22;0;2;6;6;8;0;22;6;0;6;4;0;0;0;2;0;2;2;2;2;0;6;2;0;6;6;0;2;4;0;6;2;0;2;0;0;4;6;0;0;6;4;0;2;0;2;4;2;6;0;2;0;0;2;0;0;2;0;2;0;0;0;6;22;0;0;0;2;0;0;2;2;0;0;10
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;4;0;12;6;4;4;2;8;6;4;6;0;8;0;6;4;4;8;0;0;4;12;18;0;0;2;0;4;6;4;8;2;0;10;10;8;2;2;4;12;10;4;2;0;6;2;0;0;2;8;4;8;0;2;0;4;16;0;10;6;2;4;0;2;0;4;2;2;0;0;0;2;2;2;2;18;0;0;0;4;8;4
