;district;dc;#dcstatehood;live;join;todays;budget;event;#unitythroughcommunity;#blackhistorydc;residents;housing;community;engagement;history;black;thank;#blackhistorymonth;support;#fairshot;new;city;across;library;program;#saferstrongerdc;family;congress;#dcproud;dcs;forum;2;gogo;highlight;week;state;stay;events;washingtonians;rights;celebrate;director;visit;music;public;#keepmetroopen;weeks;campaign;neighborhoods;help;learn;taking;participate;#dcvalues;take;@udc_edu;discuss;vote;51st;unity;conversations;statehood;inwere;offline;youth;sunday;tuned;fight;official;home;lets;hear;center;representation;safe;impact;ward;continue;school;without;@eleanornorton;streets#blackhistorydc;@repraskin;families;affordable;discussion;together;celebration;birthday;workers;special;power;@oversightdems;month;washington;next;americans;give;st;@chemonics
district;0;20;6;18;10;0;6;0;0;12;8;4;20;6;4;0;4;26;0;2;4;2;20;0;4;2;10;2;8;2;2;4;8;22;6;2;20;20;2;2;4;6;8;10;2;0;6;16;0;0;2;16;16;6;2;0;0;2;0;16;16;2;16;16;2;12;16;0;10;4;0;0;2;2;0;4;0;0;2;0;2;14;0;10;0;0;2;2;0;0;0;0;2;0;2;4;0;0;0;0
dc;0;0;18;12;10;8;4;8;8;12;6;4;4;4;10;8;0;2;4;4;4;4;8;4;6;0;2;14;8;4;2;0;4;0;6;8;0;2;8;6;8;2;2;4;2;0;6;0;2;0;6;2;2;4;0;0;2;6;8;0;0;8;0;0;2;6;0;0;4;2;4;4;0;0;2;6;2;2;2;2;2;0;2;2;0;2;0;6;0;4;6;6;4;4;10;2;4;2;2;0
#dcstatehood;0;0;0;8;2;2;0;0;0;0;10;0;0;0;0;0;16;0;14;0;2;2;0;0;2;0;0;14;2;4;0;0;0;0;0;14;0;0;8;4;0;0;0;0;0;0;4;0;2;2;2;0;0;0;2;0;0;6;12;0;0;8;0;0;2;2;0;8;0;0;2;0;0;6;0;0;0;4;0;2;10;0;8;0;0;0;4;0;0;2;0;4;12;0;2;0;4;0;0;0
live;0;0;0;0;6;4;12;2;0;6;6;8;8;10;6;0;0;2;8;8;8;4;6;2;6;12;4;2;4;8;6;2;4;0;2;2;0;0;0;0;8;2;2;4;4;4;0;0;2;4;2;0;0;6;2;6;8;2;2;0;0;6;0;0;2;0;0;4;4;2;0;0;10;0;0;2;8;2;2;0;2;0;0;4;2;0;4;0;4;2;2;0;2;0;0;0;0;0;0;2
join;0;0;0;0;0;52;2;52;52;22;8;0;4;2;14;20;0;8;2;0;6;6;8;22;4;0;12;4;0;2;0;0;2;4;4;2;0;0;4;6;8;4;4;2;14;2;0;2;4;0;10;0;0;0;6;0;8;8;2;0;0;4;0;0;0;6;0;4;2;2;2;2;0;0;0;2;0;2;0;2;0;0;0;6;0;12;6;4;2;0;4;2;0;0;6;4;2;2;2;0
todays;0;0;0;0;0;0;12;58;56;16;8;0;4;12;14;22;2;0;0;2;2;6;0;22;2;0;4;4;2;2;8;0;2;0;0;0;0;0;2;6;8;0;2;2;14;0;0;2;4;0;10;0;0;0;2;2;6;8;0;0;0;2;0;0;2;0;0;2;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;14;2;4;2;0;6;2;0;0;6;0;2;2;0;0
budget;0;0;0;0;0;0;0;2;0;0;10;4;6;44;0;0;10;0;0;12;0;2;0;0;0;0;0;0;2;0;24;0;0;0;4;2;0;0;2;0;0;2;4;0;0;0;4;0;0;2;2;0;0;0;2;4;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;8;0;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0
event;0;0;0;0;0;0;0;0;56;16;4;0;2;2;16;22;2;0;0;0;2;6;0;22;2;0;4;2;0;2;0;0;2;0;0;0;0;0;0;6;8;0;2;2;14;0;0;2;2;0;10;0;0;0;2;2;6;6;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;14;2;4;2;0;4;2;0;0;6;0;2;0;0;0
#unitythroughcommunity;0;0;0;0;0;0;0;0;0;16;4;0;2;0;14;22;0;0;0;0;2;6;0;22;2;0;4;2;0;2;0;0;2;0;0;0;0;0;0;6;8;0;0;2;14;0;0;2;2;0;10;0;0;0;2;0;6;6;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;14;2;4;2;0;4;2;0;0;6;0;2;0;0;0
#blackhistorydc;0;0;0;0;0;0;0;0;0;0;2;2;2;0;8;12;0;12;0;0;2;4;8;8;0;0;10;0;4;6;0;0;2;4;6;0;0;0;0;4;2;8;4;2;6;0;0;0;0;0;6;2;0;0;4;2;2;0;0;0;0;0;0;0;0;6;0;0;2;10;0;4;4;0;0;2;0;0;4;0;0;0;0;6;0;6;2;2;0;0;6;2;0;2;8;2;2;0;6;0
residents;0;0;0;0;0;0;0;0;0;0;0;4;2;8;0;0;8;0;4;8;6;2;2;2;2;2;2;2;0;4;4;0;0;0;2;4;4;0;4;4;4;0;0;0;0;2;0;0;4;0;2;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;2;0;2;2;0;4;4;0;0;2;0;2;2;2;0;0;0;0;0;0;2;2;0;2;4;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;4;0;10;4;4;0;4;0;8;0;2;0;4;2;0;0;0;0;0;0;2;0;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;6;2;2;0;6;0;6;6;0;0;2;0;0;4;12;0;4;0;0;0;0;0;0;0;0;2;0;2;0;2
community;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;16;2;2;4;2;4;4;2;2;2;0;4;2;2;2;2;16;0;0;16;16;4;0;4;0;2;2;0;2;0;16;4;2;4;16;16;2;2;0;2;0;0;16;16;0;16;16;0;0;16;0;2;0;2;0;0;0;2;4;4;2;2;0;2;14;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;6;0;2
engagement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;10;0;2;0;0;0;0;0;0;2;0;24;0;0;0;2;2;0;0;2;0;0;2;4;0;0;0;4;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;8;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;2;0;0;0;2;2;10;4;0;4;0;4;0;0;0;4;0;4;0;0;2;0;4;4;2;0;6;12;0;0;0;2;0;4;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;4;6;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;8;0;0;2;0;2;0
black;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;8;4;0;4;2;6;0;0;0;2;0;2;0;0;2;0;2;4;2;2;2;6;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;2;0;8;2;0;2;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;2;4;0;0;0;4;0;0;4;2;4;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;4;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;2;0;4;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
#blackhistorymonth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;12;0;4;0;0;0;0;20;4;0;16;18;0;2;0;8;6;0;0;0;0;16;0;0;0;16;16;0;2;0;0;0;0;16;16;0;16;16;0;8;16;0;0;4;0;2;0;0;0;0;0;0;0;0;0;14;0;6;0;0;2;4;2;0;0;0;0;2;0;2;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;6;2;2;4;4;0;4;2;0;0;0;0;0;6;0;0;2;0;2;0;0;0;0;6;4;0;4;4;0;0;0;0;2;0;0;0;6;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;4;0;2;0;0;0;0;0;2;2;0;0;4;0;0;10;0;0;0;0;2;0;0;0;0;0
#fairshot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;8;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;12;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;4;2;4;2;0;4;0;0;2;4;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;4;0;0;4;0;2;2;6;0;2;0;0;0;0;4;0;0;0;0;0;0;0;4
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;4;2;0;4;4;2;2;2;0;0;0;0;0;2;2;4;0;0;2;2;6;0;0;0;4;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;4;2;2;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;2;2;2;0;0;0;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;2;4;0;0;2;4;6;0;0;0;0;2;0;4;4;6;4;0;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;2;0;0;0;2;2;2;0;0;0;0;0;0;8;0;0;2;0;0;4;0;0;0;0;0;2;2;2;0;0
library;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;14;0;0;0;0;0;6;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;4;0;0;0;0;0
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;4;0;4;0;0;2;0;0;0;2;2;2;0;0;2;2;0;2;0;2;0;0;0;0;2;2;2;4;2;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0
#saferstrongerdc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;8;4;2;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;8;6;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;2;2;2;0;2;0;6;0;0;0;0;0;0;8;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;10;4;0;0;6;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;8;0;0;0;0;0;0;0;0;4;2;0;2;2;4;0;0;0
#dcproud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;2;0;0;2;2;2;4;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;2;2;0;0;4;2;0;0;0;0;2
dcs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;0;0;2;0;0;0;2;0;6;0;0;4;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;8;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0
forum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;4;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2
gogo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;14;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
highlight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;6;6;0;0;0;0;16;0;2;0;16;16;0;2;0;0;0;0;16;16;0;16;16;0;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;2;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;14;0;0;2;0;0;0;0;0;6;0;0;2;0;0;4;0;0;0;2;0;2;0;0;4;0;0;0;4;0;0;2;0;6;2;0;2;2;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;16;0;0;0;16;16;0;0;0;0;0;0;16;16;0;16;16;0;0;16;0;0;4;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
events;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;16;16;0;0;0;0;0;0;16;16;0;16;16;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
washingtonians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;2;0;0;2;2;0;2;2;4;2;0;0;4;0;0;0;0;0;2;2;0;4;0;0;2;2;2;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0
rights;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0
celebrate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;2;4;6;0;2;0;0;0;2;0;2;0;0;2
director;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
music;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;16;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
#keepmetroopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0
weeks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;0;0;16;16;0;16;16;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
neighborhoods;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;4;2;0;0
taking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;16;0;16;16;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
participate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;16;16;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#dcvalues;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
@udc_edu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0
51st;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;2;0;0;2;0;0;0;4;0;2;0;0;2;0;0;0;4;0;0;2;0;2;2;0;2;2;0;0;0;0
