;kansas;covid19;kansans;work;recovery;state;help;challenges;please;economic;health;4;administration;visit;spark;place;masks;icymi;communities;take;continue;school;ks;discuss;economy;services;taskforce;community;live;important;thanks;jobs;forward;kansan;pandemic;people;year;spread;regarding;june;across;latest;investment;response;testing;risk;states;efforts;program;distance;census;page;officials;#2020census;updates;support;office;use;distancing;counties;meeting;businesses;protect;anniversary;briefing;teachers;hold;deserves;future;social;broadcast;energy;safety;press;call;schools;executive;caused;facebook;move;federal;strengthening;put;partner;high;news;message;funding;track;approve;top;following;full;havent;spoke;president;workers;neighbors;public;priority
kansas;0;12;6;12;12;8;4;6;6;8;8;0;2;2;4;4;6;2;6;8;6;4;2;0;4;2;4;0;2;4;2;8;8;2;8;6;4;4;0;0;8;0;4;0;0;2;0;2;4;0;6;0;2;6;0;4;2;4;4;4;4;4;4;0;0;0;0;0;2;4;0;4;2;0;4;4;6;2;0;6;4;6;0;4;4;0;0;4;0;2;2;0;0;4;2;4;2;2;4;2
covid19;0;0;8;8;8;8;6;6;6;2;2;6;2;8;4;0;2;2;2;4;0;6;6;6;4;2;4;2;8;0;2;2;4;2;6;4;0;4;6;6;2;6;0;2;2;2;2;2;0;0;0;6;0;0;6;2;2;2;0;2;2;4;4;0;6;2;6;0;2;0;6;0;0;6;0;2;2;6;6;2;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0
kansans;0;0;0;10;10;8;6;2;0;2;2;0;8;0;4;2;2;4;4;0;6;4;4;2;2;2;2;2;0;4;4;2;2;0;0;0;2;2;0;2;2;0;0;4;4;2;4;6;0;0;0;0;4;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;2;0;2;2;0;4;2;0;2;2;0;2;0;4;0;2;0;2;0;0;0;2;4
work;0;0;0;0;12;8;2;4;2;6;8;0;6;0;2;4;4;4;2;0;4;8;4;0;2;2;0;6;0;2;2;6;4;0;2;2;0;0;0;0;6;0;0;0;2;4;0;4;0;4;0;0;0;0;0;4;0;2;4;2;0;2;2;0;0;2;0;0;4;4;0;0;6;0;0;2;0;2;0;4;2;2;4;4;0;0;0;0;0;0;4;0;0;0;4;0;2;0;0;4
recovery;0;0;0;0;0;4;0;4;0;10;6;0;2;2;8;4;2;2;2;0;2;2;4;0;4;0;6;2;2;2;2;4;8;0;0;4;2;0;0;0;4;0;2;0;2;2;2;2;0;0;0;0;0;0;0;4;4;2;2;0;4;4;0;0;0;0;0;0;4;2;0;0;4;0;0;0;4;2;0;6;2;6;4;2;0;2;0;0;0;2;4;0;0;0;2;0;0;0;0;4
state;0;0;0;0;0;0;4;2;0;4;0;0;4;0;0;0;0;2;0;2;2;4;0;2;2;0;0;0;0;0;4;4;2;0;4;2;2;2;0;2;4;0;2;0;4;2;0;4;0;0;0;0;2;0;0;0;0;4;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0
help;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;2;2;2;0;6;4;2;0;0;2;2;0;0;0;0;2;0;0;2;2;0;0;4;0;0;0;0;0;2;0;2;2;2;0;2;0;0;2;0;0;0;0;4;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0
challenges;0;0;0;0;0;0;0;0;0;4;2;0;4;2;2;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;6;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;2;6;0;6;0;2;0;2;2;6;2;2;0;6;0;2;0;2;6;0;0;0;0;0;0;0;0;0;6;6;0;6;0;0;0;2;0;0;0;2;4;6;0;4;6;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;6;0;2;6;0;2;0;0;6;0;4;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;2;2;0
economic;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;4;4;0;0;0;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;4;0;2;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
