;covid19;missouri;state;county;health;response;missourians;continue;public;people;governor;working;emergency;local;positive;@healthylivingmo;visit;regarding;order;citizens;1;work;tested;thank;press;director;social;care;across;protect;businesses;provide;information;food;missouris;help;march;disaster;support;st;great;2;parson;resources;additional;program;president;conference;mike;louis;assistance;briefing;facebook;testing;distancing;hotline;take;executive;safety;new;greene;city;facilities;update;together;safe;#showmestrong;meet;personnel;communities;ppe;providers;students;schools;guidance;federal;school;spread;community;#missouriproud;stl;live;2020;officials;call;economic;statewide;states;commercial;leaders;important;administration;efforts;morning;million;national;steps;family;stats;nation
covid19;0;108;50;44;20;52;32;24;22;28;28;20;34;26;44;24;26;48;22;24;20;10;26;12;28;10;8;8;18;8;16;12;26;4;26;22;28;12;12;10;4;18;22;28;26;4;8;16;20;10;12;18;18;8;6;22;6;14;6;8;20;10;4;12;10;16;10;4;22;12;4;18;2;2;16;6;4;16;6;2;10;12;4;18;14;10;8;14;10;6;10;4;14;4;4;4;10;8;18;10
missouri;0;0;40;20;22;18;10;16;14;28;18;16;10;16;22;12;30;30;18;18;14;12;18;8;12;0;6;4;6;12;26;4;24;2;4;16;16;24;10;12;14;10;12;24;30;16;8;10;8;14;16;0;2;6;2;18;10;12;6;4;12;4;2;8;8;6;4;4;2;6;6;12;6;6;10;6;4;14;10;12;4;0;8;10;10;18;4;6;8;2;4;8;8;0;6;8;8;0;0;4
state;0;0;0;22;16;32;16;20;18;16;14;18;18;24;10;2;0;2;6;14;10;10;4;4;6;4;6;4;28;12;0;12;0;6;8;12;10;4;8;6;10;8;10;2;2;0;10;8;10;4;2;10;10;4;4;0;2;4;8;4;8;14;4;10;4;8;2;10;8;4;4;0;4;4;2;12;6;6;8;6;10;8;2;6;4;0;2;4;8;10;0;6;4;6;6;6;8;2;4;8
county;0;0;0;0;4;8;8;0;2;14;4;2;10;6;26;0;4;0;0;0;18;0;16;4;2;0;0;0;10;0;0;0;0;0;8;2;16;0;2;14;6;12;4;0;0;0;0;4;4;16;0;6;4;0;0;0;0;6;2;0;24;12;0;2;6;4;2;2;10;2;2;2;0;0;0;0;2;2;0;2;12;0;4;6;4;0;0;0;10;6;4;0;0;2;2;2;0;4;10;0
health;0;0;0;0;0;4;20;16;22;6;0;10;8;16;0;8;6;2;2;16;0;8;2;2;2;0;0;12;0;28;0;10;4;4;4;6;0;4;0;0;0;0;0;8;4;0;4;0;0;0;0;0;0;8;0;0;8;2;20;2;0;0;12;0;2;0;0;0;4;6;0;4;4;8;6;8;4;2;4;0;0;0;0;8;0;2;0;4;4;4;4;0;4;0;0;0;6;0;0;2
response;0;0;0;0;0;0;10;6;4;0;16;8;26;22;0;2;2;2;12;2;0;2;0;2;6;6;0;2;10;2;0;14;2;0;10;6;0;2;8;0;0;2;12;6;6;2;2;4;10;0;4;16;10;0;0;0;0;10;2;2;0;0;2;10;4;8;4;2;14;4;2;0;0;0;0;4;2;2;6;0;0;8;2;8;6;0;2;6;0;6;6;0;8;2;0;2;2;2;0;4
missourians;0;0;0;0;0;0;0;12;6;2;2;10;6;10;0;2;4;4;0;8;0;6;0;10;2;2;4;4;10;18;0;6;2;0;0;6;0;2;0;0;0;0;0;8;4;0;6;0;0;0;0;6;0;2;2;4;4;0;14;0;0;2;2;0;10;12;4;0;4;6;4;0;0;0;2;8;0;2;0;0;2;0;0;2;6;2;2;4;0;0;4;4;2;4;0;0;2;4;0;6
continue;0;0;0;0;0;0;0;0;12;8;0;12;6;8;0;2;0;4;0;8;0;10;2;0;4;0;4;6;10;12;4;6;0;2;0;6;0;0;4;2;4;0;0;2;4;0;6;2;0;0;0;2;2;4;2;0;14;0;6;0;0;0;4;2;4;6;0;0;6;4;2;0;4;2;2;4;4;6;4;0;0;0;0;0;2;0;0;0;4;4;0;2;0;2;0;4;12;4;0;8
public;0;0;0;0;0;0;0;0;0;4;2;12;10;8;0;2;2;2;2;8;0;0;0;2;0;0;2;6;2;4;2;2;0;6;2;4;2;2;4;0;2;0;0;4;2;4;2;0;0;0;2;0;0;6;2;2;4;2;2;0;0;2;2;0;2;2;2;2;2;2;0;4;6;10;4;2;8;6;4;4;0;0;2;4;0;2;2;2;4;6;4;2;2;2;0;0;4;0;0;6
people;0;0;0;0;0;0;0;0;0;0;0;2;4;2;18;2;6;2;0;0;16;4;22;4;2;2;8;4;0;6;0;6;0;0;2;2;8;0;0;10;4;6;0;0;0;0;4;0;0;10;4;0;2;2;2;0;4;0;2;0;12;4;6;4;0;6;0;0;4;6;0;2;0;2;0;2;0;6;0;0;4;0;2;0;0;0;0;0;8;0;2;0;0;0;0;0;4;2;0;6
