;state;#ndsots20;#ndgov;north;dakota;grateful;people;great;together;nd;help;@potus;ag;thanks;national;work;justice;full;fund;trade;future;legacy;2020;address;excited;win;million;chief;partners;leaders;making;housing;strengthening;innovators;bison;dedicated;process;relationships;big;women;service;dakotas;forks;providing;men;grand;new;farmers;generations;@ndhighwaypatrol;entrepreneurs;offenses;safe;championship;areas;29;local;amazing;uneconomic;#usmca;fritz;business;receiving;leadership;line;thank;education;development;support;access;chester;provide;economy;later;team;tribal;1;auditorium;helping;game;key;lives;nations;uas;government;declaration;deal;energy;@senjohnhoeven;nepa;historic;nds;history;prosperity;officers;meaningful;congratulations;military;market;toward
state;0;12;10;10;8;2;2;2;2;4;2;0;0;0;2;4;2;4;4;0;2;2;6;6;4;0;2;2;2;0;2;2;0;2;0;2;0;0;0;2;6;2;6;2;2;6;2;2;0;0;2;0;0;0;2;4;2;2;0;0;4;0;4;2;0;0;0;0;2;0;4;0;0;2;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;2;2;0;2
#ndsots20;0;0;24;6;8;0;4;0;6;2;6;0;4;0;0;0;0;2;6;0;4;6;2;0;2;0;2;0;0;0;4;0;2;2;0;4;0;2;0;2;2;0;2;2;2;2;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;4;0;0;0;2;0;2;2;2;0;0;0;0;0;2;4;0;0;0;4;0;0;0;0;0;2;0;2;0;4;0;2
#ndgov;0;0;0;6;8;0;4;0;6;2;6;0;4;0;0;0;0;2;6;0;4;6;2;0;2;0;2;0;0;0;4;0;2;2;0;4;0;2;0;2;2;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;4;0;0;0;2;0;2;2;2;0;0;0;0;0;2;4;0;0;0;4;0;0;0;0;0;2;0;2;0;4;0;2
north;0;0;0;0;14;8;4;2;2;2;4;0;0;2;2;4;2;6;2;0;6;2;0;0;2;0;2;2;4;6;4;0;2;4;0;4;0;2;0;4;4;6;0;0;4;0;2;2;0;2;4;0;2;0;2;0;2;2;0;0;0;2;4;2;2;2;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;2;2;2;4;2;2;0;2
dakota;0;0;0;0;0;6;6;0;0;2;4;0;2;2;2;2;0;4;2;0;4;2;0;0;4;0;2;0;2;2;2;0;0;4;0;4;0;0;0;4;4;0;0;0;4;0;0;2;0;2;4;0;2;0;2;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;0;0;2;0;0;0;0;0;2;2;4;0;4;0;2
grateful;0;0;0;0;0;0;2;0;2;2;0;4;0;2;2;4;0;0;0;2;2;0;0;0;0;0;2;0;6;4;0;0;4;4;0;2;2;4;0;2;0;2;0;2;2;0;0;2;0;2;2;0;2;0;0;0;4;0;0;2;0;2;0;0;2;2;0;0;0;2;0;2;0;0;0;2;2;0;2;0;0;2;2;0;2;2;2;0;2;0;4;2;0;0;2;2;0;0;2;0
people;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;2;0;4;2;0;0;4;0;0;0;0;4;0;2;2;2;2;2;2;2;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2
great;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;2;0;2;2;2;2;0;0;0;0;4;0;0;0;2;2;2;0;0;4;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0
together;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;2;4;0;0;2;0;4;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
nd;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;0;0;2;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0
