;iowa;state;#investiniowaact;thank;iowans;#opportunityliveshere;#covid19;update;health;great;conference;next;covid19;additional;new;2020;life;support;positive;press;work;@potus;cases;iowas;spread;people;future;public;help;year;center;emergency;quality;morning;community;holding;opportunities;act;working;communities;continue;across;capitol;town;talk;hall;opportunity;care;services;conversation;build;incredible;@iapublichealth;taxes;1;funding;congratulations;thanks;230;important;appreciate;lets;@futurereadyiowa;fund;mental;reduce;coronavirus;decade;justice;disaster;best;take;court;efforts;million;declaration;students;vision;proud;school;states;learning;workforce;investment;critical;entire;proclamation;providing;10;condition;ia;trade;discuss;signed;agreement;give;2019;@epa;todays;general
iowa;0;28;10;10;12;14;12;12;14;8;8;10;10;6;10;12;6;4;6;6;6;8;6;2;10;4;0;4;2;4;2;6;2;10;6;2;10;6;4;2;6;4;12;2;2;2;4;4;2;2;12;8;4;2;6;6;2;2;0;2;2;2;4;4;6;2;4;2;2;6;6;0;4;4;4;0;4;0;4;0;2;6;4;2;2;6;2;0;0;0;0;8;6;2;8;2;2;0;2;0
state;0;0;6;0;8;14;10;14;12;4;10;4;10;12;12;6;6;2;8;8;0;0;8;6;0;2;2;10;2;0;8;14;4;8;0;4;0;0;0;2;2;2;12;2;2;2;0;0;2;2;2;2;0;0;2;4;0;0;0;0;2;0;0;2;2;2;4;4;0;2;0;6;0;0;2;6;2;2;0;2;0;2;0;0;2;2;4;4;4;8;0;0;2;2;0;4;0;0;0;2
#investiniowaact;0;0;0;16;4;0;0;0;6;8;0;2;0;0;0;0;8;14;0;0;0;0;0;4;0;6;4;2;4;2;4;0;10;4;0;2;0;0;2;0;2;0;2;14;10;12;0;0;2;12;2;2;0;2;0;2;0;4;0;4;4;2;0;6;6;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
thank;0;0;0;0;2;2;4;0;2;4;2;0;0;0;0;0;0;6;0;0;8;10;0;4;2;2;4;0;4;0;2;0;2;2;2;0;0;2;0;4;4;6;0;4;4;4;2;2;2;0;4;8;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;2;0;2;0;2;4;0;0;2;0;4;0;2;0;2;6;2;0;0;0;0;0;0;0;2
iowans;0;0;0;0;0;8;6;2;8;0;0;12;4;8;0;6;2;2;4;0;4;0;4;0;2;2;2;4;4;10;2;2;2;2;2;0;6;6;2;0;2;0;0;0;0;0;4;2;4;0;2;0;2;4;0;0;0;2;0;2;2;2;6;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0
#opportunityliveshere;0;0;0;0;0;0;0;0;2;4;2;10;0;2;4;6;2;4;0;0;2;0;0;2;0;4;4;0;0;2;2;0;4;2;0;0;6;6;0;4;2;0;0;0;2;0;4;0;0;0;4;2;0;4;0;8;0;2;0;0;0;2;4;2;2;4;0;8;0;0;0;4;0;0;4;0;0;2;2;0;0;0;6;0;2;0;0;0;2;4;2;0;0;0;0;0;2;0;0;0
#covid19;0;0;0;0;0;0;0;24;4;0;12;0;2;12;8;0;0;0;8;12;0;2;12;2;10;0;0;4;0;0;0;2;0;0;2;8;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;2;4;0;0;2;4;0;4;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;4;0
update;0;0;0;0;0;0;0;0;0;0;22;0;14;10;10;0;0;0;12;22;0;0;12;2;0;0;0;0;0;0;4;4;0;0;0;12;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;4;2
health;0;0;0;0;0;0;0;0;0;2;2;0;0;4;4;0;2;2;0;0;0;0;0;2;4;0;0;12;0;0;2;8;2;0;2;0;0;4;2;0;4;0;0;0;0;0;0;6;4;2;0;0;0;4;0;4;0;2;0;0;0;0;0;6;12;4;2;0;0;4;0;0;0;2;0;6;0;0;0;0;0;0;0;0;4;0;4;4;0;0;0;0;4;2;0;0;0;0;0;2
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;0;2;4;0;2;4;0;0;0;0;2;0;10;0;2;0;2;0;0;0;6;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
