;great;trump;president;united;states;new;people;federal;news;house;government;administration;american;world;obama;national;republican;country;state;donald;york;white;man;thank;good;former;media;senate;department;committee;city;released;campaign;party;fbi;million;reserve;court;money;story;military;election;hillary;fake;presidential;2016;clinton;washington;democrats;thing;help;america;order;working;big;nothing;report;senator;congress;job;year;home;supreme;justice;women;russia;love;announce;life;investigation;group;police;best;democratic;trade;monday;free;voted;woman;bill;hard;republicans;announced;history;work;may;times;trumps;political;forward;possible;killed;video;j;massive;war;week;democrat;men;amazing
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;0;0;4;4;6;0;4;0;6;0;2;0;8;0;0;2;0;0;0;0;0;2;4;4;2;2;4;2;0;2;2;0;2;0;2;2;0;0;0;0;0;0;2;2;0;0;6;0;2;0;2;0;2;2;2;0;0;0;0;0;2;0;0;2;4;0;2;0;4;0;2;2;0;0;2;2;0;2;0;0;4;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;0;2;4;2;0;2;0;0;6;4;0;0;0;0;4;0;4;6;4;0;0;0;0;0;4;0;0;4;0;2;0;2;2;2;4;0;0;0;2;4;4;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;4;4;0;2;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;2;6;2;2;2;0;0;0;4;0;4;16;0;6;4;6;4;2;2;0;2;0;0;2;4;2;0;2;4;4;0;2;4;0;2;4;4;0;2;0;0;0;4;4;0;0;0;0;0;2;0;2;0;2;2;12;0;2;0;0;0;0;2;2;2;2;0;2;0;4;2;4;6;0;0;0;0;0;4;2;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;16;2;2;0;4;2;0;0;4;2;10;2;4;8;22;0;0;2;0;2;0;0;0;4;4;12;2;2;4;4;4;0;2;0;2;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;2;0;4;6;0;0;0;4;2;2;0;2;0;4;2;4;0;0;2;2;4;0;0;6;0;0;0;2;0;4
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;8;4;2;0;2;0;0;2;0;0;2;2;0;0;0;4;2;6;6;0;0;0;2;0;0;8;0;0;4;4;2;2;0;4;2;2;0;0;0;0;0;2;2;2;0;0;4;2;0;0;0;0;0;0;0;0;0;4;4;4;4;2;0;0;0;0;0;2;2;0;2;2;4;0;0;4;4
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;2;8;0;2;0;0;8;2;2;4;4;2;2;2;0;2;2;2;0;2;6;0;2;0;6;6;2;0;2;4;0;4;0;2;2;2;2;0;2;0;2;0;0;2;2;0;0;4;0;0;0;0;0;0;0;4;2;0;2;0;0;4;0;2;2;2;0;0;0;2;0;4;2;0;0;4;0;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;2;0;2;2;4;2;4;6;2;6;12;2;2;0;0;0;0;0;6;4;6;12;4;4;4;0;0;0;0;6;0;4;2;2;2;0;2;0;0;0;2;0;2;0;0;0;4;0;0;0;6;0;4;0;2;0;2;0;0;2;6;0;0;2;8;0;0;2;0;0;18;0;0;2;0;0;2
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;2;0;4;2;4;0;4;4;0;0;0;2;0;0;2;2;2;2;2;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;2;4;0;2;6;4;0;2;20;2;0;0;0;0;0;0;0;0;0;2;2;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;6;0;6;2;4;0;10;2;2;4;0;0;0;0;0;0;2;2;2;2;2;0;0;2;2;0;0;2;0;2;0;0;0;2;2;0;2;0;0;0;4;2;0;2;2;2;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;2;4;0;2;2;0;6;0;2;0;4;2;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;2;2;0;0;2;2;2;2;0;0;0;2;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;4;0;0;0;0;10;2;0;0;2;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;4;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;2;0;4;0;2;0;0;0;0;2;0;0;2;0;2;4;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;8
