;delaware;covid19;health;public;delawareans;state;thank;stay;delawares;de;help;care;watch;community;#desots;home;protect;work;school;social;director;new;spread;division;working;students;workers;@delaware_dhss;economy;important;face;coronavirus;businesses;support;take;sussex;communities;together;continue;testing;livestream;hands;briefing;across;wear;dr;giving;en;distancing;wash;schools;children;especially;difficult;visit;emergency;live;safe;view;town;part;family;year;order;june;county;neighbors;million;secretary;food;forward;still;educators;situation;reopening;steps;may;response;people;next;guidance;covering;wilmington;families;good;healthy;plan;rattay;front;real;karyl;services;everyone;program;country;hall;starting;budget;states;phase
delaware;0;90;52;58;36;50;24;18;20;8;20;12;30;14;16;14;22;24;16;10;24;18;12;36;22;16;16;10;14;26;8;14;18;8;6;14;16;20;20;8;28;4;28;26;4;26;30;6;8;4;16;8;12;12;4;16;2;8;24;2;14;12;8;4;8;10;14;10;14;6;14;20;8;4;10;8;10;4;8;8;12;6;6;12;8;2;8;22;6;8;22;6;6;10;12;4;8;12;6;10
covid19;0;0;72;68;40;26;8;10;48;16;28;22;50;26;0;12;22;20;6;12;42;8;42;46;10;0;18;16;20;20;12;0;12;10;8;20;10;8;14;22;46;6;46;6;12;38;46;2;6;6;2;0;12;6;10;22;2;10;40;2;14;8;2;2;14;16;8;0;16;4;10;24;0;12;18;10;8;22;0;2;12;8;0;4;0;0;12;36;8;8;36;4;8;8;0;0;10;8;2;6
health;0;0;0;104;36;12;30;14;24;20;22;48;40;18;6;8;20;16;6;20;36;8;20;62;12;4;30;32;6;12;8;16;14;12;22;8;6;8;10;4;38;12;38;4;4;36;38;0;12;6;8;2;12;4;4;24;0;4;36;0;6;10;6;8;6;6;8;2;8;2;0;10;6;2;4;10;6;10;4;6;10;0;2;4;2;4;4;36;24;4;36;12;10;0;0;0;8;6;0;6
public;0;0;0;0;32;20;6;30;26;20;20;10;50;14;6;20;14;10;8;30;36;8;16;68;4;6;4;30;10;10;38;12;10;4;22;10;6;6;10;2;46;36;38;2;32;36;38;0;20;32;12;8;8;10;10;16;2;2;36;10;6;8;0;4;6;14;4;0;4;0;2;10;8;10;4;14;8;2;6;8;14;22;2;2;2;0;8;36;0;4;36;2;10;0;4;8;6;10;0;6
delawareans;0;0;0;0;0;36;32;30;18;8;16;18;2;20;12;24;26;22;4;18;0;10;8;4;16;2;16;14;12;16;24;8;12;8;14;6;6;4;4;10;2;22;0;8;22;0;0;0;12;20;6;0;16;14;8;6;0;12;0;2;10;6;4;10;10;4;14;6;10;6;6;12;0;12;6;4;0;2;6;10;8;14;2;10;4;10;2;0;6;8;0;6;6;2;2;0;4;2;6;4
state;0;0;0;0;0;0;26;4;20;14;14;14;4;16;22;8;4;18;16;0;0;2;6;0;10;18;20;4;6;16;0;4;4;8;4;0;8;6;14;12;2;0;0;32;0;0;0;0;0;0;12;12;4;12;8;12;0;4;0;4;4;2;12;14;8;2;2;4;6;4;8;2;14;0;4;2;12;2;12;6;4;0;12;8;6;4;6;0;4;0;0;2;2;6;4;4;4;10;6;2
thank;0;0;0;0;0;0;0;8;10;6;16;30;0;6;6;6;6;14;12;2;2;8;2;0;18;6;34;6;0;8;8;4;2;8;6;4;6;10;4;0;0;2;4;6;2;0;0;0;2;2;6;8;6;10;2;4;2;8;0;0;0;2;6;2;0;6;10;0;2;8;4;2;10;4;0;2;4;4;0;0;0;2;4;12;4;4;4;0;18;4;0;0;10;0;2;0;4;2;0;0
stay;0;0;0;0;0;0;0;0;8;10;16;6;0;6;0;64;22;12;2;18;0;0;18;2;8;2;2;6;2;0;24;10;2;4;16;0;2;12;4;2;0;38;0;0;22;0;2;0;10;38;0;0;6;2;10;4;0;16;0;0;18;14;2;8;0;0;12;0;0;2;0;6;0;12;0;0;4;0;4;0;10;18;0;0;0;4;2;0;0;0;0;2;12;0;0;0;0;0;2;0
delawares;0;0;0;0;0;0;0;0;0;0;10;18;10;18;6;4;16;12;2;6;0;8;10;2;2;4;20;2;20;6;4;8;8;8;2;6;6;4;6;6;8;2;2;0;4;0;0;0;4;2;2;0;2;2;10;6;2;2;0;10;0;8;0;8;10;12;8;2;0;0;2;6;4;0;12;4;8;24;0;0;4;4;0;2;2;4;8;0;8;4;0;4;4;12;0;8;0;8;2;6
de;0;0;0;0;0;0;0;0;0;0;10;6;4;4;4;10;0;6;4;6;0;4;10;6;4;2;2;12;4;0;6;16;10;8;4;10;8;4;6;0;2;6;0;2;2;0;2;14;4;4;4;4;2;2;8;8;0;0;0;6;2;6;2;8;6;2;0;2;0;0;0;6;4;4;0;2;6;0;2;0;4;2;0;2;2;2;2;0;2;6;0;0;2;0;4;2;4;2;4;4
