;florida;state;program;lives;gulf;approved;bullock;fintech;details;grant;justice;info;help;veterans;duty;local;l;college;violence;family;throughout;federal;floridians;red;initiative;floridas;growth;fund;capitol;mourn;military;continue;season;county;nation;families;pleased;troop;job;provide;northeast;infrastructure;active;educational;keeping;thanks;#snapper;coach;trooper;personnel;@uf;pardoning;death;impacts;housing;coronavirus;st;economic;springs;agreed;major;discuss;acquisitions;awarding;glad;school;provides;natural;support;lost;live;certifications;soldiers;case;pierce;msd;conservation;head;projects;announcement;miami;domestic;government;@msdhighschool;killed;11th25th;new;supplies;expansion;sarasota;held;morning;forward;protect;enjoyed;monitoring;taking;additional;four;launch
florida;0;8;4;2;2;4;0;2;0;2;2;4;2;0;0;4;0;2;4;0;2;4;2;2;2;2;2;2;4;2;0;4;2;2;4;2;2;0;2;2;2;4;0;2;0;2;2;2;0;0;2;2;0;0;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;0;0;0;2;0;2;2;2;2;2;2;2;2;2;0;2;0;2;2;2;2;2;0;2;2;2;2;2;2;2
state;0;0;2;2;2;2;0;2;2;0;2;2;0;2;2;0;0;2;2;0;2;2;0;2;4;0;0;0;2;2;2;2;2;2;2;0;2;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
program;0;0;0;2;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;2;0;0;2;2;0;0;0;0;0;0;2;2;0;2;0;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
gulf;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
approved;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0
bullock;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fintech;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
details;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
