;help;covid19;support;canada;country;work;together;people;safe;working;business;across;spoke;update;new;workers;emergency;pandemic;canadians;watch;live;businesses;details;call;click;giving;health;taking;wage;making;thank;subsidy;world;food;tune;steps;talked;economy;apply;fight;everyone;countries;morning;thanks;able;response;announcing;family;stay;territories;protect;provinces;keeping;care;million;front;benefit;week;owners;year;home;jobs;equipment;latest;difficult;rent;global;times;info;month;job;helping;impacts;important;employees;loved;indigenous;focused;measures;lives;organizations;lets;communities;personal;ones;community;tough;protective;seniors;cant;prime_minister;hard;vulnerable;happy;phone;thoughts;families;virus;kids;remember
help;0;68;54;58;58;36;20;52;28;24;58;42;14;26;28;40;52;32;20;24;26;40;30;12;36;30;10;24;34;26;18;34;6;8;20;22;4;8;16;12;8;4;4;10;14;16;18;14;8;4;18;4;12;8;14;4;18;16;24;2;10;26;6;10;16;12;6;16;10;10;12;8;10;6;18;4;10;8;10;2;16;6;14;6;4;12;12;6;12;6;2;10;10;0;4;2;6;2;8;2
covid19;0;0;50;48;34;40;40;54;62;40;14;26;80;36;14;24;18;58;12;22;18;10;16;46;16;34;22;32;12;10;8;12;30;4;28;30;40;8;4;40;8;36;22;12;2;32;12;6;8;6;18;6;10;10;14;14;8;8;4;6;6;8;8;20;6;4;24;8;4;10;8;8;30;4;4;6;8;8;8;4;10;0;6;4;8;10;6;6;4;8;20;10;8;0;22;0;4;26;4;0
support;0;0;0;26;50;48;30;28;36;40;22;40;26;34;30;22;18;28;16;30;34;16;26;16;12;32;10;22;12;14;4;6;8;12;28;18;8;28;8;6;14;4;6;6;4;10;30;16;8;12;12;14;8;6;10;2;6;10;12;4;6;4;0;24;16;8;0;12;18;2;4;6;10;8;2;2;6;10;12;4;14;2;8;0;2;8;10;0;12;4;0;4;10;2;8;0;8;0;0;2
canada;0;0;0;0;22;28;20;26;16;20;48;22;20;16;12;26;94;8;10;12;14;20;20;12;16;8;14;8;38;12;6;38;12;4;14;6;6;6;26;14;6;16;6;4;12;24;14;6;8;6;8;6;6;8;4;6;32;14;22;8;0;14;12;8;4;24;2;2;10;24;12;6;2;8;20;2;0;0;6;0;0;0;4;8;2;4;2;10;0;6;4;6;2;4;2;0;4;2;4;2
country;0;0;0;0;0;34;18;26;20;26;18;124;6;26;20;22;12;12;30;22;20;36;6;4;6;24;8;10;16;22;12;14;12;6;10;10;6;10;4;10;10;2;4;8;6;4;14;10;6;8;10;8;4;6;12;6;2;6;12;2;4;16;4;6;12;0;2;6;8;2;8;12;10;14;12;6;12;4;4;2;10;4;14;2;6;12;6;2;4;0;0;6;2;10;0;4;10;4;4;4
work;0;0;0;0;0;0;36;30;28;18;8;26;24;28;10;14;8;28;12;16;18;8;10;10;4;16;16;8;4;14;26;4;20;4;20;8;14;26;2;4;16;20;8;6;4;6;6;2;4;16;6;16;6;6;10;10;6;10;2;4;2;8;6;14;4;2;12;2;4;6;10;2;10;10;0;4;4;8;0;4;4;2;2;6;4;4;4;6;4;6;6;10;6;0;2;4;2;6;0;0
together;0;0;0;0;0;0;0;22;24;46;2;8;40;4;10;2;2;14;26;10;6;8;4;36;6;0;8;12;2;4;4;0;20;4;2;10;20;14;0;14;14;26;16;10;6;0;2;10;14;6;8;6;4;4;4;0;0;4;0;14;10;4;0;0;6;4;14;6;6;4;2;4;12;6;0;2;2;12;2;6;0;8;0;0;2;6;6;0;0;6;10;2;10;10;12;0;2;8;4;10
people;0;0;0;0;0;0;0;0;34;16;12;20;30;8;14;16;14;24;14;8;10;10;6;14;10;12;12;16;18;8;4;18;12;4;6;14;22;8;10;8;4;10;6;4;6;4;8;8;0;4;12;4;6;6;12;6;6;2;4;0;2;12;6;4;0;0;8;2;0;2;6;8;4;4;4;4;4;6;8;2;8;2;4;8;2;12;4;6;0;0;8;0;4;0;12;6;6;4;2;6
safe;0;0;0;0;0;0;0;0;0;38;6;14;30;30;8;30;2;14;4;22;18;4;12;24;14;24;22;28;0;12;16;0;6;2;8;24;16;22;2;12;8;4;6;6;2;10;4;4;16;12;2;12;22;16;4;26;2;10;2;2;6;0;18;6;0;0;4;2;4;2;4;6;2;2;0;8;2;20;8;6;2;2;8;16;8;4;2;18;0;8;4;4;2;0;8;0;2;6;2;2
working;0;0;0;0;0;0;0;0;0;0;2;20;26;10;18;18;2;12;14;10;10;10;8;24;8;4;12;12;8;12;12;2;10;10;6;10;12;12;0;12;6;12;6;0;6;8;10;6;12;20;4;22;6;10;6;10;2;6;2;0;2;2;6;2;4;2;6;4;8;4;0;4;6;2;0;4;2;10;4;2;0;0;8;2;4;2;4;2;0;4;6;6;6;0;8;2;2;6;0;2
