;trump;people;president;united;states;great;american;news;new;working;house;national;party;government;republican;man;china;country;thank;state;obama;fake;donald;white;federal;fact;court;congress;best;investigation;act;trade;fbi;administration;democrats;city;police;washington;work;thing;big;america;video;left;democrat;hard;proud;still;war;help;world;senate;russia;massive;post;2016;complete;support;finally;everyone;trying;believe;final;may;change;job;information;media;year;military;called;million;york;says;story;team;copy;weeks;former;security;shooting;another;family;wants;friends;threat;supreme;important;attack;bill;families;republicans;tax;past;spent;campaign;nation;strong;announced;good
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;2;0;0;0;4;2;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;4;0;2;0;2;0;4;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;4;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;2;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;2;16;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;2;4;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;2;2;2;0;2;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;4;0;0;2;2;0;2;2;0;0;0;0;0;4;4;2;2;0;0;2;2;2;2;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;6;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
fact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;6;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2
