;love;oh;thank;donald;cant;god;new;man;good;@meredthsalenger;watch;yes;wow;great;everyone;show;fun;film;wait;shit;hope;movie;gonna;amazing;best;people;thread;please;guys;still;holy;ive;special;#iloveeverything;think;thanks;happy;little;hes;dude;brilliant;@netflix;trump;saturday;thing;fuck;help;mean;alice;hilarious;take;tickets;lets;end;tune;seen;theres;2;president;listen;times;talk;sorry;give;comedy;days;twitter;die;ha;hey;tomorrow;next;life;left;#illbegoneinthedark;hell;big;beyond;episode;miss;something;could;beautiful;someone;fascinating;goes;gorgeous;friend;guy;gets;yeah;work;season;safe;cuz;grab;probably;gotta;fan;tweet
love;0;12;4;0;2;8;16;8;4;6;2;0;4;6;0;6;2;4;2;2;4;4;0;2;0;0;8;2;4;0;0;2;12;2;4;2;2;2;4;0;4;10;2;2;2;0;0;0;2;4;0;0;4;0;0;2;0;2;2;2;2;0;0;4;2;4;0;2;2;2;2;0;4;0;0;0;0;0;2;2;0;0;6;0;0;2;0;0;2;2;2;2;2;0;0;0;0;0;0;0
oh;0;0;14;2;8;60;2;28;6;4;6;10;18;2;8;2;2;0;8;2;2;6;2;6;2;0;10;0;4;2;2;0;2;6;2;2;2;2;8;4;4;2;0;2;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;4;0;4;0;0;0;2;0;4;0;0;0;0;0;0;10;2;0;0;0;0;0;0;2;0;2;4;0;4;4;0;4;0;0;2;2;4;2;2;2
thank;0;0;0;12;8;10;6;10;8;0;2;0;6;8;14;2;2;6;6;0;4;4;2;12;4;4;6;8;4;4;2;4;0;6;4;2;2;4;2;0;0;0;0;2;2;0;4;2;2;6;2;2;2;0;2;0;2;0;4;0;2;2;2;4;0;2;2;0;0;0;2;0;2;2;4;0;0;0;2;2;0;4;4;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;2;2
donald;0;0;0;0;2;0;0;0;6;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;2;2;0;0;0;6;4;0;0;0;0;0;0;0;0;4;4;4;4;0;0;2;0;2;2;0;0;2;0;6;4;4;0;2;0;0;0;0;8;0;4;0;0;0;2;0;0;2;0;0;0;4;4;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0
cant;0;0;0;0;0;2;6;2;6;0;4;2;2;4;6;4;6;6;36;2;4;0;4;2;2;2;0;4;4;2;2;4;4;0;4;2;0;0;0;2;2;2;2;0;4;0;2;4;0;0;4;2;2;0;0;6;0;0;2;2;0;2;0;2;0;2;2;2;0;0;2;2;2;0;0;0;0;4;2;0;2;2;2;4;2;2;0;0;0;0;0;2;4;0;2;0;0;0;0;0
god;0;0;0;0;0;0;0;0;18;4;6;2;2;0;0;0;0;0;0;4;4;6;0;2;2;0;10;0;2;2;2;0;0;0;4;0;0;2;4;0;2;0;0;0;0;0;0;2;0;2;0;0;0;4;0;2;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;2;0;2;0;0;2
new;0;0;0;0;0;0;0;4;0;4;6;6;0;10;6;4;2;0;4;0;6;4;2;6;6;0;2;4;0;0;2;0;28;2;0;0;2;0;4;0;2;22;0;2;0;0;2;2;2;6;2;0;2;0;6;2;2;0;0;0;0;2;2;4;4;6;0;0;0;2;4;2;0;0;0;0;2;2;6;0;6;0;2;2;0;6;0;2;0;0;0;4;2;4;0;0;0;0;4;0
man;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;6;2;2;2;0;4;2;2;6;4;0;4;2;2;0;0;0;2;4;2;4;8;4;4;0;2;2;0;2;2;2;4;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;6;2;6;2;2;2;0;0;2;2;0;2;2;0;2;0;0;4;0;2;0
good;0;0;0;0;0;0;0;0;0;4;12;0;4;2;0;0;0;0;2;2;6;4;0;2;2;8;4;2;2;0;0;2;0;0;6;2;2;2;0;0;2;0;0;0;4;2;0;4;2;2;0;0;2;2;2;2;4;0;0;0;2;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;0;0;4;2;0;2
@meredthsalenger;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;2;2;0;0;0;2;2;0;2;0;0;4;0;2;2;0;2;0;2;2;0;0;0;2;0;6;0;0;2;0;16;2;2;4;6;0;6;0;2;4;0;0;0;0;0;0;0;2;4;0;0;2;0;4;2;0;0;0;0;0;2;2;0;0;2;0;0;4;2;2;0;0;2;0;0;0;2;4;0;0;0;0
