;trump;united;states;people;great;news;party;house;new;american;president;court;job;case;government;bill;part;democrats;nothing;media;federal;best;man;left;@ufc;top;police;national;fake;white;london;trade;world;state;fbi;donald;trying;think;foreign;republicans;days;thank;reserve;committee;protect;announce;trumps;ban;nations;supreme;bad;another;north;friends;second;organization;longer;americans;openly;senate;determined;voted;border;end;policy;democrat;delhi;sessions;fire;big;list;economy;following;article;blocked;item;russian;election;families;republican;home;sorry;probe;good;pick;interest;short;post;texas;campaign;replace;terrorist;tremendous;defeat;year;j;high;nation;administration;city
trump;0;2;2;4;0;2;4;2;2;4;12;0;2;0;2;0;4;0;2;2;0;0;2;2;0;0;0;0;2;2;2;2;2;0;4;8;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;2;0;0;2;2;0;2;2;0;0;2;2;0;0;0;0;0;2;4;2;0;2;0;2;0;0;0;0;0;2;0;2;0;0;4;2;0;6;0;0;2;0
united;0;0;24;8;2;0;2;0;2;0;2;4;2;2;6;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;4;2;0;0;0;2;4;0;2;0;0;0;4;0;0;0;2;4;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;6;2;0
states;0;0;0;8;2;0;2;0;2;0;2;2;2;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;2;0;0;0;2;4;0;2;0;0;0;4;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;6;2;0
people;0;0;0;0;0;4;2;0;0;12;2;0;4;2;0;2;2;0;0;4;4;0;0;0;0;2;0;2;4;0;0;0;4;0;0;0;6;4;2;0;0;0;4;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;2;0;0;0;2;2;0;0;0;2;2;2
great;0;0;0;0;0;2;0;2;4;0;0;0;6;2;0;0;0;0;2;0;0;2;4;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0
news;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;2;0;6;2;2;0;4;0;2;2;0;8;0;0;0;4;2;0;2;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
party;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;2;0;2;2;0;2;0;4;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;2;0;4;2;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;4;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;2;2
