username,period,num communities,percent of trials
realDonaldTrump,Q1,4,0.75
realDonaldTrump,Q2,3,1
realDonaldTrump,JuneYTD,4,0.35
realDonaldTrump,January,4,0.53
realDonaldTrump,February,4,0.96
realDonaldTrump,Mar,5,0.45
realDonaldTrump,April,4,0.89
realDonaldTrump,May,3,1
realDonaldTrump,June,3,1
JustinTrudeau,January,5,0.84
JustinTrudeau,February,4,0.58
JustinTrudeau,Mar,4,0.96
JustinTrudeau,April,4,0.64
JustinTrudeau,May,4,0.71
JustinTrudeau,June,4,0.55
JustinTrudeau,JuneYTD,4,0.92
JustinTrudeau,Q1,4,0.58
JustinTrudeau,Q2,4,0.39
