;trump;president;great;states;united;people;new;federal;national;government;house;american;news;donald;world;administration;obama;country;thank;white;man;media;may;state;help;democrats;military;thing;fbi;campaign;working;good;left;russia;republican;fake;2016;justice;law;killed;2015;support;illegal;story;former;job;history;court;election;police;washington;supreme;department;transcript;best;america;city;big;another;nfl;party;team;week;york;fact;young;article;presidential;case;china;russian;congress;forward;latest;following;economy;announce;general;love;million;act;work;set;committee;copy;game;end;bill;night;deal;final;post;trying;coming;decision;greatest;friday;senate;complete;nothing
trump;0;110;22;20;20;22;16;4;26;2;28;6;14;58;0;18;14;4;8;14;4;8;10;2;2;10;2;10;12;32;8;10;4;12;12;2;8;0;6;2;0;6;6;8;8;6;2;0;8;2;10;2;0;6;2;4;0;6;4;0;4;2;2;10;6;2;4;10;2;6;10;2;4;10;4;6;2;8;4;2;2;2;0;8;4;0;8;4;2;6;4;4;8;2;6;4;4;4;4;4
president;0;0;14;42;40;28;12;8;10;6;24;8;16;26;2;14;20;6;8;12;4;10;6;4;2;6;4;12;6;12;10;0;2;4;2;14;0;0;0;4;0;8;6;8;10;14;4;4;2;2;8;8;0;8;4;4;0;10;6;0;2;2;2;6;6;4;2;2;6;8;6;2;8;6;4;4;4;8;0;6;2;4;4;0;4;4;6;6;2;6;4;2;4;2;6;4;8;6;2;4
great;0;0;0;26;22;38;10;8;6;8;8;10;14;12;6;10;6;18;16;6;8;10;2;16;2;6;6;4;2;2;4;10;4;2;4;10;6;2;2;0;0;6;0;8;2;16;6;2;4;4;4;0;0;0;4;4;2;6;6;4;6;6;2;6;2;10;0;4;0;2;0;2;2;4;0;0;4;2;4;0;2;6;0;0;0;2;0;0;4;4;0;2;4;2;0;6;2;0;4;2
states;0;0;0;0;148;16;14;14;10;12;6;4;8;6;16;4;4;12;8;6;0;2;6;6;12;2;10;4;2;0;18;2;6;4;2;2;2;6;0;0;0;2;6;0;2;6;2;2;4;0;4;4;2;4;4;10;4;4;0;2;4;0;2;2;4;0;0;2;0;6;4;0;6;0;2;0;4;4;2;4;4;6;2;0;6;0;8;2;0;8;4;0;0;2;4;0;4;0;2;0
united;0;0;0;0;0;14;10;6;10;4;6;4;6;6;16;2;2;10;6;6;0;0;6;4;8;2;10;2;2;2;18;2;6;4;2;2;4;4;0;0;0;2;6;0;2;6;4;2;4;0;4;4;0;4;2;8;4;4;0;0;4;0;2;2;4;0;0;4;0;6;4;0;6;0;2;0;2;4;0;4;4;6;2;0;6;0;8;4;0;8;4;0;0;2;2;0;4;2;2;0
people;0;0;0;0;0;0;10;8;8;8;4;28;8;4;12;6;4;12;6;6;2;14;4;8;4;8;4;0;6;6;4;10;4;2;6;6;4;4;2;8;2;6;6;6;0;4;8;2;10;2;2;2;4;2;2;2;4;2;4;2;6;4;4;4;4;8;0;4;0;4;2;2;0;2;0;4;0;6;6;2;0;4;0;0;2;0;6;2;2;4;2;0;0;6;4;6;4;2;0;2
new;0;0;0;0;0;0;0;2;16;8;8;6;10;10;6;2;6;6;6;6;8;6;6;4;8;2;2;6;2;4;0;4;4;2;8;4;4;4;10;0;0;2;4;8;2;6;2;2;6;2;4;0;6;4;4;4;6;2;2;4;4;0;8;24;6;0;2;2;2;2;2;2;2;4;2;2;14;0;2;2;0;6;6;4;4;2;0;0;2;0;2;4;2;2;2;6;6;4;2;2
federal;0;0;0;0;0;0;0;0;2;30;2;0;2;6;4;4;0;0;4;2;0;0;2;0;8;0;0;2;0;2;2;4;4;0;0;0;2;2;4;2;0;4;8;0;2;2;0;6;2;0;0;2;4;0;0;0;6;0;2;0;0;2;4;2;2;0;2;2;2;0;0;2;0;2;0;6;0;2;0;6;4;0;0;0;0;0;0;2;2;0;0;0;2;0;4;2;6;0;0;0
national;0;0;0;0;0;0;0;0;0;2;8;2;2;16;4;2;2;4;4;6;0;0;2;2;0;2;0;4;8;2;2;4;2;8;16;0;12;0;4;0;0;2;2;2;12;4;6;2;4;0;8;0;0;0;0;6;0;0;2;8;0;0;2;4;6;0;0;10;2;0;6;0;2;0;6;2;4;0;2;4;0;2;0;20;0;0;4;2;0;0;0;4;4;0;4;0;0;4;0;6
government;0;0;0;0;0;0;0;0;0;0;4;2;2;0;6;0;2;4;2;0;2;0;2;0;6;2;0;0;2;2;0;4;2;2;0;2;2;4;6;0;2;6;10;2;0;0;0;8;0;0;4;6;2;0;2;0;4;0;0;0;4;4;4;2;2;0;0;0;4;0;6;4;0;0;0;0;0;2;0;2;6;2;0;2;0;0;2;2;0;0;0;2;0;0;2;2;0;2;0;0
