;new;president;country;house;trump;united;people;white;states;great;york;released;radical;democrats;obama;senate;american;state;love;government;thank;police;history;left;man;party;2017;city;news;team;big;republican;administration;world;national;nfl;minister;trumps;presidential;article;social;real;giants;super;leader;times;important;court;deal;may;reports;destroyed;john;art;bowl;washington;considering;source;young;oklahoma;victor;word;vote;philippines;best;congress;law;la;piece;plan;impact;ran;launch;wonderful;hard;living;cities;announce;25;easier;korean;museum;baptist;trade;information;bill;year;medical;website;safe;nothing;announced;family;voted;black;tremendous;community;chairman;huge;wrong
new;0;6;2;2;2;0;2;2;0;4;10;2;0;0;2;0;4;0;4;0;2;0;0;0;0;0;2;4;4;2;4;2;0;0;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;2;2;6;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;2;0
president;0;0;4;6;8;4;2;4;4;4;2;4;2;4;6;6;4;4;0;2;0;0;0;2;2;2;4;0;2;2;0;0;0;0;2;0;2;6;0;0;2;2;0;0;0;0;4;0;0;0;2;2;2;0;0;4;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0
country;0;0;0;4;2;0;0;2;0;6;0;0;4;2;0;2;0;2;4;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;2;0
house;0;0;0;0;2;2;2;12;2;0;0;2;4;4;0;2;2;0;0;2;0;0;2;4;0;0;0;0;2;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;2;0;2;2;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0
united;0;0;0;0;0;0;2;2;16;0;0;2;2;0;0;0;4;0;0;4;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;4;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0
people;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;4;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;2;4;2;0;0;0;0;0
white;0;0;0;0;0;0;0;0;2;0;0;2;4;2;0;0;2;0;0;2;0;2;4;2;2;0;0;0;2;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;4;0;0;0;2;2;2;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;4;0;0;0;2;2;0;0;0;0;4;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
released;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;0;0;2;0;0;2;8;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0
