;students;program;pennsylvanians;pennsylvania;scholarship;gun;debt;help;bly;new;nellie;school;college;pa;proposing;less;@statesystem;plan;violence;people;education;schools;graduate;affordable;pass;vote;continue;increase;calling;work;tell;guns;legislator;student;legislation;high;laws;access;charter;life;legislature;prevent;@johnfetterman;making;public;workforce;year;rights;mailin;enough;#raisethewage;across;minimum;address;check;take;action;lives;funding;state;without;learn;legislators;protections;april;huge;act;reform;someone;lead;general;frances;election;childhood;isnt;shootings;law;talking;needbased;dog;primary;live;parents;ballot;higher;flag;register;stolen;future;teachers;voters;background;#pabudget;million;thank;firearms;families;needs;commonwealth;loopholes
students;0;22;6;4;18;0;16;16;16;14;16;12;14;6;18;16;18;4;0;0;6;4;16;8;0;0;2;2;2;0;0;0;4;6;0;8;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;4;6;0;2;0;0;0;4;0;4;0;0;0;0;0;2;0;0;4;6;6;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
program;0;0;8;2;22;0;16;16;20;14;20;10;16;6;18;18;18;4;0;0;8;2;16;10;0;0;2;2;0;0;4;0;6;4;0;8;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;8;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;6;6;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0
pennsylvanians;0;0;0;2;4;4;4;6;4;8;4;6;2;4;6;4;6;4;4;6;2;0;4;6;6;0;6;2;2;0;2;4;2;2;2;6;4;4;0;2;2;4;0;0;2;4;0;2;0;0;4;0;4;0;2;0;0;2;0;4;4;2;2;4;0;0;4;0;2;0;2;0;0;0;4;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;2;2;0;2;0;0;2;2;0;2
pennsylvania;0;0;0;0;2;0;2;4;2;4;2;4;4;2;0;0;2;0;0;2;4;0;0;2;4;2;2;2;2;6;0;0;4;2;0;0;0;2;2;4;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0
scholarship;0;0;0;0;0;0;16;12;22;12;22;10;18;6;18;16;16;4;0;2;8;2;14;12;0;0;0;2;0;0;6;0;8;4;0;8;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;6;4;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
gun;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;12;0;0;2;0;0;6;0;0;0;4;2;4;0;0;0;6;2;2;0;0;0;4;6;0;0;0;2;2;4;0;2;0;0;0;4;0;4;6;4;0;0;6;0;8;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0
debt;0;0;0;0;0;0;0;10;16;8;16;6;14;4;16;16;12;2;0;2;2;2;14;10;0;0;0;0;0;0;4;0;6;8;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
help;0;0;0;0;0;0;0;0;10;12;10;6;10;4;12;12;12;2;0;2;4;2;12;2;2;0;2;2;0;0;0;0;2;2;0;4;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;4;0;0;0;0;0;2;4;4;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;4;6;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
bly;0;0;0;0;0;0;0;0;0;10;22;10;16;6;16;14;14;4;0;2;8;2;12;12;0;0;0;2;0;0;6;0;8;4;0;8;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;6;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
new;0;0;0;0;0;0;0;0;0;0;10;8;10;6;12;10;12;2;0;2;6;2;10;6;2;0;0;2;0;4;0;0;2;2;0;6;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;2;4;0;4;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;6;4;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
