;state;connecticut;live;thanks;new;service;communities;lamont;continue;happening;news;people;help;family;good;proud;provide;business;residents;governor;hall;great;students;forward;stream;thank;town;best;announce;radio;transportation;important;call;healthcare;conference;efforts;2020;morning;signed;honor;system;nation;states;young;office;join;ceremony;bring;ct;thousands;january;working;public;school;administration;quality;making;safety;tomorrow;work;information;earthquakes;congratulations;#mentoringmonth;programs;opportunities;settlement;growth;advocates;jobs;take;future;following;drivers;id;medical;@ctdmv;holding;across;rail;legislators;improve;remain;@wfsbnews;voters;federal;held;together;officials;land;de;@wherewelive;@wtic1080;glad;year;coming;ask;ppl;change;friends
state;0;16;4;2;2;4;6;0;4;0;4;2;2;2;8;0;2;4;4;0;0;2;2;4;4;6;0;4;0;0;6;0;0;0;0;4;0;0;6;4;4;2;4;0;2;6;4;4;2;0;4;6;0;0;2;2;2;6;2;0;0;2;4;2;0;2;4;4;0;0;0;6;0;2;2;0;2;0;4;2;4;2;6;2;0;0;2;2;4;2;0;0;0;2;4;2;0;2;2;2
connecticut;0;0;2;0;4;2;4;2;4;2;0;0;0;2;2;4;2;2;6;2;0;0;0;0;2;2;0;10;2;0;0;4;0;4;0;2;0;2;2;2;0;2;6;0;2;2;0;2;0;0;2;0;2;0;0;2;2;0;0;0;2;2;4;2;0;2;0;0;0;0;4;0;2;4;2;2;2;0;2;0;0;0;4;0;2;2;0;0;0;4;0;0;0;2;2;0;2;2;4;0
live;0;0;0;0;2;2;2;6;0;10;4;0;0;0;2;0;0;2;2;6;4;0;0;0;8;0;4;0;2;4;0;0;4;2;4;0;0;2;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;0;2;2;2;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;2;0;0;2;0;0;2;4;0;0;0;2;0;0;0
thanks;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
new;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;2;2;0;2;2;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;4;0;0;2;0;2;0;2;4;0;2;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2
service;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
communities;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;2;0;0;0;2;2;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0
lamont;0;0;0;0;0;0;0;0;0;10;10;2;0;4;2;0;0;2;2;10;0;0;0;0;8;0;0;0;8;0;0;0;0;2;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;4;4;0;0;2;0;0;4;0;4;0;0;2;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;2;2;0;0;4;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0
happening;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;2;2;8;0;0;0;0;8;0;0;0;6;0;0;0;0;2;8;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;4;0;8;0;0;0;0;6;0;0;0;8;0;0;0;0;0;10;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;4;4;0;0;0;0;0;0;4;0;4;0;0;2;0;2;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2
people;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;4;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;2;0;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
