;great;news;fake;thank;people;states;house;white;media;job;big;conference;ventilators;president;coronavirus;strong;country;good;democrats;china;testing;@foxnews;eastern;complete;endorsement;amendment;work;lamestream;hard;state;border;second;help;do_nothing;congressman;american;press;businesses;united;military;left;crime;@nytimes;money;business;night;spoke;care;new_york;happy;nothing;enemy;america;new;fighter;radical;countries;story;wanted;invisible;hospitals;sources;failing;million;loves;tremendous;trump;world;governors;take;morning;#maga;@cnn;working;times;joe;wrong;especially;worse;530;ratings;needed;ohio;government;wants;congress;party;late;helping;sleepy;hes;democrat;told;recently;call;vets;given;jobs;republican;ban
great;0;22;14;20;20;6;2;2;8;28;16;2;12;12;12;12;8;10;4;4;4;6;4;12;12;12;8;2;12;14;8;10;8;2;12;8;0;8;4;8;2;10;2;4;8;2;6;6;6;6;4;8;2;8;12;2;0;0;0;8;0;0;0;4;10;6;2;4;0;4;2;10;4;2;2;0;0;2;2;0;2;6;8;0;0;6;2;2;8;0;4;0;4;8;8;8;4;8;2;0
news;0;0;88;28;18;6;36;34;24;6;2;28;0;10;10;4;4;10;8;14;2;2;18;0;0;0;2;16;2;2;0;0;0;6;0;6;6;2;6;0;8;0;14;0;2;8;4;4;10;0;8;2;4;2;0;8;2;12;6;0;2;14;10;4;2;0;4;2;2;4;2;2;16;4;10;4;6;0;0;6;12;0;0;2;6;0;4;0;0;0;2;4;12;8;2;0;2;2;0;6
fake;0;0;0;6;20;6;10;8;24;6;0;4;0;10;10;2;4;4;8;16;2;2;0;0;0;0;2;16;2;2;0;0;0;8;0;6;6;2;6;0;2;0;16;2;0;8;4;2;10;0;8;2;2;0;0;2;2;8;6;0;0;14;12;2;2;0;4;2;2;4;2;0;14;2;10;4;4;0;4;0;10;0;0;2;6;0;2;0;0;0;0;4;12;8;2;0;2;0;0;6
thank;0;0;0;0;12;2;36;36;2;6;4;34;4;4;0;4;0;2;2;2;0;6;16;0;0;0;2;2;0;2;0;0;0;0;0;2;16;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;2;0;2;14;0;0;0;0;0;0;6;0;2;2;0;0;2;0;4;0;0;2;6;0
people;0;0;0;0;0;8;4;4;8;8;2;2;2;6;4;12;4;0;6;2;0;6;2;12;12;10;2;6;4;2;4;10;8;4;10;8;2;2;4;4;4;6;2;2;8;6;4;2;0;2;10;2;8;4;4;4;6;0;2;0;0;2;0;2;2;4;4;2;2;2;2;6;0;4;2;0;0;2;6;0;4;0;10;0;0;2;2;4;2;4;8;2;4;0;0;6;2;2;2;0
states;0;0;0;0;0;0;0;0;6;2;6;0;10;10;0;0;6;6;4;2;6;2;2;0;0;0;2;2;2;0;0;0;6;2;0;4;0;0;24;2;2;0;0;4;2;2;2;2;2;2;0;4;2;4;0;2;4;0;2;4;6;0;0;0;0;0;2;4;6;0;0;0;0;2;2;0;0;2;0;0;0;2;0;8;2;0;0;2;2;0;0;2;2;0;0;0;4;4;0;0
house;0;0;0;0;0;0;0;56;6;0;0;44;0;0;4;0;0;2;2;0;2;2;18;0;0;0;4;6;0;0;0;0;0;2;0;2;20;0;0;4;6;0;8;0;0;8;0;8;0;0;4;0;2;2;0;2;0;4;0;0;2;0;4;0;0;0;0;0;0;6;6;0;2;0;0;0;2;0;0;14;8;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;6;0;0;44;0;0;4;0;0;2;2;0;0;2;18;0;0;0;4;6;0;0;0;0;0;2;0;2;20;0;0;4;6;0;8;0;0;8;0;6;0;0;4;0;2;2;0;2;0;4;0;0;0;0;4;0;0;0;0;0;0;6;4;0;0;0;0;0;2;0;0;14;8;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;6;4;2;2;10;6;0;4;4;8;6;2;2;0;0;0;0;0;28;2;0;0;0;0;8;0;6;4;0;6;0;4;0;0;0;0;4;2;0;2;0;4;2;0;0;0;4;0;0;0;2;0;6;2;0;0;0;6;2;2;0;0;0;0;2;2;0;8;2;4;0;6;0;0;2;2;4;6;0;0;0;0;0;2;0;0;0;2;0;0;2
job;0;0;0;0;0;0;0;0;0;0;0;0;10;2;4;6;8;10;2;0;8;4;0;8;8;4;2;4;0;4;2;4;2;2;6;2;2;4;0;2;4;6;0;2;4;0;0;0;2;0;2;0;2;0;0;4;2;0;0;0;4;0;0;0;2;2;0;4;2;0;0;2;2;2;0;0;0;0;2;0;0;0;6;4;0;0;2;0;0;0;2;0;2;2;0;2;2;0;2;0
