;utah;health;navajo;state;utahs;risk;public;covid19;county;nation;help;lands;tribal;orange;#utcovid19;salt;lake;family;grateful;yellow;remain;guidance;city;mask;friends;impacted;prayers;wearing;morning;service;encourage;working;commission;follow;testing;sports;wear;virus;coronavirus;moderate;masks;directives;together;situation;communities;guidelines;utahns;individuals;efforts;senate;people;example;jerry;home;hear;local;highrisk;leads;department;socially;saddened;hearts;economic;3;strongly;hard;honor;grand;apply;mothers;park;valley;care;upon;sovereign;school;clean;call;living;combat;lady;lives;@nnpreznez;colorcoded;phase;@nnvplizer2019;closed;recovery;current;protecting;protests;area;passing;awful;agriculture;lowrisk;thoughts;mobile;prevent;staff
utah;0;14;14;12;8;6;6;8;0;12;8;6;6;4;6;2;2;4;4;6;2;4;0;2;4;6;4;0;4;6;6;6;6;6;6;0;2;4;2;4;2;4;6;4;6;4;2;4;2;6;4;2;2;0;0;6;2;6;4;2;0;0;4;4;4;4;0;0;4;2;0;0;0;4;4;0;2;2;4;0;2;2;0;2;0;0;0;4;4;2;0;2;2;0;4;2;0;4;0;4
health;0;0;8;2;8;6;0;4;0;8;4;8;6;4;4;0;0;0;2;6;0;8;0;0;0;2;0;0;2;0;6;2;0;6;0;0;0;0;0;4;2;6;0;4;4;2;2;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;6;0;0;0;6;0;0;0;2;0;6;0;0;2;6;0;2;2;0;6;0;0;0;0;4;0;0;2;0;0;0;2;0;0;2;0
navajo;0;0;0;0;6;6;0;2;0;14;2;6;4;4;2;0;0;0;0;4;0;6;0;0;6;6;2;0;0;0;4;6;0;6;2;0;0;6;2;4;0;4;0;4;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;4;2;0;0;6;0;0;0;0;0;6;0;0;0;4;4;0;0;4;4;0;2;0;0;4;0;0;2;0;4;2;0;0;2;0;2
state;0;0;0;0;0;0;6;2;0;0;2;0;0;0;2;0;0;2;2;2;2;0;0;0;2;0;2;0;4;4;2;2;4;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;4;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
utahs;0;0;0;0;0;10;0;4;0;6;2;6;6;2;6;2;2;2;4;2;2;8;0;0;2;0;0;0;2;0;6;0;0;4;2;0;0;0;0;6;0;4;2;4;2;2;2;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;6;2;0;0;4;0;0;0;0;6;4;0;2;0;4;2;0;0;0;0;0;0;0;2;0;0
risk;0;0;0;0;0;0;0;2;0;6;2;4;2;6;8;0;0;2;0;6;0;4;0;0;2;0;0;0;0;0;4;0;0;4;0;0;0;0;0;8;0;2;2;2;2;2;2;4;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;4;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;6;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
covid19;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;0;0;2;2;2;0;0;0;2;4;6;0;4;4;0;0;6;0;0;2;0;2;4;0;2;4;0;0;0;4;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0
county;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;6;0;0;2;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nation;0;0;0;0;0;0;0;0;0;0;2;6;4;4;2;0;0;0;0;4;0;6;0;0;2;2;2;0;0;0;4;2;0;4;2;0;0;2;0;4;0;4;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;4;2;2;0;6;0;0;0;0;0;6;0;0;0;4;0;0;2;0;4;0;0;0;0;4;0;0;2;0;0;2;0;0;2;0;2
