;live;#akgov;#covid19;press;briefing;watch;@alaska_dhss;alaska;alaskans;#reopenalaskaresponsibly;tonight;#flattenthecurve;#alaska;state;economy;health;new;update;outbreak;5pm;reopen;alaskas;cases;thank;public;join;ak;businesses;plan;0;facebook;page;holding;numbers;great;responsibly;1;reopening;@annezinkmd;joined;deaths;covid19;officials;12;cumulative;discuss;tests;todays;#caresact;another;aks;latest;efforts;recovered;help;gt;#akleg;provide;22;discussing;may;economic;5;work;virus;hosting;phase;approximately;team;capacity;info;care;information;working;tomorrow;yesterday;continue;2;taking;members;federal;social;announced;questions;guidance;ongoing;case;cabinet;communities;hospitalized;briefings;evening;ways;across;system;hospitalizations;put;commissioner;alaskan;virtual
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;6;0;4;10;0;10;4;0;2;4;6;0;6;2;2;4;0;4;0;0;2;2;2;2;0;6;0;0;0;4;0;2;0;0;4;0;4;0;0;0;0;0;0;2;0;4;0;2;6;2;2;0;0;0;4;0;0;2;0
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;4;2;2;0;0;2;0;0;2;2;0;0;0;0;2;0;2;2;0;2;0;4;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2
@annezinkmd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;2;2;0;2;0;0;0;4;0;2
joined;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;4;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;4;0;2;0;0;6;0;0;0;0;0;2;0;2;0;0;2;6;0;0;0;0;0;2;0;6;0;0;0;4;2;0;0;0;0;2;0;0
deaths;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;20;0;16;14;0;2;0;6;0;14;0;6;0;2;2;0;0;0;2;0;2;0;0;0;2;2;4;2;0;0;8;0;0;4;0;0;0;0;0;0;0;0;4;0;0;12;4;2;0;0;2;8;0;0;2;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;12;8;0;0;2;14;0;8;0;4;0;2;0;0;0;0;4;6;0;0;2;2;0;0;4;0;10;0;2;2;2;2;0;2;0;0;0;0;2;0;4;2;0;6;0;2;0;2;2;4;0;0;0;0
officials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;2;0;2;0;0;6;0;4;0;2;6;0;2;8;0;12;0;0;0;0;0;0;0;0;2;0;4;10;0;0;0;0;0;0;0;10;0;0;0;8;2;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;6;0;0;0;4;2;0;2;0;0;0;0;2;0;0;2;0;0;2;4;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;2;0;4;0
cumulative;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14;0;2;2;8;0;16;0;6;0;2;4;0;0;0;2;0;2;0;0;0;2;2;6;2;0;0;6;0;0;4;0;0;0;0;0;0;0;0;4;0;0;12;4;0;0;0;2;10;0;0;2;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;2;0;4;2;0;4;2;0;2;2;0;2;0;0;0;0;2;2;0;0;0;4;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;2
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;10;0;16;0;6;0;0;4;0;0;0;0;2;2;0;2;0;0;2;6;2;4;0;2;0;2;4;0;0;0;0;0;0;0;0;4;0;0;10;2;0;0;0;2;6;0;0;2;0
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;12;0;4;0;2;2;0;2;0;2;2;0;0;0;0;4;2;4;2;0;0;4;0;0;2;0;0;2;0;0;0;2;0;6;0;0;6;2;0;0;0;2;8;0;0;0;0
#caresact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0
another;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;4;0;0;2;8;0;6;0;0;2;2;0;2;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;0
aks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;2;2;4;0;4;2;0;2;4;2;4;2;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;6;0;0;0;2;4;0;0;2;0;0;2;8;0;8;0;2;2;0;2;0;0;0;2;0;0;2;0;6;0;0;2;0;0;0;0;0;4;0;0;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0
recovered;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;0;0;0;0;2;0;0;0;0;2;2;4;2;2;0;4;0;2;2;0;0;0;0;0;0;0;0;4;0;0;6;2;0;0;0;2;8;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;2;0;0;2;2;2;4;2;4;2;0;0;4;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
gt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;4;0;0;2;0;4;0;0;4;0;0;0;4;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0
#akleg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;2;0;0;0;0;4;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;4;2;0;6;4;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0;2;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;2;4;0;0;0;2;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0
discussing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;2;2;0;4;0;2;0;2;2;0;0;0;0;0;0;0;2;0;2;2;6;0;0;0;2;0;0;0;0
