;#familiesfirst;americans;president;house;american;lives;people;act;crisis;testing;#heroesact;country;trump;health;congress;senate;coronavirus;communities;ensure;across;workers;action;fight;families;full;democrats;take;et;nationwide;police;reporters;america;covid19;work;#justiceinpolicing;protect;capitol;truth;justice;together;response;brutality;nation;legislation;stop;presidents;passed;tune;vote;democracy;continue;livelihoods;statement;injustice;economy;pass;put;national;americas;public;speaking;committed;protecting;resources;community;businesses;lgbtq;responsibility;leader;live;administration;thank;rights;law;clear;care;family;@housedemocrats;essential;supreme;history;access;mark;honor;expand;human;progress;state;racial;economic;efforts;science;bipartisan;fighting;historic;secure;lost;death;real;1045
#familiesfirst;0;14;14;16;28;22;14;8;22;26;18;14;8;18;12;16;26;10;24;14;20;2;18;16;4;14;10;6;10;2;6;4;10;14;0;10;0;6;0;8;10;0;6;8;8;4;8;2;8;6;14;16;0;0;18;10;20;2;2;6;6;6;10;20;2;18;0;6;6;0;4;2;0;2;6;8;2;4;8;0;2;14;0;0;12;0;0;4;0;4;4;14;8;6;6;0;0;2;2;4
americans;0;0;16;6;4;14;6;20;10;4;10;12;8;16;6;6;6;6;10;12;2;12;10;2;2;4;8;0;8;18;2;2;0;6;16;2;4;2;14;4;0;20;8;2;4;4;0;4;4;2;2;4;0;12;2;0;2;6;2;2;0;2;4;0;6;0;10;4;6;0;2;4;0;2;4;10;2;6;2;4;0;2;2;8;2;0;6;0;12;0;2;0;0;2;4;10;4;0;2;0
president;0;0;0;6;12;12;6;14;8;6;6;8;24;4;10;6;2;2;2;4;6;2;2;4;4;4;8;0;4;6;0;2;8;2;4;6;0;4;4;0;6;8;0;0;6;6;4;0;2;2;2;2;0;4;0;0;2;6;0;0;0;2;0;0;0;2;0;8;2;0;2;0;4;2;4;4;0;0;2;4;0;0;0;2;2;4;0;2;4;2;2;2;0;0;0;2;4;0;6;0
house;0;0;0;0;12;4;10;18;8;0;4;2;4;4;8;16;12;2;8;0;10;4;6;8;4;26;2;12;8;6;8;0;4;8;12;4;8;4;8;4;4;6;4;10;2;2;20;4;8;4;10;2;0;4;2;4;8;0;4;0;6;4;2;4;0;4;2;0;2;4;0;2;2;4;0;4;0;0;0;0;0;4;4;2;0;2;4;0;0;2;2;2;6;4;10;4;0;0;0;2
american;0;0;0;0;0;22;34;6;8;2;16;6;2;8;6;10;6;8;4;4;12;4;0;8;2;8;2;0;2;0;2;2;4;10;2;16;0;4;2;2;6;0;6;2;2;2;2;2;4;8;4;20;2;0;2;10;4;0;0;6;2;0;8;2;0;2;0;0;4;0;2;0;0;0;2;2;2;0;4;2;0;0;0;2;2;0;4;2;0;2;6;0;2;0;2;2;2;0;4;0
lives;0;0;0;0;0;0;20;10;6;8;12;6;10;2;2;8;6;6;6;8;6;4;6;2;4;4;4;2;2;4;0;4;4;2;4;14;0;4;4;2;4;4;4;2;8;6;8;2;2;8;2;22;2;0;2;6;2;4;0;0;0;2;4;2;0;2;0;0;4;2;2;0;0;0;8;0;2;2;2;0;4;0;0;2;2;2;0;0;0;2;4;2;0;2;2;2;12;2;2;0
people;0;0;0;0;0;0;0;2;8;4;12;12;2;4;8;6;4;4;10;6;2;2;6;4;6;6;2;0;4;4;0;4;2;8;4;12;0;4;8;8;2;4;6;4;0;2;4;0;2;4;0;12;2;4;4;6;2;2;0;4;0;2;2;2;4;0;8;2;2;2;2;0;0;4;2;0;4;0;2;2;2;0;2;0;4;0;4;2;2;2;2;2;0;2;2;2;2;6;2;0
act;0;0;0;0;0;0;0;0;4;2;6;4;8;2;12;16;6;0;2;4;8;14;8;0;2;10;8;2;4;16;4;0;8;0;26;8;4;0;12;4;2;16;0;6;4;6;6;6;6;4;6;4;0;6;0;4;2;6;2;2;0;2;0;0;0;2;0;2;4;0;2;0;6;4;4;8;0;6;2;2;0;2;0;2;0;6;4;2;6;2;0;0;6;2;4;10;6;0;4;0
crisis;0;0;0;0;0;0;0;0;0;2;8;4;6;18;6;4;18;6;10;4;4;2;8;4;0;0;6;4;4;2;2;6;4;4;0;0;0;6;0;6;6;0;6;6;2;0;2;2;2;4;2;0;2;0;2;2;6;4;2;10;2;0;4;2;4;2;4;6;2;0;6;0;2;0;2;4;0;4;4;2;2;0;0;0;2;2;0;4;0;4;6;0;2;0;0;0;0;0;0;2
testing;0;0;0;0;0;0;0;0;0;0;16;2;6;2;0;10;8;2;6;4;4;2;4;0;2;0;4;2;8;0;0;2;8;2;0;0;0;6;0;0;2;0;2;4;8;2;2;0;0;0;0;0;0;0;16;8;0;4;0;0;0;0;0;4;0;0;0;2;0;0;4;0;0;0;4;2;0;0;0;0;0;2;0;0;12;0;0;0;0;0;2;2;0;0;0;0;6;2;0;0
