kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
happy,3,new,3,help,6,pandemic,8,2020,5,change,12,people,26
entire,3,join,2,people,6,social,5,class,5,young,10,change,21
heres,2,american,2,crisis,5,people,5,heres,3,people,10,young,15
michelle,2,progress,2,heres,5,leaders,5,communities,3,real,9,real,14
still,2,vote,2,communities,5,times,4,part,3,country,6,health,13
change,2,economic,2,health,5,health,4,michelle,3,take,5,heres,13
hope,2,change,2,community,5,distancing,3,change,3,moment,4,country,13
take,2,happy,2,protect,4,states,3,cant,3,police,4,help,11
find,2,life,2,care,4,hard,3,hope,3,justice,4,pandemic,11
new,2,stories,2,vulnerable,4,working,3,give,3,protests,4,new,11
support,2,good,2,lives,4,lives,3,work,2,happy,4,community,10
often,2,country,2,stay,4,saved,3,crisis,2,laws,4,happy,10
hopeful,1,behind,2,home,4,vote,3,hard,2,@mbk_alliance,4,take,10
story,1,fair,2,useful,4,american,2,parents,2,community,4,michelle,10
exactly,1,difference,2,coming,4,women,2,approach,2,bring,4,vote,10
alice,1,example,2,medical,4,ive,2,start,2,across,4,lives,10
kings,1,people,2,professionals,4,lets,2,@chipubschools,2,changing,3,communities,10
help,1,release,2,support,3,reminder,2,love,2,officials,3,crisis,9
mike,1,citizenship,2,helping,3,change,2,hbcu,2,criminal,3,good,9
earthquakes,1,needs,1,new,3,good,2,ive,2,practices,3,leaders,9
changed,1,coming,1,government,3,easter,2,life,2,sustain,3,home,8
use,1,counter,1,good,3,@joebiden,2,loved,2,activists,3,support,8
love,1,chisholm,1,country,3,experience,2,et,2,makes,3,2020,8
higher,1,valentines,1,remember,3,democracy,2,big,2,system,3,love,8
players,1,perseverance,1,pandemic,3,crisis,2,lessons,2,work,3,work,8
activist,1,however,1,forward,2,proud,2,states,2,history,3,american,8
lose,1,round,1,slow,2,role,2,thank,2,lets,3,social,8
act,1,act,1,primer,2,continue,2,couldnt,2,generation,3,hope,8
pretending,1,worth,1,anybody,2,kids,2,whove,2,voices,3,across,7
fires,1,story,1,social,2,story,2,another,2,past,3,times,7
send,1,higher,1,approach,2,country,2,chicago,2,voting,3,part,7
climate,1,data,1,lines,2,shes,2,people,2,momentum,3,world,7
righteous,1,health,1,family,2,deserve,2,year,2,specific,3,lets,7
recovery,1,old,1,watch,2,policymakers,2,students,2,might,3,protect,7
focused,1,glad,1,justice,2,mail,2,teachers,2,american,3,hard,7
spirit,1,demonstrate,1,weeks,2,help,2,something,2,protest,3,generation,6
parents,1,explore,1,best,2,efforts,2,policies,1,raise,3,professionals,6
weeks,1,standing,1,measures,2,cant,2,different,1,awareness,3,justice,6
playgrounds,1,creation,1,giving,2,professionals,2,battleground,1,power,3,class,6
enduring,1,@michelleobama,1,local,2,shares,2,residents,1,matter,3,reminder,6
planet,1,signed,1,gratitude,2,testing,2,proud,1,levels,3,care,6
prayers,1,reaching,1,save,2,soon,2,south,1,elected,3,still,6
oscar,1,prison,1,ahead,2,world,2,real,1,reform,3,coming,6
clarity,1,live,1,face,2,thank,2,sweden,1,action,3,useful,6
poetic,1,injustice,1,michelle,2,medical,2,letting,1,celebration,2,chicago,6
global,1,peoples,1,everybody,2,friend,2,safely,1,local,2,power,6
glad,1,america,1,responders,2,power,2,differs,1,anger,2,cant,6
call,1,building,1,example,2,something,2,engaging,1,politics,2,medical,6
couple,1,stood,1,fight,2,faith,2,arc,1,problem,2,makes,6
incredible,1,making,1,young,2,care,2,along,1,second,2,join,6
american,1,articles,1,spirit,2,census,2,family,1,nashville,2,family,6
sterns,1,extraordinary,1,owe,2,racial,2,8pm,1,build,2,fight,6
meaningful,1,great,1,love,2,different,1,feed,1,changed,2,best,6
