;president;trump;new;people;great;united;republican;york;american;house;states;government;party;state;federal;white;thursday;news;donald;sanders;joe;forward;win;attack;election;big;national;called;justice;second;part;major;full;announced;senator;city;police;close;saying;work;war;together;times;december;department;complete;senate;presidential;order;fake;bernie;washington;texas;nuclear;least;says;help;security;political;country;run;promised;idea;endorsement;america;muslim;huge;information;guard;problem;another;hr;debates;story;china;company;given;honor;forced;policy;obama;countries;supreme;pope;corrupt;committee;emi;money;monday;round;presidentelect;thank;russian;seven;best;predominantly;college;trumps;man;reserve
president;0;14;8;8;2;2;2;8;2;4;2;4;0;4;2;4;0;6;6;2;4;0;0;4;2;2;2;0;0;0;0;0;2;2;0;2;0;2;6;0;0;0;2;2;0;2;2;2;4;4;2;2;2;0;0;4;0;0;2;0;6;2;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;2;2;4;2;4;0;6;2;0
trump;0;0;10;0;0;2;0;8;0;2;2;2;0;2;0;2;4;6;8;0;2;0;0;4;0;2;0;4;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;0;2;2;2;2;4;0;4;2;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0
new;0;0;0;4;4;2;2;18;2;4;2;0;0;6;0;2;0;2;4;0;0;0;0;4;0;2;0;4;4;2;0;0;0;0;0;4;0;0;0;0;0;0;8;2;2;2;0;0;2;2;0;2;4;2;2;6;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;2;0;2;4;8;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;4;2;4;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;2;0;4;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;2;2;0;2;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0
great;0;0;0;0;0;4;2;4;4;2;4;0;0;4;0;2;2;2;0;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;4;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0
united;0;0;0;0;0;0;0;0;2;2;16;0;0;2;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
republican;0;0;0;0;0;0;0;2;0;0;0;0;10;2;0;2;0;0;0;0;0;4;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
york;0;0;0;0;0;0;0;0;2;4;0;0;0;4;0;2;0;2;2;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;8;2;2;2;0;0;2;2;0;2;2;0;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2
house;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;8;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;2;0;0
