;missouri;covid19;state;testing;health;missourians;continue;recovery;care;director;missouris;working;people;across;work;public;#showmestrong;plan;new;county;thank;social;home;order;@healthylivingmo;may;help;businesses;st;million;great;week;positive;forward;economy;community;local;live;data;ppe;governor;safe;protect;facebook;distancing;response;stay;support;president;federal;louis;proud;important;workforce;give;dr;briefing;#missourisots;citizens;economic;efforts;food;good;2020;business;reopen;take;emergency;update;hospitals;states;hard;1;3pm;year;another;city;everyone;still;families;capacity;communities;team;system;school;safety;provide;program;facilities;providers;morning;members;budget;critical;mike;move;williams;law;tested;@missouri_ng
missouri;0;300;274;72;94;96;90;80;66;30;62;76;76;98;78;60;52;54;70;62;48;54;98;106;34;66;70;84;50;56;80;28;60;70;46;52;50;30;54;30;44;34;58;16;38;36;82;54;40;40;40;60;24;22;32;10;8;28;52;42;42;20;54;42;66;54;40;40;26;42;54;30;26;18;20;26;42;20;30;32;14;24;36;26;18;8;22;30;8;28;20;40;8;18;22;44;10;30;36;8
covid19;0;0;138;100;88;102;102;92;62;76;96;68;74;68;42;68;68;42;44;56;42;56;28;44;86;26;58;34;32;30;14;46;84;42;42;40;40;70;44;24;64;30;40;76;42;108;22;30;22;20;24;22;38;4;40;56;72;0;36;48;52;16;42;14;14;28;36;54;62;42;28;42;28;54;8;28;16;30;42;14;20;24;16;18;6;14;40;6;18;30;22;12;32;16;52;24;50;16;56;42
state;0;0;0;52;62;82;70;38;36;22;42;62;54;170;42;50;22;36;42;46;40;36;48;46;20;36;46;28;42;28;52;28;28;32;40;42;50;36;40;18;34;42;20;30;26;48;30;28;20;42;34;52;8;28;22;12;14;32;32;14;36;10;14;28;22;30;16;36;30;20;20;26;26;24;26;20;40;8;6;24;18;26;30;8;8;20;26;10;6;10;22;38;30;20;22;14;10;22;8;12
testing;0;0;0;0;44;24;40;62;40;6;34;34;26;30;18;30;44;46;20;30;4;10;2;4;44;8;14;8;18;2;10;42;24;18;12;32;6;12;30;20;2;8;6;4;10;4;4;6;0;2;6;0;14;4;28;4;6;0;14;14;14;0;12;0;0;14;6;0;10;8;4;8;8;2;0;10;0;6;2;2;54;4;6;8;0;2;2;0;26;6;8;4;0;18;0;18;2;0;18;30
health;0;0;0;0;0;58;46;54;180;12;38;34;22;18;36;132;40;50;30;10;16;18;10;16;26;38;28;16;4;4;4;24;10;20;32;8;34;6;36;34;4;6;34;2;14;8;14;6;4;14;4;6;26;4;6;10;4;6;20;10;10;6;6;4;18;8;18;22;6;36;8;18;4;4;8;10;2;8;12;10;34;8;12;46;8;70;14;2;18;54;2;10;8;20;2;14;2;12;4;2
missourians;0;0;0;0;0;0;48;56;24;6;16;30;22;42;82;24;26;10;10;10;44;30;48;36;8;24;36;28;0;6;6;12;28;36;42;4;24;2;28;4;6;68;30;2;22;20;42;10;6;18;0;20;30;8;18;0;6;4;12;16;36;6;10;4;6;28;26;8;8;2;10;22;10;0;6;4;6;20;14;16;6;10;6;4;2;28;8;4;4;4;6;4;4;10;2;18;0;14;14;4
continue;0;0;0;0;0;0;0;72;40;10;18;40;26;42;42;32;26;40;10;2;12;50;18;8;4;28;14;16;6;6;10;16;18;28;10;16;20;8;22;18;4;20;58;8;28;14;16;16;8;6;4;8;16;10;14;2;8;4;16;12;12;6;16;10;20;16;36;10;10;30;14;4;12;8;12;14;2;26;30;26;16;12;2;10;12;18;10;0;10;20;10;6;2;20;2;28;0;12;8;6
recovery;0;0;0;0;0;0;0;0;38;32;60;24;12;12;42;36;110;146;16;4;2;20;2;4;14;48;10;36;6;2;2;14;12;50;40;10;12;20;36;32;0;22;22;22;10;20;4;6;6;4;6;0;14;6;32;14;16;2;22;70;12;0;8;4;12;24;14;2;20;4;18;8;32;24;0;18;2;8;12;6;38;14;8;22;0;14;4;2;2;12;20;4;4;16;0;30;12;0;0;6
care;0;0;0;0;0;0;0;0;0;6;34;36;14;20;26;40;28;42;28;4;14;10;4;6;18;22;18;10;12;8;2;22;18;18;18;2;10;6;26;36;2;4;10;2;8;6;4;8;0;8;12;6;14;0;6;8;4;0;10;6;16;8;8;0;16;8;12;16;6;48;6;8;0;2;4;6;0;6;4;10;34;4;10;48;2;4;12;2;30;52;2;2;2;36;4;10;0;4;2;12
director;0;0;0;0;0;0;0;0;0;0;24;4;2;10;2;6;6;26;6;0;2;4;0;4;92;8;4;6;4;4;2;4;10;0;6;4;2;96;6;6;42;4;6;94;4;12;0;2;12;0;4;0;2;0;58;106;64;0;6;18;6;6;6;6;2;4;4;2;68;0;6;6;0;80;4;34;0;4;0;0;2;4;6;0;0;4;16;0;2;0;6;0;10;2;42;4;100;0;0;10
