;great;trump;president;new;states;people;house;united;administration;story;white;american;democrats;economy;history;department;donald;election;campaign;left;2016;press;clinton;taking;military;says;big;america;government;good;investigation;service;increase;state;secret;senate;national;fbi;fact;email;moore;voted;former;important;latest;nothing;huge;record;making;think;security;end;jobs;year;city;fully;job;obama;looking;cut;news;watched;run;pennsylvania;numbers;trying;lot;party;provide;greatest;mr;narrative;100;debt;federal;china;congress;support;gift;recent;least;construction;la;university;york;media;committee;attack;presidential;growing;sessions;law;million;country;visitor;galaxy;full;social;allow;center
great;0;2;2;4;2;2;0;2;4;0;0;4;0;0;4;2;0;2;2;0;0;0;0;2;0;0;4;2;0;0;2;0;0;4;0;2;2;0;0;0;2;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;2
trump;0;0;6;6;4;4;2;2;2;2;2;4;4;0;0;0;8;2;10;4;6;0;4;4;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;4;4;2;2;4;2;0;2;2;2;0;0;0;0;2;2;0;2;0;0;0;0;2;0;2;2;2;0;2;0;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;4;0;2;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;2;0;2;4;0;2;0;0;0;2;0;2
new;0;0;0;0;4;2;0;4;4;2;0;4;2;0;2;0;0;4;4;0;2;0;2;4;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;4;2;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;4;2;20;4;0;0;2;2;0;2;4;2;0;2;2;0;0;0;0;4;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;2;0;0;6;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;2;0
people;0;0;0;0;0;0;0;4;4;2;0;6;0;4;0;0;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0
house;0;0;0;0;0;0;0;2;0;4;16;0;2;0;0;2;0;0;0;0;0;4;0;0;0;2;0;2;2;0;0;0;2;0;0;4;4;0;2;0;0;4;2;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0
united;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;4;0;0;2;0;0;0;0;0;4;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;0;0;6;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;2;0
administration;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;4;0;0;2;0;0;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;8;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0
story;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
