;great;president;trump;new;united;people;states;york;job;american;state;country;congress;government;obama;forward;citizens;house;administration;bill;military;security;release;political;young;nothing;donald;looking;russian;women;act;department;working;number;story;hit;wasnt;transcript;former;help;democrats;white;republicans;world;weak;southern;city;russia;letter;j;thank;news;washington;texas;group;wednesday;thing;told;questions;saudi;conversation;episode;leaders;video;americans;support;foot;return;war;hes;university;police;looks;times;billion;jobs;bbc;used;real;james;article;crime;bring;history;fbi;middle;clear;huge;lot;dream;post;citizen;vice;order;terrorists;taking;application;bad;debt;known
great;0;10;8;0;0;2;0;0;6;2;8;4;2;0;2;4;0;0;2;4;2;6;0;0;0;2;2;4;0;2;2;4;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2;2;0;2;0;2;2;2;2;2;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0
president;0;0;14;4;6;6;6;4;4;4;4;4;0;2;4;0;0;0;2;0;2;2;0;0;0;2;2;0;4;0;4;2;0;0;2;0;0;0;4;4;2;0;0;2;2;0;0;2;2;2;0;2;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;4;0;4;2;2;0;2;2;0;0;0;4;2;0;0;2;0;6;2;0;0;0;2;0;0
trump;0;0;0;4;0;4;0;4;4;6;4;4;0;2;2;2;0;4;2;0;0;2;2;2;0;0;6;0;4;0;2;2;0;0;4;0;2;2;0;4;2;0;2;0;0;0;0;4;0;8;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0;2;2;0;0;0;0;0;0;0;2;2;0;2;2;0;2;2;0;0;0;2;0;0
new;0;0;0;0;0;0;0;14;2;0;0;0;0;2;4;0;0;4;2;2;0;0;2;0;2;0;2;0;4;0;0;0;0;0;4;0;0;0;2;0;0;2;2;0;0;0;2;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;2;2;2;0;0;6;2;0;0;0;2;0;0;0;4;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0
united;0;0;0;0;0;4;20;0;0;2;0;0;2;4;0;2;4;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;4;0;0;0;0;2;2;2;0;0;0;0;2;0
people;0;0;0;0;0;0;4;0;2;4;0;2;0;0;0;4;2;0;0;0;0;2;0;2;0;0;2;2;4;0;4;2;2;4;2;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0
states;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;2;4;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;4;0;0;0;0;2;2;0;0;0;0;0;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0
job;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;4;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;4;0;0;0;2;0;2;4;2;0;2;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0
state;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;4;0;6;0;0;0;2;2;0;0;0;2;6;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
