;covid19;connecticut;updates;news;briefing;live;people;latest;discuss;patients;data;state;tested;update;positive;hospitalized;health;workers;new;visit;daily;states;sets;happening;video;care;hold;home;provide;air;call;heres;connecticuts;de;best;400;public;work;minutes;nursing;facebook;medical;help;cases;response;#covid19;bringing;hospitals;4pm;working;safe;youtube;died;virus;together;join;fatalitiesmore;thank;residents;conference;@ctnationalguard;reported;host;ct;homes;reopening;connecticutwatch;tonight;order;impact;difficult;needed;#inthistogetherct;communities;additional;businesses;emergency;masks;line;ensure;en;executive;spread;front;essential;amlisten;covid19watch;yesterday;face;pandemic;hospital;currently;making;testing;responders;social;continue;soon;curve;employees
covid19;0;122;118;88;86;88;42;80;74;62;48;16;54;60;68;60;0;2;26;46;38;4;46;32;26;2;18;10;12;32;28;26;12;2;2;26;2;0;30;14;20;4;6;26;14;0;24;6;10;0;2;18;26;2;0;6;24;0;6;10;0;22;18;4;4;2;22;6;4;6;4;0;2;2;12;2;2;0;0;0;0;2;6;0;2;16;0;14;2;4;4;16;0;8;0;2;0;6;0;0
connecticut;0;0;40;28;24;22;44;26;24;58;50;28;50;64;68;60;14;6;18;48;34;8;46;2;8;8;6;14;8;10;6;10;0;8;6;10;6;6;8;6;6;4;6;24;4;8;26;4;0;8;10;6;26;6;4;0;26;10;14;8;0;20;10;0;0;6;0;6;6;4;6;8;4;0;18;12;6;10;2;0;6;4;0;2;10;0;0;16;6;4;4;16;4;0;4;4;4;6;4;4
updates;0;0;0;98;96;100;0;94;88;0;0;0;0;0;0;0;0;0;2;0;0;4;0;30;28;0;32;0;14;30;24;22;14;0;0;30;0;0;26;0;22;0;0;0;16;4;0;0;12;0;0;22;0;0;0;4;0;0;0;6;0;0;14;0;0;2;22;6;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;18;18;0;0;0;2;0;0;0;0;0;0;6;0;0
news;0;0;0;0;134;92;0;58;60;0;0;2;0;2;0;0;2;0;4;0;12;2;0;36;40;0;40;0;14;0;2;28;12;0;4;36;2;2;2;2;30;0;0;0;12;8;0;0;22;0;0;28;0;0;0;12;0;0;0;10;0;0;0;0;0;2;22;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;18;0;0;0;2;0;0;0;0;2;0;6;0;0
briefing;0;0;0;0;0;90;0;54;60;0;0;4;0;4;0;0;2;0;4;0;12;0;0;38;36;0;40;0;14;0;0;28;14;0;4;34;2;2;2;2;30;0;0;0;14;8;0;0;22;0;0;28;0;0;0;12;0;0;0;2;0;0;0;0;0;2;22;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;18;0;0;0;6;0;0;0;0;2;0;6;0;0
live;0;0;0;0;0;0;2;84;78;0;0;8;0;2;0;0;4;2;2;0;10;0;0;44;0;2;40;0;14;22;28;0;6;0;0;26;0;0;20;2;30;0;2;0;8;6;0;0;2;0;0;28;0;0;0;6;0;0;0;8;0;0;4;2;0;2;22;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;18;18;0;0;0;2;0;0;0;2;0;0;6;0;0
people;0;0;0;0;0;0;0;0;0;34;34;10;38;36;36;38;6;2;6;34;34;6;34;0;0;10;0;8;0;2;2;0;0;0;8;0;4;0;0;0;0;2;4;0;2;4;2;6;0;2;10;0;26;2;6;2;2;2;6;0;0;6;0;6;4;2;0;0;2;6;6;2;6;2;2;4;2;0;0;0;0;2;4;0;0;0;0;2;0;6;2;16;0;2;2;4;2;2;2;0
latest;0;0;0;0;0;0;0;0;96;0;0;2;0;6;0;0;0;0;0;0;0;4;0;24;2;0;24;0;6;34;24;0;4;0;0;20;0;0;30;2;18;0;0;0;6;2;0;0;2;0;0;18;0;0;0;6;0;0;0;2;0;0;18;0;0;2;14;6;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;18;16;0;0;2;0;0;4;2;0;0;0;6;2;0
discuss;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;24;2;0;26;0;4;26;18;0;2;0;0;24;0;0;24;2;20;0;0;0;4;2;0;0;4;0;0;20;0;0;0;10;0;0;0;4;0;0;16;0;0;2;14;6;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;16;16;0;0;0;0;0;0;0;0;0;0;6;0;0
patients;0;0;0;0;0;0;0;0;0;0;46;6;48;58;60;58;0;0;14;46;34;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;22;0;0;24;4;0;0;0;0;26;0;0;0;24;0;2;0;0;18;0;0;0;0;0;0;0;2;0;0;0;0;12;0;0;0;0;2;0;0;0;0;0;0;0;14;0;2;0;16;2;0;0;2;0;0;0;0
