;great;trump;united;president;states;people;new;news;national;american;government;house;federal;state;administration;obama;world;party;country;white;democrats;republican;help;york;working;man;media;department;big;donald;fbi;campaign;thank;best;job;2016;former;history;good;presidential;fake;court;americans;city;may;washington;election;senate;police;article;security;love;justice;times;america;russia;million;year;military;congress;post;hard;thing;story;bill;left;end;nothing;law;announce;deal;china;night;trying;report;released;team;war;committee;work;supreme;support;take;proud;think;russian;important;investigation;hillary;health;women;political;senator;win;radical;democratic;billion;called;week;act
great;0;134;106;128;108;182;120;88;44;112;56;56;52;86;48;22;44;50;92;48;36;60;46;32;76;30;50;20;56;24;12;20;90;44;112;16;14;14;52;22;32;18;24;18;12;28;18;24;8;4;6;78;16;18;72;14;18;26;32;28;16;52;30;38;28;26;28;20;14;34;32;16;26;32;24;10;38;10;22;44;14;20;26;36;14;4;32;4;14;20;34;26;34;30;16;12;2;14;20;12
trump;0;0;130;508;118;100;176;108;92;52;52;116;46;46;172;64;30;56;46;86;74;64;40;92;50;22;72;70;40;282;94;186;20;24;26;80;60;24;26;86;42;38;38;24;68;66;74;44;18;32;34;8;68;68;26;86;10;16;28;38;32;36;22;36;18;26;18;36;26;14;40;28;18;36;30;36;12;8;42;24;28;16;18;8;30;58;10;54;32;6;18;48;20;36;20;30;18;42;22;16
united;0;0;0;232;932;114;72;42;48;64;62;40;42;70;82;48;78;22;68;30;16;16;50;34;54;12;10;30;34;44;18;8;24;8;28;22;26;42;16;18;8;44;36;28;36;24;28;26;10;20;44;14;20;26;84;38;22;22;58;26;28;12;16;8;22;20;30;18;24;30;34;66;16;14;12;26;14;44;6;22;32;26;24;30;4;16;28;8;16;16;18;20;6;10;22;12;24;26;4;12
president;0;0;0;0;214;96;134;108;96;92;50;120;44;52;48;120;34;36;60;102;52;38;38;72;46;22;58;50;38;108;60;50;30;20;34;52;78;40;28;48;48;36;30;24;46;52;54;42;10;22;46;2;48;54;30;50;16;22;34;40;22;38;24;24;26;22;24;28;34;12;20;46;20;22;20;36;14;8;24;20;28;12;32;14;22;40;28;52;30;12;24;34;26;20;22;26;12;46;22;18
states;0;0;0;0;0;104;86;44;54;58;74;40;60;72;82;40;76;32;74;28;16;20;68;32;58;12;4;32;38;34;18;8;26;8;26;28;24;42;18;22;6;52;40;28;32;22;26;28;10;20;40;14;24;24;78;34;26;26;50;24;26;12;10;8;30;20;32;16;30;34;32;58;20;16;14;20;14;44;4;22;36;26;24;28;4;12;32;4;10;16;18;18;8;12;24;14;36;28;2;14
people;0;0;0;0;0;0;94;60;48;238;70;34;52;44;54;36;42;38;58;34;48;54;62;38;58;30;44;26;38;24;16;28;28;18;30;28;12;26;40;30;26;28;18;18;26;20;32;26;20;16;36;38;16;32;32;20;38;22;38;26;20;38;24;16;30;32;30;30;16;8;10;24;22;32;14;10;10;20;20;32;18;36;20;26;42;20;16;8;4;24;26;26;16;18;16;10;4;16;16;20
new;0;0;0;0;0;0;0;86;56;56;54;52;54;66;54;44;38;20;32;34;26;20;28;354;34;14;34;42;40;44;32;44;22;28;32;26;32;24;32;30;32;14;38;74;20;48;22;16;24;30;16;30;28;152;22;18;32;18;18;16;52;36;20;40;20;12;24;12;24;40;16;18;28;14;28;32;22;16;10;16;6;26;20;24;18;10;12;24;18;20;20;18;16;30;10;14;18;24;6;2
news;0;0;0;0;0;0;0;0;12;40;18;46;26;26;20;26;12;12;16;34;30;28;16;38;30;26;142;18;32;24;18;24;24;18;16;20;14;36;28;34;228;10;16;10;12;24;12;12;10;14;12;14;20;22;6;22;10;6;10;18;18;10;12;32;0;12;12;12;0;6;10;6;16;26;22;10;14;8;6;4;8;0;12;4;12;16;10;14;6;8;6;12;10;2;10;12;2;6;14;6
national;0;0;0;0;0;0;0;0;0;36;32;38;20;30;32;30;12;42;22;22;20;82;26;16;14;6;10;10;16;28;36;28;8;16;6;38;68;6;12;28;0;14;40;10;22;22;14;8;6;4;132;6;12;8;12;16;16;12;6;16;10;10;10;8;4;6;16;6;20;24;10;6;14;4;10;26;20;8;122;0;8;14;4;16;4;18;4;18;22;16;18;18;12;16;6;84;10;8;14;10
american;0;0;0;0;0;0;0;0;0;0;18;30;12;14;36;36;14;14;32;20;34;22;18;20;22;24;26;18;22;10;14;8;34;10;8;18;10;50;10;22;14;14;18;8;10;12;20;26;2;10;26;6;8;14;18;8;10;14;24;28;14;14;18;12;14;8;16;12;10;10;4;10;6;18;16;24;4;18;12;14;8;6;14;22;14;10;20;6;2;14;16;22;14;10;12;8;6;14;4;20
