;live;#covid19;#akgov;watch;press;@alaska_dhss;briefing;#flattenthecurve;alaska;health;outbreak;alaskans;economy;update;tonight;state;reopen;5pm;#alaska;public;officials;alaskas;facebook;page;joined;join;ak;reopening;approximately;@annezinkmd;new;another;thank;aks;5;cabinet;members;responsibly;hosting;#reopenalaskaresponsibly;continue;0;protect;great;commissioner;virus;plan;provide;medical;working;help;ways;team;cases;discuss;holding;actions;supplies;briefings;taking;plans;work;care;resume;economic;discussing;covid19;evening;begin;#reopenalaska;response;numbers;gt;native;@franklin_graham;system;methodically;prayer;americans;information;efforts;businesses;students;budget;deaths;battle;daily;mandates;workwatch;9;johnson;crucial;success;phase;recovered;put;give;@realdonaldtrump;safety;f35s
live;0;78;78;72;68;68;64;60;30;40;40;28;32;38;28;18;20;26;16;24;24;16;20;20;16;18;10;10;16;16;0;12;0;8;10;12;12;4;12;6;4;0;10;2;4;6;4;8;6;6;4;10;2;0;8;6;6;0;4;6;8;2;2;4;6;8;2;8;6;4;0;2;0;0;2;0;2;4;0;0;6;2;0;4;0;2;6;4;4;0;0;0;0;2;0;4;4;0;4;0
#covid19;0;0;74;70;70;64;66;62;32;42;46;34;30;38;28;22;20;26;18;24;24;12;12;12;16;14;14;10;14;16;4;12;4;8;8;10;10;4;12;8;4;4;8;4;6;10;2;10;10;8;4;10;4;4;4;8;8;4;8;6;6;4;4;8;8;8;2;8;4;4;6;6;2;0;4;2;4;0;0;0;6;2;0;0;4;6;6;4;2;4;2;0;0;0;2;4;4;2;4;0
#akgov;0;0;0;64;58;64;54;60;28;36;38;26;32;32;26;16;20;24;16;20;20;18;18;18;16;16;10;14;12;14;0;10;0;6;8;12;12;4;10;8;6;0;6;6;2;6;6;6;6;8;2;6;2;0;8;6;6;0;4;4;8;4;4;4;4;4;4;6;6;6;2;2;0;0;2;2;2;4;0;2;4;4;0;4;0;0;6;4;4;0;0;0;0;2;0;4;4;0;2;0
watch;0;0;0;0;60;58;56;54;26;32;38;24;24;32;18;16;16;22;18;22;22;12;14;14;18;12;10;6;14;14;0;8;0;6;6;12;12;4;8;6;2;0;8;2;4;6;0;8;6;8;2;8;0;0;6;4;6;0;4;6;6;2;0;4;4;6;2;6;2;2;0;2;0;0;0;0;4;0;0;0;6;0;0;4;0;2;6;4;0;0;0;0;0;0;0;2;4;0;4;0
press;0;0;0;0;0;52;68;48;22;30;28;26;26;26;22;10;18;18;14;16;16;12;6;6;10;10;8;6;6;12;4;10;0;6;4;6;6;4;10;6;2;4;8;0;4;4;2;4;6;6;2;10;0;4;2;8;6;0;8;6;4;2;0;8;6;8;0;2;2;2;0;6;2;0;0;0;2;0;0;0;6;0;0;2;4;2;6;4;2;4;0;0;0;0;2;4;2;0;4;0
@alaska_dhss;0;0;0;0;0;0;48;56;32;34;38;22;24;32;22;12;16;22;12;20;20;12;14;14;14;14;8;10;12;16;0;6;0;6;10;8;8;6;8;8;0;0;8;0;4;4;6;8;6;2;2;6;2;0;4;4;4;0;4;4;8;4;2;4;2;4;4;8;6;4;0;2;0;0;0;0;0;0;0;2;4;2;0;0;0;0;6;4;4;0;0;0;0;2;0;4;4;0;4;0
briefing;0;0;0;0;0;0;0;44;20;30;28;24;24;22;18;10;16;14;14;16;16;12;6;6;10;8;8;6;6;10;4;10;0;6;4;6;6;4;10;2;2;4;8;0;2;4;2;2;6;6;2;10;0;4;2;8;6;0;4;6;4;2;0;4;6;8;0;2;2;2;0;4;2;0;0;0;2;0;0;0;4;0;0;2;4;2;4;4;2;4;0;0;0;0;2;4;2;0;4;0
#flattenthecurve;0;0;0;0;0;0;0;0;30;32;30;26;24;30;22;14;20;20;14;16;16;12;10;10;14;12;8;6;8;12;0;8;4;0;8;8;8;6;6;8;2;0;8;2;2;4;4;8;8;6;4;8;6;0;6;6;2;4;4;2;6;4;4;4;2;2;4;6;4;4;0;2;0;0;2;0;2;0;0;2;4;0;0;0;0;2;6;0;2;0;0;0;0;0;0;4;4;0;4;0
alaska;0;0;0;0;0;0;0;0;0;12;24;10;6;14;8;6;8;12;6;10;10;8;8;8;12;6;2;6;8;12;4;8;6;0;4;2;2;8;4;4;2;0;2;2;6;2;8;6;6;2;4;0;4;2;0;2;2;4;2;4;4;4;2;2;2;0;6;6;6;2;0;0;0;2;2;2;2;0;4;4;0;2;0;2;0;2;2;0;2;0;0;0;2;2;2;2;0;0;0;2
health;0;0;0;0;0;0;0;0;0;0;28;18;10;16;14;12;8;12;4;24;24;2;12;12;8;8;12;0;12;2;0;8;4;8;8;10;10;4;10;0;4;0;8;2;0;4;0;8;2;0;4;6;6;0;2;6;4;2;0;4;2;2;6;0;6;6;2;8;0;2;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;2;4;0;0;0;0;0;0;0;2;4;2;4;0
outbreak;0;0;0;0;0;0;0;0;0;0;0;16;10;22;14;18;6;16;2;22;22;6;12;12;14;10;10;2;14;12;2;8;0;6;6;8;8;4;8;2;4;0;4;4;4;4;4;6;4;2;2;4;0;2;4;2;4;0;0;4;2;6;4;0;2;4;6;8;2;0;6;0;0;0;0;2;0;0;0;4;4;0;0;0;0;2;2;4;0;0;2;0;0;0;2;0;4;0;0;0
