;trump;president;government;new;federal;world;people;great;united;states;white;country;national;fbi;state;house;donald;american;working;coming;job;news;california;health;week;republican;good;certain;hillary;man;america;administration;reserve;2016;signed;clinton;party;community;law;almost;love;take;political;china;story;ceo;gas;says;ive;able;think;across;john;young;taken;guard;support;americans;pay;security;travel;former;terrorist;presidential;rate;another;number;points;real;bill;show;congress;big;important;family;nfl;issued;budget;months;round;killed;history;speech;senator;organization;rather;york;lgbtq;without;team;help;amazing;allowed;strongly;bureau;conversation;employee;high;early;action
trump;0;18;8;2;10;4;6;4;8;8;6;4;6;2;0;6;12;2;0;0;2;4;0;0;4;2;2;0;0;2;4;4;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;2;0;2;0;2;0;0;2;2;2;0;0;4;0;2;0;0;2;0;4;0;0;0;0;0;0;0
president;0;0;4;0;6;0;4;6;4;4;6;2;8;2;0;6;4;2;0;0;8;0;0;0;2;0;2;0;2;2;6;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0
government;0;0;0;4;12;2;4;2;6;6;2;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;4;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;0;2;0;0;0;0;0;4;2
new;0;0;0;0;0;2;2;4;2;2;0;2;0;2;2;0;0;4;0;2;0;2;0;2;2;0;0;0;2;0;0;0;0;2;2;2;0;4;0;2;2;2;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;2;0;0
federal;0;0;0;0;0;0;4;4;6;6;2;4;2;0;0;2;0;2;0;0;4;0;0;0;2;0;2;0;0;0;0;4;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;2;0
world;0;0;0;0;0;0;0;0;4;4;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;6;0;2;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;2;2;0;4;2;2;0;0;0;4;0;0;4;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;4;0;2;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0
united;0;0;0;0;0;0;0;0;0;18;2;2;0;0;0;2;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0
