;#covid19;watch;nebraska;ricketts;gov;states;update;response;provides;la;home;department;everyone;help;stay;virus;live;provide;el;del;health;work;nebraskans;encourage;online;social;de;link;stream;spread;thank;200pm;new;services;en;state;que;#coronavirus;las;propagación;follow;healthy;take;una;shop;los;sobre;@nedhhs;pueden;provee;estado;actualización;ahora;gobernador;human;distancing;pandemic;vea;como;formas;ante;21;prevenir;residentes;ayudar;respuesta;days;family;daily;visit;people;rules;#stayhome;please;week;six;gt;families;nebraskas;coronavirus;briefing;may;great;war;together;join;limit;slow;statewide;next;asking;care;tune;thursday;#getnebraskagrowing;talk;announces;omaha;possible;kids
#covid19;0;144;104;114;88;126;126;122;76;28;6;48;46;8;10;32;44;50;28;28;38;4;12;40;42;14;28;40;40;8;8;36;8;34;28;10;28;0;28;26;0;4;4;28;6;28;26;26;26;26;26;26;26;26;26;8;14;26;26;26;26;4;26;26;26;26;4;2;12;4;2;4;2;10;8;0;8;6;6;2;12;4;0;4;2;6;4;0;6;8;4;0;4;10;0;6;0;0;2;0
watch;0;0;94;152;152;118;128;122;84;0;4;54;44;8;2;2;44;48;0;0;34;8;16;42;42;6;0;42;42;6;2;38;18;34;0;14;0;14;0;0;0;2;4;0;2;0;0;28;0;0;0;0;0;0;28;4;6;0;0;0;0;2;0;0;0;0;2;0;8;6;4;2;0;4;2;0;8;6;12;4;12;2;2;0;0;6;2;0;4;6;2;2;2;10;4;12;16;8;0;0
nebraska;0;0;0;118;90;66;66;64;66;28;16;54;16;4;22;40;4;8;30;26;32;18;8;2;2;16;26;2;2;20;6;2;12;32;28;14;28;14;28;28;18;18;2;28;4;28;28;0;26;28;26;28;28;28;28;2;2;28;28;26;26;22;26;26;26;26;20;4;2;4;6;20;18;6;6;20;6;10;2;2;2;4;4;10;8;0;14;12;0;10;12;6;0;4;0;2;8;6;4;0
ricketts;0;0;0;0;160;76;84;76;84;26;2;54;0;4;2;28;0;6;28;26;34;6;10;0;2;4;26;0;0;0;0;0;16;34;26;10;26;10;26;26;0;2;4;28;0;26;28;10;26;28;26;28;28;28;28;4;6;28;28;26;26;2;26;26;26;26;2;0;4;6;4;2;0;0;0;0;4;4;8;6;6;2;2;0;0;6;0;0;2;4;0;2;2;2;4;8;16;4;0;0
gov;0;0;0;0;0;76;84;76;84;0;2;54;0;4;2;0;0;6;0;0;34;6;10;0;2;4;0;0;0;0;0;0;16;34;0;10;0;10;0;0;0;2;4;0;0;0;0;10;0;0;0;0;0;0;28;4;6;0;0;0;0;2;0;0;0;0;2;0;4;6;4;2;0;0;0;0;4;4;8;4;6;2;2;0;0;6;0;0;2;4;0;2;2;2;4;8;16;4;0;0
states;0;0;0;0;0;0;118;118;74;0;0;48;42;4;0;0;42;46;0;0;34;0;2;42;42;2;0;42;42;0;0;36;4;32;0;4;0;4;0;0;0;0;2;0;0;0;0;22;0;0;0;0;0;0;26;2;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;0;2;0;0;2;0;8;0;0;0;0;0;0
update;0;0;0;0;0;0;0;118;78;0;0;48;42;0;0;0;42;46;0;0;28;0;2;42;42;0;0;42;42;0;2;36;0;30;0;2;0;2;0;0;0;0;2;0;0;0;0;24;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;4;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
response;0;0;0;0;0;0;0;0;74;0;0;48;42;0;0;0;42;44;0;0;26;0;0;42;42;0;0;42;42;0;2;36;0;30;0;2;0;4;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;2;2;0;0;0;0
provides;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;26;4;2;0;0;0;0;0;0;0;0;0;0;30;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
la;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;30;30;0;0;0;0;0;2;34;0;0;0;0;0;0;0;32;0;32;0;32;32;0;0;0;28;0;30;26;0;28;26;28;26;26;26;0;0;0;26;26;26;26;2;26;26;26;26;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
