;trump;president;new;united;states;great;people;man;government;white;american;federal;news;house;world;fbi;country;administration;republican;democrats;york;state;trying;national;working;america;clinton;2016;americans;obama;party;good;election;radical;fake;senate;donald;washington;help;left;real;hillary;coming;act;history;job;nfl;campaign;article;nothing;big;department;times;best;city;asked;number;china;presidential;friend;may;killed;reserve;please;love;military;bill;general;committee;speech;shooting;told;thank;deal;health;story;action;pay;media;california;tuesday;week;dnc;hard;political;former;war;university;security;draft;says;family;away;report;take;police;russia;fact;2017;investigation
trump;0;46;12;8;8;16;12;2;10;20;6;10;14;18;4;6;6;18;4;2;2;4;4;8;0;4;6;8;2;6;0;2;6;0;6;0;20;6;2;2;0;6;4;0;2;8;2;10;2;2;4;2;2;2;2;6;2;2;4;0;4;4;0;0;0;0;0;2;4;2;4;0;0;4;2;0;6;0;6;0;6;4;0;0;4;4;0;4;0;2;2;0;0;2;0;2;4;4;4;4
president;0;0;6;14;14;12;10;2;6;18;4;8;8;18;0;8;2;4;2;4;2;2;0;10;0;6;10;4;4;8;2;4;4;0;6;2;12;4;4;0;4;6;0;2;6;14;2;4;0;4;4;0;4;2;0;6;0;2;0;2;2;4;2;0;2;2;0;6;2;0;2;2;2;4;2;0;2;0;0;0;0;2;0;4;0;8;0;4;0;0;4;0;2;0;0;2;2;0;2;2
new;0;0;0;6;6;10;6;0;4;4;4;2;6;6;4;4;2;4;4;2;26;8;2;0;2;2;4;4;6;4;4;4;0;6;2;2;0;10;2;4;0;4;2;2;0;4;2;6;2;2;4;6;14;4;2;0;2;2;4;2;4;0;2;2;2;0;2;4;0;0;0;6;2;2;2;4;0;2;2;0;0;4;0;0;2;0;0;2;0;0;4;0;0;4;2;2;4;0;0;2
united;0;0;0;0;58;8;4;4;8;4;8;6;6;4;8;2;4;6;2;2;0;6;4;2;6;2;0;0;4;2;2;0;2;4;2;2;2;0;2;4;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;2;4;4;4;4;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;6;0;2;0;2;0;2;2;0;4;0;0;2;0;0;0
states;0;0;0;0;0;8;4;2;8;2;6;6;6;2;8;2;4;6;2;2;0;4;6;2;4;2;0;0;2;2;2;0;2;4;2;2;2;2;2;4;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;2;4;4;4;4;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;6;0;2;0;2;0;2;2;0;4;0;0;2;0;0;0
great;0;0;0;0;0;0;12;8;4;2;10;6;2;2;2;2;10;0;4;4;4;0;2;4;0;2;2;6;2;0;2;0;2;2;2;2;0;0;2;2;0;2;2;2;0;8;0;0;4;4;0;2;2;2;0;0;0;0;4;2;2;0;2;0;6;0;0;0;0;2;0;0;10;2;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
people;0;0;0;0;0;0;0;0;8;2;12;6;2;2;4;0;2;6;4;6;2;0;4;0;2;2;4;4;2;2;2;2;2;2;2;2;0;0;0;2;2;4;2;4;0;2;0;0;0;2;2;0;2;0;2;4;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;4;0;4;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0
man;0;0;0;0;0;0;0;0;0;4;2;0;2;2;4;0;6;0;0;2;0;0;0;0;0;4;0;2;0;0;2;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0
government;0;0;0;0;0;0;0;0;0;2;2;22;4;2;2;0;4;4;4;0;0;0;4;0;4;0;0;2;2;0;2;4;2;4;4;0;0;2;6;4;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;6;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;8;4;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0
white;0;0;0;0;0;0;0;0;0;0;4;2;4;30;0;4;0;0;0;2;2;0;0;4;4;0;2;0;0;0;0;2;0;4;0;2;4;2;2;2;2;2;2;0;0;0;2;2;0;2;2;0;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;2;4;0;4;2;0;2;0;0;0;0;0;0;2;2;0
