;#covid19;nebraska;state;thank;ricketts;nebraskans;work;great;watch;states;new;relief;help;tax;people;gov;property;everyone;together;live;president;families;continue;local;encourage;please;nebraskas;health;update;response;coronavirus;million;public;year;provide;protect;communities;join;order;link;town;information;home;pete;flooding;gt;full;support;working;@realdonaldtrump;online;governors;businesses;spread;executive;next;dr;opportunities;talk;200pm;schools;flood;important;hall;stream;emergency;address;healthy;along;impacted;guidance;business;statewide;lb;2019;weekly;@potus;joined;team;growing;lets;service;leaders;helping;counties;across;column;social;give;morning;may;god;life;bill;fremont;healthcare;put;2020;veterans;government
#covid19;0;30;16;20;22;8;14;14;56;36;20;6;28;2;8;22;0;26;12;28;4;4;8;8;22;16;8;18;30;28;8;0;12;0;26;4;4;6;16;20;4;8;0;2;0;6;12;10;6;2;20;4;8;12;16;0;2;0;14;20;2;0;4;6;20;10;4;12;8;8;6;4;4;0;2;6;10;2;0;0;0;2;8;2;12;4;6;8;10;8;10;0;0;0;0;10;2;2;0;0
nebraska;0;0;48;16;30;10;26;18;10;8;12;18;12;14;12;18;12;6;6;4;2;10;6;2;2;4;2;4;6;4;10;6;4;8;6;2;8;10;4;2;6;0;4;14;6;6;10;8;8;0;2;0;8;2;6;6;6;10;4;2;4;4;2;6;2;6;0;2;4;2;0;4;4;4;2;10;4;4;8;12;2;8;4;8;0;6;10;4;0;0;4;6;4;4;2;6;2;4;8;4
state;0;0;0;14;22;28;14;12;8;2;12;12;8;14;8;14;8;2;6;2;0;6;8;6;4;2;6;4;0;2;10;10;4;14;2;8;10;4;2;0;0;4;2;8;8;2;6;6;8;0;2;8;4;0;2;6;2;4;2;0;2;12;4;0;0;8;8;6;4;4;4;2;4;4;4;4;0;2;6;4;2;8;8;2;0;14;4;2;4;4;2;2;10;2;0;2;0;6;4;6
thank;0;0;0;0;0;6;10;18;2;6;2;6;16;4;14;0;2;10;6;0;10;4;0;4;2;4;6;0;0;6;0;0;2;0;0;8;10;2;0;0;4;2;0;0;2;2;2;8;2;8;0;6;0;0;0;2;4;4;8;0;2;2;2;2;0;2;0;2;0;0;0;0;0;8;4;0;10;10;4;0;2;8;0;8;0;0;0;2;0;0;0;2;4;0;2;0;0;0;2;2
ricketts;0;0;0;0;0;6;2;2;26;6;10;12;6;12;4;50;12;2;2;2;2;2;4;4;4;0;2;4;4;2;12;4;2;2;6;8;0;6;6;0;6;0;2;24;2;2;0;0;2;0;2;4;4;4;4;4;0;0;4;0;6;2;0;4;0;4;6;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;2;2;0;0;6;0;4;0;2;2;0
nebraskans;0;0;0;0;0;0;8;10;2;0;4;10;6;10;2;2;8;0;6;0;0;2;4;2;4;6;4;4;0;0;8;4;2;2;0;2;0;2;2;0;0;2;4;4;4;2;2;4;4;0;0;0;2;2;2;6;0;6;0;0;2;4;2;0;0;0;2;8;2;6;0;2;2;6;0;0;0;0;2;0;2;0;4;2;0;4;0;2;2;0;0;0;4;2;0;2;0;2;0;0
work;0;0;0;0;0;0;0;12;0;6;10;8;8;8;8;0;6;4;14;0;4;4;6;2;2;4;2;0;2;0;6;2;8;6;0;2;4;0;0;0;4;2;4;0;4;0;0;0;4;2;0;0;2;2;0;0;0;4;0;0;0;2;4;2;0;2;2;2;0;2;2;8;0;4;4;2;2;2;2;2;0;2;2;4;0;4;2;0;2;0;2;2;0;0;2;0;2;0;0;4
great;0;0;0;0;0;0;0;0;0;4;6;0;4;0;4;0;0;2;2;0;8;4;2;0;0;4;6;2;2;2;2;2;2;0;0;4;4;4;0;0;2;0;4;0;0;0;2;4;4;6;0;4;0;0;0;4;0;14;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;4;2;6;2;0;0;2;6;0;0;2;0;0;2;0;2;2;0;2;2;2;0;2;2
watch;0;0;0;0;0;0;0;0;0;22;8;6;2;2;0;24;2;20;0;28;2;0;0;0;20;0;0;2;28;20;0;0;0;0;26;0;0;0;2;20;4;0;0;2;0;6;0;0;0;0;22;0;0;2;2;0;0;0;12;20;2;4;0;4;20;0;2;0;8;0;0;2;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;4;0;0;0;0;0;6;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;8;0;8;0;4;6;0;20;6;20;4;0;0;0;20;0;2;8;22;22;4;4;0;4;20;2;6;0;2;20;2;0;2;4;2;0;2;0;2;2;20;2;0;0;2;2;0;0;2;20;2;2;0;4;20;2;2;0;8;4;0;0;0;0;0;0;4;0;0;0;2;0;0;0;10;0;0;0;0;0;6;0;0;0;0;4;2;0;0;2
