;help;people;care;government;workers;work;canadians;needs;safe;everyone;cerb;thank;canada;families;take;health;crisis;#covid19;new;lives;racism;longterm;cant;indigenous;still;support;sick;public;celebrate;systemic;healthcare;federal;minister;democrats;end;prime;police;paid;continue;access;seniors;rent;act;job;lost;love;normal;essential;women;together;keeping;money;lets;build;family;million;canadian;pay;students;stay;fight;frontlines;funding;deserve;remember;national;parents;away;living;home;healthy;left;honour;governments;another;lot;fighting;community;year;businesses;good;building;enough;pain;black;world;communities;story;wont;universal;paying;leave;asked;country;month;girls;across;companies;violence;liberals
help;0;26;14;30;14;4;18;20;4;26;22;2;4;8;6;10;10;8;14;4;0;4;10;2;16;0;0;10;4;0;0;8;4;12;0;0;0;0;6;6;2;4;2;4;4;0;2;2;2;2;2;6;4;2;0;6;6;8;10;4;2;0;0;2;0;0;2;8;4;6;0;8;0;4;2;2;8;2;2;8;6;0;0;0;0;2;4;2;6;14;8;0;8;0;4;0;0;10;2;6
people;0;0;10;18;10;6;10;10;12;12;14;8;10;10;6;10;6;2;14;8;8;2;16;10;14;6;6;6;8;4;8;6;8;8;8;8;6;6;4;10;2;4;12;0;6;8;6;4;8;2;4;2;8;6;0;4;2;6;2;6;2;2;2;0;4;6;0;4;6;6;4;8;2;4;4;6;6;0;4;2;6;6;0;4;4;2;4;0;8;2;0;4;6;2;2;6;4;2;0;8
care;0;0;0;12;18;16;6;0;10;0;2;6;10;6;22;18;14;18;8;6;0;24;4;0;0;4;4;2;2;0;6;6;0;2;0;0;0;4;0;0;14;2;0;6;2;0;10;8;2;8;6;4;4;10;0;2;2;2;0;4;0;4;12;10;0;6;10;4;2;2;6;0;0;6;6;4;0;2;0;0;4;8;2;0;0;0;0;0;0;0;0;4;0;8;0;0;0;2;0;0
government;0;0;0;0;18;12;14;18;6;12;10;2;6;8;6;6;2;10;6;4;4;8;10;8;10;6;4;8;0;4;4;14;4;2;4;2;4;6;8;10;6;6;10;6;4;0;6;4;10;0;0;2;2;2;0;0;2;8;6;2;0;4;12;6;0;8;10;6;6;2;2;4;0;0;4;0;2;0;2;4;4;2;8;0;0;0;2;0;2;8;6;4;8;4;4;8;0;6;0;4
workers;0;0;0;0;0;8;2;2;22;0;0;10;4;6;2;12;10;10;0;8;4;6;6;0;0;4;10;8;0;2;10;6;4;0;0;0;6;12;2;4;2;0;0;6;0;0;2;14;0;4;10;12;2;0;0;4;4;4;0;6;2;8;4;2;0;4;2;0;4;4;12;2;0;8;4;2;0;2;0;8;4;2;2;0;2;0;0;0;2;0;4;6;2;2;2;0;0;2;0;0
work;0;0;0;0;0;0;6;4;6;0;0;4;6;2;4;4;0;6;4;6;0;6;4;0;2;0;10;2;4;0;0;2;0;0;2;0;0;10;6;4;2;4;2;0;6;6;4;0;2;4;4;0;2;10;2;0;2;4;0;4;4;4;6;4;2;6;6;0;2;2;4;0;4;4;6;4;0;4;2;2;0;4;0;0;0;4;2;0;0;0;4;6;0;4;0;0;0;2;0;2
canadians;0;0;0;0;0;0;0;10;2;8;12;6;4;8;6;0;8;2;4;2;0;2;2;0;4;8;2;0;2;0;0;6;2;2;0;4;0;2;8;2;0;0;0;12;10;4;4;0;0;0;2;2;2;2;2;2;4;6;0;2;2;0;0;0;0;0;0;0;4;2;0;0;4;2;0;0;0;6;4;0;0;0;0;0;0;0;2;0;2;4;2;2;2;2;2;0;4;2;0;4
needs;0;0;0;0;0;0;0;0;2;14;16;0;2;2;2;0;2;2;4;2;6;0;4;2;6;2;4;0;0;6;0;2;8;4;6;8;2;4;2;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;8;0;0;0;0;0;0;0;4;6;0;2;0;4;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;2;8;2;2;2;0;4;0;0;0;2;4
safe;0;0;0;0;0;0;0;0;0;2;0;14;6;10;2;2;10;4;0;4;0;4;2;0;0;2;2;0;0;0;4;2;0;0;0;0;0;6;2;4;2;0;0;8;0;0;0;8;4;0;12;2;2;0;2;0;0;0;0;4;6;12;4;2;0;4;2;4;4;2;16;2;0;4;2;2;2;0;0;0;2;2;2;0;0;0;4;0;0;0;0;0;0;4;2;0;4;0;2;0
everyone;0;0;0;0;0;0;0;0;0;0;12;2;4;4;2;0;0;0;12;2;4;0;4;0;12;2;0;0;2;0;0;0;0;10;2;0;0;0;4;8;0;0;0;2;4;2;2;0;0;0;0;2;0;0;8;2;4;4;6;0;4;0;0;0;0;0;2;4;0;0;0;4;0;0;2;2;8;2;2;0;2;0;0;4;0;2;0;0;4;12;0;0;2;0;4;0;2;0;2;4
cerb;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;2;4;0;0;0;12;0;4;4;0;0;0;0;0;0;6;4;0;8;0;0;0;6;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;4;0;2;10;0;0;0;0;0;0;0;2;4;2;0;0;8;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;2;0;2;0;0;0;0;4
thank;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;6;2;2;2;6;0;2;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;4;2;0;0;0;4;0;4;0;6;2;2;10;2;2;0;0;0;0;0;0;0;8;10;0;0;0;0;0;4;0;0;6;2;2;0;0;0;2;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0
canada;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;6;2;4;2;4;0;0;0;0;2;4;0;2;0;0;4;0;0;0;2;2;2;4;0;0;0;4;0;2;0;2;0;2;0;2;4;0;0;4;2;0;0;2;2;2;2;2;2;2;4;2;4;0;0;2;0;2;2;0;4;2;2;0;4;2;0;4;2;0;2;0;2;0;0;0;0;4;0;6;2;0;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;8;2;2;2;0;0;2;0;2;6;2;0;0;0;2;0;2;0;0;2;0;2;2;0;0;2;0;4;6;4;4;4;2;0;6;2;2;0;2;0;0;6;2;2;0;4;0;0;0;0;0;6;0;0;4;0;2;0;2;2;0;4;0;2;2;0;0;0;0;2;0;0;0;4;0;2;0;4;0;0;4;0;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;4;0;4;2;4;0;0;4;0;0;0;2;0;4;0;2;4;0;0;0;0;0;2;2;0;0;2;0;4;4;0;2;2;0;2;4;0;2;0;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;6;4;0;0;0;0;2;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;8;2;6;2;2;0;0;2;4;0;2;6;2;2;0;2;2;2;2;0;2;2;2;4;0;0;2;2;4;0;2;4;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;2;0;0;6;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;4;2;6;0;2;0;4;0;0;4;2;0;0;0;0;2;0;2;0;2;0;0;6;0;0;0;2;2;0;6;6;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;2;2;0;4;0;0;2;4;2;0;0;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;2;0;2;2;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;2;0;2;0;4;0;0;2;6;0;2;0;2;0;0;2;2;4;0;2;4;2;0;2;2;4;0;2;4;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;0;0;2;0;20;0;0;0;0;0;2;2;2;0;2;4;2;10;0;2;0;0;0;4;6;2;0;2;2;2;0;0;0;4;2;0;2;2;2;0;0;0;4;0;0;2;2;8;0;0;0;0;4;0;0;0;2;0;0;0;8;0;2;0;2;4;0;2;0;0;0
