;trump;people;states;president;news;united;new;freedom;fbi;democrats;state;donald;city;house;republican;bill;great;women;federal;media;american;campaign;national;help;department;war;post;obama;job;police;thank;nothing;leader;another;victory;security;university;russian;hillary;james;white;senate;good;election;country;win;currently;together;strong;number;navy;problem;texas;government;outstanding;conference;gun;fake;history;fight;called;monday;reserve;committee;huge;coming;court;provide;radical;senator;member;position;full;political;amendment;meeting;iraq;china;chinese;care;washington;death;2016;clinton;woman;air;matter;investigation;military;administrationthe;1;presidential;remarkable;party;russia;hard;international;public;democrat;incredible
trump;0;2;6;10;2;6;4;2;4;2;0;12;0;4;2;0;2;0;0;0;0;2;0;4;0;0;0;0;2;0;0;2;0;2;0;2;2;4;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;2;2;0;0;2;0;2;2;0;0;2;0;4;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;2;2;2;2;2;0;0;2;0
people;0;0;0;0;4;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;6;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;4;0;20;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;2;2;0;0;2;0;2;2;2;0;2;0;0;2;0;0;4;2;0;2;0;0;0;0;2;2;0;4;4;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0
president;0;0;0;0;2;4;2;2;2;0;4;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;2;2;0;0;2;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
news;0;0;0;0;0;0;4;0;0;8;0;2;0;4;2;0;0;0;0;4;2;2;2;2;0;0;0;0;0;0;2;2;2;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;2;2;0;2;0;2;0;0;2;0;2;0;0;0;0
united;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;2;2;0;0;2;0;2;2;2;0;2;0;0;2;0;0;4;2;0;2;0;0;0;0;2;2;0;4;4;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0
new;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;0;2;2;0;0;2;2;2;2;0;0;0;4;2;0;0;2;0;2;0;0;4;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;4;0
freedom;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;4;2;4;0;0;0;2;0;0;2;0;0;0;4;0;6;2;4;0;2;0;8;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;0;0;0;4;0;0;2;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;4;0;4;0;0;0;0
