;new;mexico;covid19;health;state;mexicans;home;stay;information;#alltogethernm;positive;public;@nmdoh;spread;#coronavirus;cases;officials;announced;continue;care;#nmgov;statewide;community;together;tests;protect;essential;school;order;additional;best;children;workers;please;emergency;across;federal;currently;take;working;slow;businesses;contact;presumptive;#nmleg;states;ensure;totaling;making;services;child;online;people;families;possible;info;critical;find;close;government;social;mexican;tested;fed;novel;funding;insurance;live;important;tune;support;thank;schools;solar;pandemic;energy;grocery;steps;test;proud;part;mitigate;help;response;resources;continues;ensuring;tomorrow;credit;morning;legislation;website;absolutely;staying;glad;update;mexicos;facilities;communities;distancing
new;0;188;144;100;96;100;60;54;54;54;48;30;54;46;48;42;48;44;22;14;26;32;34;26;38;28;16;20;16;30;14;18;20;18;18;24;24;28;18;16;18;14;12;16;20;18;24;24;10;4;8;10;18;16;16;16;14;12;8;12;8;20;18;14;18;10;6;8;8;10;10;16;14;8;14;6;8;8;10;16;14;12;10;12;6;12;14;10;10;14;8;4;8;10;8;8;12;0;10;8
mexico;0;0;100;76;70;28;34;30;40;36;46;18;38;26;30;36;42;40;20;8;22;26;22;16;34;16;10;18;8;28;6;16;16;8;10;20;20;28;6;12;10;10;4;14;16;16;20;24;6;2;6;6;8;10;8;8;8;10;4;6;0;10;16;12;14;10;4;4;6;8;10;10;12;4;10;2;4;0;8;10;12;6;4;10;6;10;10;6;6;10;4;0;6;6;6;4;4;0;4;0
covid19;0;0;0;76;78;42;38;36;56;42;44;28;50;50;34;40;48;42;12;10;4;28;24;10;36;20;14;6;14;24;8;4;6;12;18;2;8;28;8;4;22;10;10;12;0;18;6;24;2;2;4;8;8;2;12;8;8;8;4;6;8;8;18;4;14;2;6;6;2;10;4;2;8;0;10;0;2;4;12;0;8;10;10;14;2;10;4;2;0;8;0;8;8;10;6;10;2;0;4;8
health;0;0;0;0;62;32;36;30;36;30;44;52;32;24;26;28;42;42;12;24;8;20;14;12;36;16;18;10;20;22;4;2;16;6;22;8;8;28;10;12;10;4;4;12;6;10;6;24;4;10;8;2;10;8;8;8;6;2;4;6;2;4;18;4;4;4;6;0;4;2;2;4;2;0;8;0;6;6;2;2;10;4;0;2;0;2;2;4;2;8;2;0;6;4;2;0;2;6;2;0
state;0;0;0;0;0;22;24;18;38;22;40;22;28;6;20;30;50;42;14;6;12;24;6;4;38;8;4;10;4;24;4;10;8;8;12;20;6;28;4;6;2;4;6;12;2;10;6;24;4;6;6;4;12;2;4;6;6;4;2;12;4;2;18;6;6;2;0;6;2;8;4;8;4;2;2;6;4;2;2;2;4;4;2;8;6;6;4;0;2;4;0;2;4;2;2;10;10;0;4;2
mexicans;0;0;0;0;0;0;36;32;12;20;2;8;14;20;16;6;4;6;2;8;14;12;14;14;6;12;14;2;6;4;8;2;6;14;8;4;4;2;10;8;10;6;8;0;8;2;4;2;10;2;4;2;10;6;10;8;4;4;0;6;6;8;2;2;4;0;2;0;6;0;2;8;0;8;8;6;6;8;2;12;2;8;6;0;0;6;4;4;8;2;6;0;6;6;2;0;0;0;6;6
home;0;0;0;0;0;0;0;54;16;32;10;14;4;32;10;12;10;10;4;8;4;8;18;8;8;22;18;2;8;10;2;4;8;10;6;6;6;8;10;4;18;2;10;0;0;0;4;8;0;4;2;2;8;2;12;2;8;4;2;4;12;12;0;2;0;4;0;0;6;0;0;4;2;0;2;0;4;6;0;2;10;8;4;0;4;2;0;4;0;4;0;0;12;14;0;0;2;0;4;12
stay;0;0;0;0;0;0;0;0;20;28;10;8;8;24;10;12;12;12;2;2;2;6;20;10;10;12;14;2;6;12;2;2;2;8;4;0;2;10;6;0;16;2;8;0;0;0;0;10;0;2;2;2;4;0;10;2;4;6;0;4;10;8;0;2;2;0;0;0;6;0;0;4;0;0;2;0;4;6;2;0;6;8;2;0;2;2;2;2;0;2;0;4;10;4;0;0;0;0;0;10
information;0;0;0;0;0;0;0;0;0;18;28;6;20;4;10;16;28;28;0;4;2;12;8;6;26;8;8;2;6;16;8;2;8;8;2;0;0;20;0;2;0;2;0;4;2;2;0;20;4;0;2;4;6;4;4;4;4;14;0;0;2;2;10;6;4;0;2;0;4;0;0;2;0;0;2;0;2;0;2;0;4;2;2;2;6;2;0;2;0;4;2;8;4;0;0;0;0;0;2;2
#alltogethernm;0;0;0;0;0;0;0;0;0;0;6;16;2;18;6;8;8;6;10;8;0;10;18;16;6;18;12;8;2;6;2;2;12;10;10;8;6;6;10;8;8;8;6;0;0;2;4;6;2;0;2;4;2;4;6;2;4;2;4;4;6;6;0;4;0;6;4;2;2;2;0;4;2;0;8;0;2;6;0;2;8;6;4;2;4;0;0;2;0;2;2;0;2;4;2;2;6;0;2;6
positive;0;0;0;0;0;0;0;0;0;0;0;2;22;0;14;28;40;40;0;0;0;12;6;0;32;4;2;0;0;20;0;0;0;0;2;0;0;26;0;0;0;0;4;18;0;6;0;24;0;0;0;2;6;0;2;4;0;2;2;0;0;0;16;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;0;0;4;0;2;0;0;0;4;0;0;4;0;0;0;0;0;0;0
