;#gapol;georgia;state;spread;help;covid19;georgians;safe;together;working;coronavirus;kemp;stop;icymi;gt;families;health;proud;medical;fight;officials;georgias;public;@realdonaldtrump;vulnerable;#covid19;@cdcgov;gov;family;continue;great;battle;hardworking;force;local;care;guidance;unemployment;w;emergency;efforts;healthy;safety;good;passed;dr;work;prevent;2;impact;job;workforce;ensure;year;staff;task;provide;atlanta;support;citizens;cabaniss;hall;town;community;part;leaders;praying;friend;join;prepare;protect;strong;ahead;virus;provided;pandemic;facilities;hard;rates;rt;put;cancer;assured;combat;@vp;low;#stopthespread;amid;access;practices;ones;discuss;weeks;world;partnership;building;life;rural;greyson;following
gt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;6;0;0;0;0;2;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;4;8;0;0;0;0;0;0;2;0;0;6;0;0;0;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;6;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;4;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;2;4;2;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;2;2;0;2;0;2;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;4;0;0;6;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;6;0;2;2;0;2;0;0;0;0;0;0;4;0;2;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;2;0;0;2;0;2;0;0;2;2;2;0;2;0;0;0;4;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;2;0;0;0;2;0;4;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0
officials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0
georgias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;4;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;4;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;2;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
vulnerable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
@cdcgov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4
gov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
