;arizona;#covid19;thank;health;state;arizonans;public;#thearizonaway;arizonas;#aztogether;care;work;continue;@azdhs;support;protect;grateful;help;working;1;testing;safety;new;across;businesses;discuss;spread;resources;safe;guidance;@drcarachrist;kids;home;ensure;together;families;2;@aznationalguard;leaders;information;access;stay;az;continued;law;provide;workers;efforts;latest;school;students;food;nation;medical;3;million;call;professionals;people;communities;important;thanks;budget;#returnstronger;local;schools;partnership;proud;#azbalanced;officials;jobs;great;emergency;healthy;visit;@azcommerce;everyone;service;education;available;president;relief;enforcement;responders;@supt_hoffman;4;take;community;22;order;economy;director;watch;2020;@uarizona;5;year;forward;additional;joining
arizona;0;354;172;194;144;84;132;130;54;102;96;98;120;68;112;80;128;90;92;86;66;60;76;68;62;28;58;50;48;36;38;66;44;66;62;68;40;34;34;46;58;18;32;40;32;56;46;32;18;44;46;20;64;40;30;38;28;46;30;50;26;30;30;48;34;44;20;84;42;26;36;28;38;26;30;46;28;38;42;22;38;40;12;36;32;14;28;20;20;12;38;20;8;20;38;22;28;34;28;12
#covid19;0;0;202;268;124;174;138;44;128;248;122;116;94;172;96;104;68;124;78;104;102;50;52;82;82;126;144;84;46;38;104;54;46;54;44;46;24;44;36;94;62;40;48;56;10;58;62;82;104;34;30;30;26;50;26;32;70;62;18;34;48;36;4;26;30;34;52;22;0;28;18;8;44;58;48;36;18;6;4;52;26;44;10;44;40;22;28;18;24;34;16;48;50;2;48;18;2;8;30;42
thank;0;0;0;86;64;76;50;54;74;120;36;104;24;16;90;42;50;42;42;20;12;30;10;16;6;52;18;18;44;10;18;18;20;10;24;16;2;34;38;4;10;10;42;36;32;16;24;24;18;16;24;6;20;36;0;14;22;38;8;20;20;0;2;32;6;8;42;14;4;12;4;18;14;28;10;8;38;24;16;8;14;28;20;18;16;2;2;18;10;0;20;14;10;6;12;6;10;8;2;4
health;0;0;0;0;64;90;248;30;68;48;174;62;80;80;48;116;62;42;74;66;48;94;24;28;40;20;66;20;36;76;56;22;22;38;22;18;36;10;42;16;48;14;24;46;22;38;44;42;10;10;12;6;6;20;22;12;18;58;10;12;24;14;10;44;16;8;32;12;2;64;0;4;50;14;14;2;20;4;10;12;12;14;4;34;18;14;20;16;8;30;30;20;12;2;38;16;6;16;14;8
state;0;0;0;0;0;70;46;64;44;20;26;48;40;50;30;32;32;20;34;32;42;26;22;114;18;12;10;16;16;12;18;10;6;18;12;10;14;14;28;14;18;4;8;18;18;24;22;6;2;10;8;4;22;14;16;16;14;10;16;22;12;28;24;6;24;8;2;22;14;10;12;12;16;2;14;10;26;24;8;22;2;8;14;22;8;10;2;22;8;6;8;2;2;12;14;4;10;8;6;0
arizonans;0;0;0;0;0;0;54;20;26;66;34;70;68;26;40;38;54;58;38;36;24;36;16;38;10;12;32;24;40;20;4;4;24;28;20;10;20;10;8;16;24;18;16;16;10;10;8;28;4;0;0;18;12;10;18;16;14;18;10;8;18;10;4;22;10;0;20;8;2;16;20;0;14;22;18;12;12;8;8;32;4;16;6;6;2;6;12;16;18;12;2;4;0;12;4;18;0;10;8;0
public;0;0;0;0;0;0;0;30;52;10;30;58;78;44;12;108;40;18;44;46;14;92;18;26;24;18;48;6;28;58;40;16;16;26;16;8;18;10;26;8;12;14;20;30;10;20;14;30;10;16;18;2;6;8;14;8;20;26;2;14;18;12;28;34;18;20;22;12;28;58;6;4;22;14;6;0;12;20;24;4;6;16;4;10;14;10;16;14;12;22;30;14;8;0;12;6;6;20;6;4
#thearizonaway;0;0;0;0;0;0;0;0;24;48;20;24;16;4;30;4;4;36;26;12;2;22;24;10;6;0;2;12;2;0;0;20;16;16;18;18;0;12;2;2;22;2;6;2;46;10;22;0;0;18;28;2;12;10;2;36;4;14;14;24;10;8;68;4;0;22;0;16;82;0;18;14;4;2;2;6;14;6;20;0;4;4;26;2;2;2;4;4;0;0;2;0;2;14;10;4;16;6;2;0
arizonas;0;0;0;0;0;0;0;0;0;26;18;40;22;34;42;44;24;20;24;24;22;30;14;18;26;50;14;12;16;14;38;20;6;6;12;8;6;14;28;4;4;6;10;36;8;12;12;52;22;14;4;2;14;16;12;6;26;12;6;22;6;8;10;10;8;4;22;8;8;10;10;8;14;10;8;14;16;12;10;4;6;8;8;12;10;2;14;16;10;12;30;26;14;14;8;2;10;10;4;12
#aztogether;0;0;0;0;0;0;0;0;0;0;28;34;12;2;66;10;24;58;18;8;4;2;8;10;32;10;20;56;10;0;0;12;20;16;22;16;0;22;2;40;28;20;34;2;4;16;26;12;8;2;12;8;12;38;2;14;6;34;2;14;12;4;0;12;4;8;0;6;0;0;16;4;20;26;30;34;10;2;0;12;10;32;4;24;4;2;2;4;4;2;4;0;0;2;12;2;0;0;4;2
