;covid19;north;todays;stay;watch;ct;330;spread;live;briefing;cases;slow;continue;press;dakota;testing;nd;health;home;positive;care;update;begins;state;new;dakotans;confirmed;capacity;rate;join;healthy;grateful;protect;connected;important;executive;dakotas;tracing;restart;contact;businesses;order;response;#ndsmart;facilities;guidelines;avoid;plan;targeted;tests;smart;states;together;working;@nddoh;safety;care19;citizens;april;follow;pandemic;efforts;nonessential;business;rates;lives;help;grand;surge;#ndsmartrestart;forks;community;actions;nds;save;fight;economy;coronavirus;hospital;lowest;workers;communities;challenging;10;employees;part;access;thanks;3;people;critical;app;allow;whether;test;use;taken;process;closed;sectors
covid19;0;30;42;8;38;42;38;24;28;28;18;22;20;26;16;12;16;10;8;14;14;14;14;10;6;8;10;12;6;12;4;6;4;4;8;6;10;4;4;4;2;6;10;6;4;6;6;8;4;4;2;4;8;6;6;0;2;2;2;8;6;4;4;0;6;2;2;4;6;4;4;2;4;4;4;6;4;2;6;4;2;4;0;4;2;4;0;4;2;4;4;2;2;4;2;2;2;0;0;4
north;0;0;12;10;14;12;14;16;12;10;6;16;8;8;28;2;2;8;10;4;8;2;0;4;8;16;6;0;2;4;4;8;8;4;8;6;14;4;8;4;2;6;2;4;2;2;8;4;4;4;8;6;2;4;0;2;2;4;2;4;2;4;6;2;0;2;6;2;0;2;2;0;6;2;2;2;6;4;0;0;4;2;4;2;2;4;2;4;2;0;6;2;2;0;0;2;4;0;2;2
todays;0;0;0;0;40;40;34;2;22;30;2;2;2;28;8;0;2;0;0;0;0;14;16;4;0;0;0;0;0;14;0;0;0;0;2;2;4;0;2;0;0;2;2;0;2;2;0;2;0;0;2;0;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;10;2;0;4;10;4;0;8;6;0;4;20;2;2;0;0;6;2;6;4;2;2;0;14;0;2;14;0;0;0;2;0;2;0;0;4;6;0;2;8;0;2;4;0;4;2;0;0;2;0;2;0;2;0;0;8;0;2;2;4;2;0;0;2;0;6;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;2;2;0;0
watch;0;0;0;0;0;38;32;0;26;28;0;0;0;26;12;0;2;0;0;0;0;12;14;2;2;0;0;0;0;10;0;2;0;0;4;0;2;2;4;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;6;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0
ct;0;0;0;0;0;0;36;0;22;28;2;0;0;26;10;0;4;0;0;2;0;12;16;0;2;0;2;0;0;12;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
330;0;0;0;0;0;0;0;0;24;24;2;0;0;22;10;0;2;0;0;2;0;12;12;0;2;0;2;0;0;12;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;12;28;16;0;8;8;6;4;10;8;6;0;0;8;2;10;6;10;6;0;4;0;6;4;6;2;2;2;2;2;2;2;2;8;2;8;8;0;4;6;0;2;4;6;0;2;0;0;4;8;0;0;6;2;4;2;4;2;2;2;2;0;4;2;4;0;4;4;4;4;0;0;0;6;2;6;2;0;2;2;2;0;0;2;0;2;2;2;0;2
live;0;0;0;0;0;0;0;0;0;12;2;0;0;10;8;2;2;0;2;2;0;12;6;4;4;0;2;0;0;8;2;0;0;2;2;0;4;0;2;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0
briefing;0;0;0;0;0;0;0;0;0;0;2;0;0;30;6;0;2;0;0;2;0;0;10;0;2;0;2;0;0;8;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
