;trump;united;president;states;people;great;federal;news;house;american;government;new;man;working;party;national;administration;washington;democrats;country;another;love;history;massive;republican;released;north;austin;donald;media;obama;committee;court;americans;justice;campaign;best;white;congress;fake;fbi;intelligence;job;place;city;used;china;big;end;killed;work;money;billion;former;security;trying;police;thing;may;taking;nothing;university;world;military;fire;economy;whether;free;hard;death;countries;jobs;looking;thousands;everyone;john;part;trumps;provide;story;russian;post;judge;senator;months;reserve;article;j;take;friend;running;latest;debate;policy;supporters;press;show;thank;called;leader
trump;0;14;30;10;2;6;10;2;8;2;2;4;0;2;6;0;18;6;0;2;0;0;2;6;4;2;0;0;18;2;4;2;4;2;4;14;0;2;2;0;8;2;2;0;0;6;2;2;0;0;0;2;0;2;0;6;0;2;8;4;4;0;0;2;2;2;2;2;2;0;2;0;4;2;2;0;2;2;2;2;8;8;2;2;4;0;0;10;0;0;2;0;2;4;4;0;0;0;2;0
united;0;0;18;52;2;6;4;0;2;6;6;2;0;6;2;0;6;0;2;6;2;4;2;4;0;6;6;0;6;0;4;0;6;4;4;2;0;2;2;0;0;0;2;0;0;2;4;2;0;2;0;0;2;2;0;0;0;0;4;2;0;2;4;4;0;0;0;0;2;0;8;2;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;4;2;0;0;2;0;0;2;2;2;0;0;2
president;0;0;0;14;4;10;6;2;10;8;0;0;0;2;0;2;2;4;0;2;2;2;2;4;0;2;4;0;10;0;4;4;6;2;2;6;2;2;2;0;4;4;6;0;0;2;2;0;0;2;0;2;0;0;2;4;0;0;4;4;2;2;0;4;4;0;4;0;2;0;0;0;4;2;0;0;4;10;0;4;4;4;4;2;4;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0
states;0;0;0;0;2;4;8;0;2;6;8;2;0;6;2;0;4;0;2;4;0;2;0;2;0;6;6;0;4;0;2;0;6;2;2;0;2;2;2;0;0;0;2;0;0;2;2;2;0;2;2;0;4;2;0;0;0;0;4;2;0;2;4;4;0;0;0;0;2;0;6;2;0;4;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;0;2;0;0;2;2;2;0;0;2
people;0;0;0;0;0;6;0;4;4;6;2;2;2;4;0;4;2;2;0;4;0;2;0;0;2;2;0;0;2;4;2;4;0;0;4;2;6;2;2;4;2;0;2;2;0;2;4;0;0;4;4;2;0;2;0;2;0;4;0;4;0;0;8;4;2;0;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;4;4;0;0;0;6;2;0;0;0;2
great;0;0;0;0;0;0;8;2;0;8;6;6;0;0;0;0;0;2;2;2;6;6;2;2;0;2;4;0;4;2;2;0;2;0;0;0;4;0;0;2;0;0;14;2;0;4;4;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;2;0;2;4;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;4;0;4;0;2;0;2;0;2;2;0;0;2;0;2;0;2
federal;0;0;0;0;0;0;0;0;2;0;16;0;0;4;2;0;0;2;0;0;2;0;4;0;0;2;0;0;6;0;0;0;6;2;0;2;2;2;0;0;0;0;4;0;0;4;0;4;0;0;4;0;2;0;0;0;0;0;2;4;0;0;0;0;0;8;0;0;0;0;0;0;2;4;0;0;0;4;4;0;2;2;6;0;0;12;0;0;0;0;2;2;0;4;0;0;0;0;2;0
news;0;0;0;0;0;0;0;0;2;0;0;2;6;2;0;4;0;0;0;4;2;6;0;0;0;2;0;0;0;4;0;4;0;2;0;2;2;2;0;14;2;2;2;0;2;4;0;0;2;0;0;2;0;2;0;2;0;2;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;4;0;2
house;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;2;0;0;0;4;0;0;0;0;0;8;0;0;0;6;0;16;4;2;4;6;0;4;2;2;0;2;0;2;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;2;0;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;6;2;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;8;0;2;4;2;2;0;4;2;0;0;6;2;4;0;2;0;0;2;6;0;2;0;0;0;0;2;4;0;0;0;4;0;4;2;4;0;0;0;0;2;4;0;0;0;0;2;0;0;2;0;0;4;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2
