;#desots;state;delaware;million;new;delawareans;year;health;children;across;wilmington;help;work;economy;working;50;#edude;students;water;next;care;schools;members;success;dr;good;states;thanks;communities;thank;school;program;future;de;city;farmland;senator;hal;areas;access;governor;foster;mayda;#actionde;decade;preserved;general;continue;assembly;proposal;forward;clean;delawares;#delawares;invest;@delaware_dhss;#keepdelitterfree;ways;budget;insurance;start;simple;progress;rep;education;agriculture;billion;learners;strong;litter;increase;promised;harris;accomplished;behavioral;@agriculturede;rates;early;mayor;mcdowell;cant;legislation;partnership;technology;investments;english;people;making;important;ready;@ltgovhall_long;build;200;lowincome;deserve;watch;together;office;pilot;#cleanwaterde
#desots;0;16;16;10;10;10;10;6;6;6;2;2;10;4;6;6;10;4;2;8;8;4;0;6;4;4;2;4;2;6;2;2;4;2;0;2;6;0;2;4;6;4;2;0;6;2;0;2;0;2;0;2;4;2;6;4;4;6;2;2;4;2;2;4;0;0;4;4;4;2;2;0;2;0;4;2;2;2;0;4;0;0;4;4;0;4;2;0;0;2;6;2;4;4;0;0;0;2;2;0
state;0;0;6;4;0;2;4;0;4;8;4;4;2;2;0;0;4;4;2;0;2;2;2;4;0;2;2;0;2;4;2;2;2;0;6;0;2;4;4;2;2;2;0;4;0;0;0;2;0;2;2;0;0;2;0;0;2;4;2;0;0;2;0;2;0;0;2;0;2;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;4;0;2;0;0;0;2;0;2;0;0;2;4;0
delaware;0;0;0;8;4;4;2;0;2;8;2;0;2;0;6;2;0;2;4;4;2;2;0;0;4;2;4;4;2;2;0;2;2;0;0;4;0;0;0;0;2;2;0;2;6;2;0;4;0;4;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;2;2;0;2
million;0;0;0;0;8;4;4;2;0;6;4;0;0;0;0;12;4;2;8;6;0;2;2;0;0;0;2;0;0;0;4;2;2;0;0;0;4;0;0;0;0;0;0;0;4;0;4;0;4;4;2;6;2;2;6;0;0;0;2;0;0;2;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;4;2;2;2;0;0;0;0;6
new;0;0;0;0;0;2;4;4;0;2;6;2;2;0;0;4;6;2;0;2;0;6;2;0;2;0;0;2;0;0;4;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;4;0;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;2;2;0;0;4;0;2;0;0;2;2;4;4;0;0;0;0;0;6;2;4;0;2;0;0;0;0
delawareans;0;0;0;0;0;0;2;6;0;0;0;0;4;2;8;2;0;0;2;2;2;0;2;2;0;2;4;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;2;2;2;0;2;2;0;2;2;4;0;2;2;2;0;0;2;0;2;0;2;4;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2
year;0;0;0;0;0;0;0;4;0;4;0;2;4;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;6;2;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0
health;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;2;6;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;0;2;2;0;0;0;0;4;0;0;2;0;0;2;6;0;4;0;0;0;0;4;0;0;0;4;0;0;0;0;2;0;2;4;0;0;0;0;0;0
children;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;2;4;2;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;4;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;4;0;0;0;0;2;0;0;2;2;0
across;0;0;0;0;0;0;0;0;0;0;6;4;4;0;0;2;2;2;4;4;0;4;0;2;0;0;0;0;2;0;0;2;0;2;4;0;0;0;2;0;0;0;0;2;4;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;4;0;0;0;2;2
wilmington;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;4;2;0;2;0;4;2;0;0;0;0;0;0;0;4;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;4;0;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;2;2;2;2;2;0;6;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;4;2;2;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;2;2;0
