kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
mississippi,33,mississippi,29,mississippi,29,mississippi,41,mississippi,16,mississippi,12,mississippi,160,mississippi,91,mississippi,69,mississippi,160
state,10,great,24,stay,26,stay,27,people,12,safe,10,state,80,state,50,stay,43,state,80
inauguration,8,state,20,covid19,23,help,22,stay,10,god,9,stay,74,working,44,people,36,stay,74
work,7,working,19,state,20,state,20,state,8,bless,8,people,61,great,33,safe,35,people,61
mississippians,7,mississippians,10,working,19,people,19,help,7,tomorrow,7,working,59,stay,31,help,31,working,59
people,7,forward,10,safe,17,safe,19,tonight,7,briefing,7,safe,57,mississippians,28,state,30,safe,57
days,7,ms,10,home,16,mississippians,19,country,6,flag,6,mississippians,52,work,27,god,28,mississippians,52
together,6,leaders,9,protect,15,health,16,hope,6,please,6,help,51,ms,27,mississippians,24,help,51
honor,6,amazing,9,health,15,take,16,safe,6,stay,6,please,45,together,26,bless,24,please,45
thank,6,work,9,ms,15,care,14,god,6,people,5,covid19,43,people,25,please,23,covid19,43
students,6,education,8,people,14,please,13,continue,6,honor,5,great,42,protect,24,take,22,great,42
working,6,new,8,woman,14,easter,13,family,6,covid19,4,together,42,covid19,23,covid19,20,together,42
step,5,together,8,please,14,protect,13,give,6,loved,4,work,40,please,22,family,18,work,40
historic,5,helping,8,together,12,god,13,live,5,join,4,protect,38,safe,22,health,17,protect,38
website,5,future,8,unemployment,12,home,13,mississippians,5,new,3,home,37,help,20,home,17,home,37
mdoc,5,flooding,7,live,12,bless,12,facebook,5,great,3,ms,33,home,20,care,17,ms,33
best,5,local,7,response,11,order,12,fight,5,dr,3,god,32,thank,18,fight,17,god,32
making,5,protect,7,help,11,covid19,12,safely,5,live,3,health,32,local,17,briefing,16,health,32
system,5,@msema,7,mississippians,11,mississippis,11,take,5,dobbs,3,thank,31,new,17,mississippis,16,thank,31
teachers,4,help,7,work,11,lives,11,hours,5,facebook,3,care,30,forward,16,together,16,care,30
governor,4,tonight,6,facebook,10,working,11,thousands,5,sheriff,3,take,30,continue,15,working,15,take,30
check,4,meeting,6,care,10,together,11,services,5,legislature,3,new,30,health,15,#stayhealthyms,15,new,30
trafficking,4,strong,5,spread,9,fight,10,good,5,praying,3,live,28,leaders,15,order,15,live,28
grateful,4,please,5,outbreak,9,new,10,name,5,someone,3,local,26,woman,15,live,14,local,26
order,4,plan,5,join,9,#stayhealthyms,10,prayer,5,days,3,bless,26,future,14,protect,14,bless,26
blessed,4,nation,5,women,9,family,10,graduates,5,james,3,family,25,across,14,work,13,family,25
committed,4,truly,5,local,9,thank,9,honor,4,country,3,join,24,amazing,14,easter,13,join,24
mission,4,continue,5,across,9,storms,9,#stayhealthyms,4,ones,3,continue,24,join,14,thank,13,continue,24
good,4,governor,5,another,8,spread,9,please,4,deputy,3,order,23,response,14,new,13,order,23
future,4,2020,5,businesses,8,shelterinplace,8,covid19,4,big,2,lives,23,live,14,news,12,lives,23
human,4,prepare,5,benefits,8,lost,8,news,4,risk,2,mississippis,23,unemployment,13,facebook,12,mississippis,23
moment,4,jobs,5,thank,8,work,8,reopen,4,work,2,facebook,22,women,13,lives,12,facebook,22
join,4,thanks,5,workers,8,cant,8,home,4,service,2,workers,22,care,13,230,11,workers,22
mississippian,4,success,4,experts,7,workers,8,mississippis,4,five,2,honor,22,students,12,spread,11,honor,22
parchman,4,flood,4,continue,7,local,8,bless,4,world,2,fight,22,grateful,12,safely,11,fight,22
great,4,people,4,families,7,lot,7,across,3,500,2,tomorrow,21,workers,12,tomorrow,11,tomorrow,21
hardworking,4,elee,4,questions,7,efforts,7,loved,3,could,2,across,21,honor,12,lost,11,across,21
truly,4,conservative,4,neighbors,7,trying,7,hard,3,loss,2,everyone,21,communities,11,still,10,everyone,21
progress,4,situation,4,new,7,virus,7,strong,3,lets,2,forward,20,elee,11,efforts,10,forward,20
kids,4,communities,4,dr,7,sunday,7,2020,3,support,2,grateful,20,everyone,11,everyone,10,grateful,20
nation,4,responders,4,tomorrow,7,increase,7,great,3,banks,2,spread,20,lives,11,give,10,spread,20
lead,4,republican,4,ensure,6,slow,7,hold,3,weekend,2,response,20,nation,11,cant,10,response,20
thanks,3,stay,4,gatherings,6,testing,7,honoring,3,state,2,unemployment,20,president,10,country,10,unemployment,20
national,3,blessed,4,dobbs,6,briefing,7,ceremony,3,still,2,country,19,governor,10,workers,10,country,19
commissioner,3,general,4,everyone,6,230,7,pandemic,3,american,2,news,19,days,10,loved,10,news,19
provide,3,building,4,top,6,still,7,seriously,3,duty,2,tonight,18,blessed,10,lot,10,tonight,18
experienced,3,school,4,schools,6,economic,6,masks,3,news,2,briefing,18,facebook,10,join,10,briefing,18
continue,3,lives,4,efforts,6,weeks,6,act,3,give,2,efforts,18,tomorrow,10,honor,10,efforts,18
job,3,thank,4,world,6,disease,6,nearly,3,truly,2,days,17,step,10,storms,9,days,17
family,3,national,4,country,6,live,6,share,3,coronavirus,2,national,16,helping,10,good,9,national,16
forward,3,night,4,respond,6,storm,6,work,3,house,2,leaders,16,tonight,9,tonight,9,leaders,16
24,3,news,4,taking,6,public,6,graduation,3,life,2,neighbors,16,system,9,local,9,neighbors,16
cant,3,governors,4,signed,6,news,6,230,3,continue,2,share,16,hardworking,9,proud,9,share,16
speak,3,rise,4,grateful,6,neighbors,6,statewide,3,meet,2,president,16,truly,9,great,9,president,16
information,3,23,4,communities,6,unemployment,6,church,3,remember,2,states,16,families,9,emergency,9,states,16
restore,3,birthday,3,president,6,everyone,6,happy,3,next,2,loved,16,law,9,continue,9,loved,16
evil,3,week,3,anyone,6,tests,6,joining,3,family,2,strong,16,businesses,9,share,9,strong,16
prevent,3,red,3,girls,6,support,6,put,3,together,2,good,15,plan,9,virus,9,good,15
celebrate,3,@firstladyofms,3,executive,5,asked,6,proud,3,veto,2,system,15,prepare,9,disease,9,system,15
please,3,honor,3,provides,5,responders,5,may,3,covid,2,future,15,national,9,trying,9,future,15
enough,3,joining,3,coronavirus,5,share,5,funds,3,medgar,2,public,15,thanks,9,neighbors,8,public,15
creating,3,mississippis,3,states,5,system,5,real,3,states,2,woman,15,country,9,asked,8,woman,15
prayer,3,generation,3,leaders,5,#stayhome,5,page,3,help,2,disease,15,spread,9,shelterinplace,8,disease,15
yesterday,3,father,3,hard,5,tornadoes,5,join,3,part,2,#stayhealthyms,15,outbreak,9,prayer,8,#stayhealthyms,15
lt,3,safe,3,trailblazing,5,coming,5,peace,3,able,2,women,15,public,8,testing,8,women,15
israel,3,awareness,3,female,5,could,5,thank,3,everyone,2,emergency,14,@msema,8,sunday,8,emergency,14
opportunity,3,achieve,3,anything,5,safely,5,cares,3,ballots,2,families,14,information,8,ones,8,families,14
trust,3,take,3,testing,5,response,5,start,3,months,2,prayer,14,governors,8,states,8,prayer,14
elee,3,office,3,public,5,grateful,5,stage,3,effort,2,elee,14,general,8,weeks,8,elee,14
everyone,3,brighter,3,pandemic,5,times,5,measures,3,fight,2,ones,14,another,8,support,8,ones,14
law,3,13,3,22,5,economy,5,together,3,brave,2,celebrate,14,take,8,grateful,8,celebrate,14
workers,3,happy,3,fight,5,questions,5,emergency,3,president,2,amazing,14,order,8,hope,8,amazing,14
raise,3,bogue,3,information,5,weather,5,names,3,jackson,2,lot,14,dr,8,may,8,lot,14
greatest,2,mansion,3,call,5,proud,5,working,3,another,2,proud,14,efforts,8,strong,8,proud,14
rates,2,response,3,lives,5,population,5,lost,2,men,2,truly,14,best,8,thousands,7,truly,14
safe,2,couldnt,3,great,5,strong,5,order,2,isiah,2,trying,14,making,8,across,7,trying,14
gang,2,honored,3,employees,5,states,5,crisis,2,white,2,hope,13,benefits,8,services,7,hope,13
correctional,2,rare,3,discuss,5,smart,5,months,2,orders,2,communities,13,states,8,public,7,communities,13
25,2,committed,3,role,5,line,5,weeks,2,blair,2,plan,13,lead,8,economic,7,plan,13
@realdonaldtrump,2,next,3,celebrate,4,emergency,5,todays,2,history,2,week,13,education,8,increase,7,week,13
leading,2,recent,3,pray,4,death,5,pray,2,pain,2,making,13,hard,8,reopen,7,making,13
taylor,2,stronger,3,order,4,churches,5,sports,2,cares,2,responders,13,committed,8,could,7,responders,13
