;#covid19;texas;texans;testing;state;@texashhsc;may;nursing;funding;together;phase;provide;lone;week;spread;response;details;star;teams;health;pandemic;local;ii;@gsf_opentexas;counties;information;residents;texan;announced;homes;services;#texasbizstrong;w;disaster;locations;contain;business;students;additional;travel;activities;@tdem;@texasdshs;spots;thank;across;due;safely;food;surge;service;work;occupancy;hot;strategy;honor;working;fellow;resources;license;drivethru;unleash;following;support;solutions;communities;safe;celebrate;sites;found;connectivity;partnership;serve;program;guidance;issued;june;future;great;minimum;continue;facilities;programs;paso;new;benefits;limited;increase;fees;federal;@teainfo;supplies;efforts;social;banks;leaders;late;entrepreneurs;part;tax
#covid19;0;14;12;14;4;16;4;10;6;6;4;8;4;0;8;8;6;4;8;8;8;6;4;4;4;2;6;2;8;8;2;4;6;0;4;6;2;0;2;0;0;4;4;4;4;2;6;4;2;6;0;6;0;4;2;0;4;2;0;2;4;4;0;4;0;2;2;0;2;2;0;4;2;2;2;2;2;0;0;2;2;4;0;4;4;2;0;2;2;4;0;2;4;2;0;2;2;4;2;0
texas;0;0;14;4;6;4;2;4;2;8;2;4;4;4;6;0;4;4;0;4;0;4;2;4;2;2;2;2;0;4;0;6;2;2;0;4;6;2;2;0;0;4;4;0;2;2;0;6;2;0;0;2;0;0;2;0;4;0;6;0;0;4;2;2;2;2;2;4;0;2;0;2;2;0;4;2;0;4;0;2;4;0;0;0;0;0;0;0;0;0;2;2;4;2;2;2;0;4;2;2
texans;0;0;0;0;4;2;2;2;2;6;0;2;2;2;6;4;0;2;4;4;2;2;0;2;2;2;0;2;0;2;0;2;0;2;0;4;2;0;2;0;0;2;0;2;2;2;0;2;2;2;2;2;0;2;2;2;0;4;6;0;0;4;0;4;0;4;2;0;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;4;2;2
testing;0;0;0;0;2;8;4;6;0;0;2;4;2;0;0;4;4;2;4;4;0;4;2;0;2;0;4;0;2;6;0;0;4;0;4;2;0;0;0;0;0;4;4;2;0;2;0;0;0;4;0;2;0;2;0;0;4;0;0;0;4;0;0;0;0;0;0;0;2;2;0;4;2;0;0;2;0;0;0;0;0;2;0;4;4;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0
state;0;0;0;0;0;0;2;0;4;2;0;2;10;0;2;0;0;10;0;2;0;2;0;0;4;2;0;0;2;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;6;2;2;2;0;2;0;0;0;0;2;2;0;4;0;2;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;4;0;0;0;0
@texashhsc;0;0;0;0;0;0;0;10;4;0;0;8;0;0;2;2;2;0;4;2;6;4;0;0;0;2;6;0;6;8;2;0;6;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;4;0;0;2;2;0;0;0;4;0;2;2;0;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;2;2;2;2;4;0;0;6;4;2;0;0;0;0;0;4;2;0;0;2;2;0;0;2;0;4;0;2;2;0;2;0;0;0;2;2;0;2;2;0;0;2;0;2;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0
nursing;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;0;4;2;2;4;0;0;0;2;4;0;4;8;0;0;4;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
funding;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;4;2;0;0;2;2;2;0;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;2;0;0;0;2;0;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0
