;beshear;kentucky;budget;governor;kentuckians;gov;ab;new;state;commonwealth;jobs;people;education;grant;together;@ltgovcoleman;children;tonight;work;public;capitol;community;opportunity;million;support;means;protect;create;teachers;2020;development;address;building;key;@repkoenig;investment;county;teacher;families;justice;awareness;great;team;raise;serve;generation;cuts;working;proposal;expand;survivors;responsible;14;program;andy;ged;trafficking;face;green;coleman;administration;message;continue;forward;take;ending;month;law;employees;funding;amount;city;across;expected;lt;major;proud;end;@ket;provide;office;college;jan;deserve;fully;year;plans;1;breaking;hunger;school;keene;human;forever;commissioner;committed;block;park;build;ready
beshear;0;2;4;22;12;20;0;10;4;6;2;0;2;12;0;0;0;4;2;2;2;6;0;6;4;0;4;4;0;4;8;2;0;2;0;0;4;0;0;2;4;0;2;2;0;2;0;0;0;2;4;0;2;4;8;0;4;0;2;4;0;6;0;0;0;0;2;0;0;2;0;4;0;2;4;0;2;0;4;0;0;0;4;0;0;2;0;4;0;0;0;6;4;0;6;2;6;2;2;0
kentucky;0;0;6;2;4;0;8;0;6;4;0;8;4;0;8;2;4;4;2;2;8;0;0;2;2;4;2;0;4;2;0;0;4;0;0;4;0;4;2;0;0;4;6;2;0;2;2;4;2;0;2;4;2;2;0;0;2;4;2;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;4;2;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;2;2
budget;0;0;0;4;4;0;0;0;4;4;0;0;4;0;0;2;6;6;2;2;0;2;0;0;4;4;2;0;2;0;0;6;2;0;2;2;0;2;0;0;0;0;0;4;0;0;4;0;6;0;0;4;4;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;4;0;0;0;0;0;0;2;4;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
governor;0;0;0;0;6;0;0;4;4;4;2;0;2;2;0;2;0;2;2;2;0;0;0;2;2;0;0;2;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;6;2;0;0;2;0;2;4;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;4;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0
kentuckians;0;0;0;0;0;4;0;4;4;6;0;4;4;2;4;2;2;2;2;0;4;2;4;2;2;0;2;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;2;0;0;0;2;2;0;0;0;0;2;4;0;0;2;0;2;0;0;0;0;0;0;4;2;4;0;2;4;0;2;0;0;0;2;0;2;0;0;2;4;2;0;2;0
gov;0;0;0;0;0;0;0;6;0;0;0;0;0;10;0;0;0;0;0;0;2;6;0;4;2;0;4;2;0;2;6;0;0;2;0;0;4;0;0;0;4;0;2;2;0;0;0;0;0;0;4;0;0;2;2;0;4;0;0;4;0;2;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;6;4;0;6;0;6;2;2;0
ab;0;0;0;0;0;0;0;2;6;4;4;2;0;0;4;2;2;2;2;2;2;4;2;0;0;0;4;2;0;2;0;0;0;0;0;0;2;0;4;2;2;6;2;0;0;0;0;6;0;2;4;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;4;2;0;0;0;4;0;0;0;2;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;0;0;0;8;0;4;6;0;2;0;0;0;4;0;2;0;4;0;0;4;8;0;4;6;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;2;2;0;2;2;0;2;2;2;0
state;0;0;0;0;0;0;0;0;0;8;0;0;2;0;4;4;4;2;2;0;2;0;2;2;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;4;2;2;0;0;0;0;2;2;0;0;2;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
commonwealth;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;2;4;0;2;2;0;2;0;0;2;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;2;2;0;2;2;0;4;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;2;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
jobs;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;2;0;2;4;0;4;2;8;2;4;2;0;2;0;0;2;2;0;0;2;0;2;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0;2;6;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;2;0;0;2;2;2;0;0;2;0;2;0;0;0;2
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;0;0;2;0;0;0;0;0;0;0;2;0;0;6;0;2;0;6;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;4;0;2;0;0;4;0;0;0;0;0;0
grant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;2;0;2;4;0;0;8;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;6;0;6;2;2;0
