Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
Radical Islam has the will to attack America.  Our goal is to make sure they don’t have the capability.,103,2020-06-27 14:47:53,Twitter for iPhone,687,134,LindseyGrahamSC,1276889995559817216,432895323.0,432895323,False,,en,June,Q2,"['radical', 'islam', 'attack', 'america', 'goal', 'capability']"
In many ways a non-conditions based withdrawal from Afghanistan is a greater blunder than Obama’s withdrawal from Iraq against sound military advice because Afghanistan is where 9/11 originated.,194,2020-06-27 14:47:52,Twitter for iPhone,538,106,LindseyGrahamSC,1276889994762821634,432895323.0,432895323,False,,en,June,Q2,"['ways', 'nonconditions', 'based', 'withdrawal', 'afghanistan', 'greater', 'blunder', 'obamas', 'withdrawal', 'iraq', 'sound', 'military', 'advice', 'afghanistan', '911', 'originated']"
If the Trump Administration continues to withdraw forces – in spite of intelligence reports that radical Islamic elements like ISIS and al-Qaeda are growing in Afghanistan – then the Trump Administration would be making the same mistake in Afghanistan that Obama made in Iraq.,276,2020-06-27 14:47:52,Twitter for iPhone,125,37,LindseyGrahamSC,1276889994024685578,432895323.0,432895323,False,,en,June,Q2,"['trump', 'administration', 'continues', 'withdraw', 'forces', 'spite', 'intelligence', 'reports', 'radical', 'islamic', 'elements', 'isis', 'alqaeda', 'growing', 'afghanistan', 'trump', 'administration', 'making', 'mistake', 'afghanistan', 'obama', 'iraq']"
I have always stated that any withdrawal from Afghanistan needs to be conditions-based regarding our own national security.,150,2020-06-27 14:47:52,Twitter for iPhone,967,222,LindseyGrahamSC,1276889993152208897,,432895323,False,https://t.co/IaOtKxoU8L,en,June,Q2,"['stated', 'withdrawal', 'afghanistan', 'needs', 'conditionsbased', 'regarding', 'national', 'security']"
I expect the Trump Administration to take such allegations seriously and inform Congress immediately as to the reliability of these news reports.,145,2020-06-27 14:37:33,Twitter for iPhone,8175,1591,LindseyGrahamSC,1276887395296776194,432895323.0,432895323,False,,en,June,Q2,"['expect', 'trump', 'administration', 'take', 'allegations', 'seriously', 'inform', 'congress', 'immediately', 'reliability', 'news', 'reports']"
Imperative Congress get to the bottom of recent media reports that Russian GRU units in Afghanistan have offered to pay the Taliban to kill American soldiers with the goal of pushing America out of the region.,236,2020-06-27 14:37:32,Twitter for iPhone,15157,5165,LindseyGrahamSC,1276887393694556161,,432895323,False,https://t.co/dm4QWATzgg,en,June,Q2,"['imperative', 'congress', 'bottom', 'recent', 'media', 'reports', 'russian', 'gru', 'units', 'afghanistan', 'offered', 'pay', 'taliban', 'kill', 'american', 'soldiers', 'goal', 'pushing', 'america', 'region']"
"SC needs a conservative leader with a record of getting things done – not a Nancy Pelosi liberal.

If you stand with me and my campaign, will you RT and help spread the word about Jaime Harrison's far-Left, radical agenda?",271,2020-06-26 17:34:42,Twitter Web App,1955,1088,LindseyGrahamSC,1276569592291360769,,432895323,False,https://t.co/hMsPCWgB0z,en,June,Q2,"['sc', 'needs', 'conservative', 'leader', 'record', 'nancy', 'pelosi', 'liberalif', 'stand', 'campaign', 'rt', 'help', 'spread', 'word', 'jaime', 'harrisons', 'farleft', 'radical', 'agenda']"
"Speaking with @foxandfriends in just a few minutes.

Tune in!",61,2020-06-26 12:34:58,TweetDeck,2232,213,LindseyGrahamSC,1276494160623742976,,432895323,False,,en,June,Q2,"['speaking', '@foxandfriends', 'minutestune']"
"HISTORIC. The U.S. Senate has now confirmed 200 federal judges since President Trump took office.  As Chairman of the Judiciary Committee, I could not be more proud of this important promise we kept to the American people.",246,2020-06-25 19:03:08,Twitter Web App,2221,405,LindseyGrahamSC,1276229457834098692,,432895323,False,https://t.co/SIklDx8zk1,en,June,Q2,"['historic', 'senate', 'confirmed', '200', 'federal', 'judges', 'president', 'trump', 'took', 'office', 'chairman', 'judiciary', 'committee', 'could', 'proud', 'important', 'promise', 'kept', 'american', 'people']"
"When the asylum seeker’s claim is believed to be meritless by the appropriate investigating agencies, there is no right to judicial review, thus allowing for expedited removal.",176,2020-06-25 16:53:26,Twitter for iPhone,678,88,LindseyGrahamSC,1276196815772299271,432895323.0,432895323,False,,en,June,Q2,"['asylum', 'seekers', 'claim', 'believed', 'meritless', 'appropriate', 'investigating', 'agencies', 'judicial', 'review', 'thus', 'allowing', 'expedited', 'removal']"
The court’s decision today upholds the principle enacted by Congress that asylum cases have to meet initial screening criteria to be legitimate.,144,2020-06-25 16:53:25,Twitter for iPhone,740,87,LindseyGrahamSC,1276196814358745089,432895323.0,432895323,False,,en,June,Q2,"['courts', 'decision', 'upholds', 'principle', 'enacted', 'congress', 'asylum', 'cases', 'meet', 'initial', 'screening', 'criteria', 'legitimate']"
"The asylum process has been abused in the past, and I applaud the Trump administration for bringing order to chaos. 

Word spread all over Central America that if you get into the United States and claim asylum, you’re home free.",229,2020-06-25 16:53:25,Twitter for iPhone,137,26,LindseyGrahamSC,1276196812576231424,432895323.0,432895323,False,,en,June,Q2,"['asylum', 'process', 'abused', 'past', 'applaud', 'trump', 'administration', 'bringing', 'order', 'chaos', 'word', 'spread', 'central', 'america', 'united', 'states', 'claim', 'asylum', 'home', 'free']"
Very pleased to see the Supreme Court uphold expedited removal of meritless asylum claims. This decision by the Supreme Court will substantially help shut down the magnet that our asylum laws have created for illegal immigration.,255,2020-06-25 16:53:24,Twitter for iPhone,1473,298,LindseyGrahamSC,1276196809816367104,,432895323,False,https://t.co/dWmwgfRs2J,en,June,Q2,"['pleased', 'supreme', 'court', 'uphold', 'expedited', 'removal', 'meritless', 'asylum', 'claims', 'decision', 'supreme', 'court', 'substantially', 'help', 'shut', 'magnet', 'asylum', 'laws', 'created', 'illegal', 'immigration']"
"🔺 📺 📺 📺 🔺

Will be speaking with @seanhannity in just a few minutes on Fox News.

Tune in!",90,2020-06-25 01:16:23,Twitter for iPhone,2110,254,LindseyGrahamSC,1275961001997893637,,432895323,False,,en,June,Q2,"['speaking', '@seanhannity', 'minutes', 'fox', 'newstune']"
"As chairman of @senjudiciary Committee, I appreciate all the hard work of our members accomplishing this duty.  

The GOP members of the Committee have rolled up their sleeves &amp; made the effort to confirm 200 judges. 

The hard work will pay dividends for generations. Well done!",283,2020-06-24 20:45:23,TweetDeck,1014,172,LindseyGrahamSC,1275892800278736896,432895323.0,432895323,False,,en,June,Q2,"['chairman', '@senjudiciary', 'committee', 'appreciate', 'hard', 'work', 'members', 'accomplishing', 'duty', 'gop', 'members', 'committee', 'rolled', 'sleeves', 'effort', 'confirm', '200', 'judges', 'hard', 'work', 'pay', 'dividends', 'generations']"
"Democratic efforts to shut down the conversation are a betrayal of the moment that presented itself to this nation to move forward.
 
Tim has worked his heart out to try to move the process along. I’m very disappointed that it was shut down before it started by Senator Schumer.",278,2020-06-24 20:07:18,Twitter for iPhone,1671,390,LindseyGrahamSC,1275883216495411202,432895323.0,432895323,False,,en,June,Q2,"['democratic', 'efforts', 'shut', 'conversation', 'betrayal', 'moment', 'presented', 'nation', 'move', 'forward', 'tim', 'worked', 'heart', 'try', 'move', 'process', 'along', 'disappointed', 'shut', 'started', 'senator', 'schumer']"
"After today’s floor speech, I’ve never been more proud of my friend and colleague @SenatorTimScott.
 
Tim explained with passion why we should be moving forward to debate police reform.",185,2020-06-24 20:07:17,Twitter for iPhone,3195,621,LindseyGrahamSC,1275883214981169152,,432895323,False,,en,June,Q2,"['todays', 'floor', 'speech', 'ive', 'proud', 'friend', 'colleague', '@senatortimscott', 'tim', 'explained', 'passion', 'moving', 'forward', 'debate', 'police', 'reform']"
