;great;new;president;trump;united;states;people;house;white;news;state;fbi;country;administration;york;man;media;national;government;former;job;fake;big;may;campaign;2016;called;world;good;russia;american;election;committee;police;thank;post;obama;million;year;republican;party;win;vote;love;help;washington;presidential;justice;wednesday;history;night;military;money;investigation;work;democrats;department;california;announce;released;amazing;best;times;complete;city;order;making;week;federal;another;attack;disaster;working;political;end;team;democratic;report;transcript;james;health;stop;russian;donald;greatest;article;general;proud;source;sent;continue;clinton;court;force;letter;conference;death;economy;service;voted
great;0;16;16;10;0;0;12;6;4;4;10;0;6;4;8;6;2;2;0;4;12;4;6;4;0;2;2;2;0;0;8;2;2;0;6;4;0;0;2;10;6;10;2;6;2;4;0;2;0;2;6;6;4;0;2;6;4;0;4;0;4;0;2;4;4;0;2;2;0;0;0;0;2;2;2;4;0;2;2;0;4;0;0;2;2;0;2;6;0;0;0;0;0;2;2;0;2;0;2;0
new;0;0;8;16;2;4;10;4;6;4;2;4;4;2;24;2;2;8;2;4;6;2;2;0;6;0;0;2;4;0;2;0;6;0;0;6;0;4;8;10;4;6;0;2;2;4;4;2;2;0;2;4;2;2;0;0;0;2;2;2;0;2;12;4;4;0;0;0;2;0;2;0;0;4;0;2;2;4;0;0;0;2;2;4;0;4;2;2;0;2;0;2;2;2;0;0;0;0;0;0
president;0;0;0;34;14;10;4;16;8;8;2;4;0;2;2;6;8;2;6;8;4;6;0;8;6;8;10;2;2;6;6;4;2;0;0;2;2;2;0;2;6;2;2;0;2;4;6;6;4;8;4;0;2;6;2;4;4;4;0;0;0;2;0;0;0;2;4;0;2;0;4;0;2;6;0;2;2;2;4;2;0;2;8;2;2;2;2;2;2;2;0;4;0;2;4;4;0;0;2;0
trump;0;0;0;0;6;6;14;12;10;6;2;6;2;12;2;4;4;2;4;6;4;4;0;6;12;6;4;0;2;8;2;2;2;0;0;0;2;4;0;4;6;6;4;0;4;4;4;10;4;2;8;0;2;4;0;4;4;4;0;0;2;2;2;0;0;2;2;2;4;0;6;2;0;4;0;0;4;2;4;4;0;0;6;12;2;2;2;0;0;2;0;2;2;0;2;4;2;0;0;0
united;0;0;0;0;0;58;6;6;4;6;0;2;2;4;2;4;0;4;8;2;2;4;4;2;0;0;2;8;0;0;0;0;0;0;2;2;4;0;2;2;2;0;2;0;2;0;0;0;0;2;0;4;0;0;0;4;0;0;2;0;0;0;2;4;0;4;4;0;2;0;2;0;0;2;4;0;0;0;0;0;2;2;2;0;2;0;2;0;0;2;6;0;0;0;2;2;0;2;2;0
states;0;0;0;0;0;0;6;6;4;4;0;2;2;2;2;2;0;2;8;2;2;2;4;2;0;0;2;6;0;0;0;0;0;0;2;2;2;0;2;2;2;0;2;0;2;0;0;0;0;2;0;4;0;0;0;4;0;0;2;0;0;0;2;4;0;4;4;0;2;0;0;0;0;0;4;0;0;0;0;0;2;2;2;2;2;0;2;0;0;2;6;0;0;0;2;2;0;2;2;0
people;0;0;0;0;0;0;0;2;0;4;4;2;4;6;4;4;0;2;4;0;4;4;2;2;2;0;2;0;4;2;6;0;2;0;4;2;2;4;4;2;0;2;4;2;2;2;0;2;0;2;2;0;4;2;0;2;0;2;2;0;8;0;4;4;2;0;0;0;2;0;2;0;2;8;2;0;0;0;0;0;4;0;2;4;0;4;0;4;0;0;2;0;0;0;0;0;0;2;4;4
house;0;0;0;0;0;0;0;0;32;2;2;6;0;6;2;0;2;2;2;8;2;0;0;6;6;2;6;0;2;4;4;2;6;0;0;2;4;4;0;2;2;6;8;0;2;6;2;2;6;0;0;2;2;2;0;6;0;2;2;0;0;0;2;2;2;0;2;2;2;0;2;0;2;4;2;2;0;0;4;2;0;2;2;0;4;0;2;2;0;0;2;2;0;0;0;4;2;0;0;2
white;0;0;0;0;0;0;0;0;0;4;0;2;0;4;4;0;2;2;0;6;2;0;0;6;2;0;2;0;0;2;2;2;0;0;0;2;2;0;0;0;0;4;4;0;0;6;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;4;0;0;0;0;4;0;0;2;2;0;4;0;2;0;0;0;2;2;0;0;0;4;2;0;0;0
news;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;10;2;2;0;0;20;4;2;2;0;4;0;2;0;4;0;4;4;0;4;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;2;4;4;2;0;2;0;2;2;0;0;2;0;0;4;0;4;0;0;4;0;0;0;2;0;2;0;4;4;0;0;0;4;2;4;0;0;4;0;0;2;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;4;0;2;2;2;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;0;6;0;0;2;4;6;6;0;2;4;6;0;6;4;0;0;0;6;2;0;0;0;0;2;0;0;0;4;4;2;0;0;0;0;8;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;2;6;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;2;0;0;0;2;0;2;2;0;2;0;0;2;2;4;0;2;2;0;2;0;4;2;2;0;2;0;0;0;0;0;6;2;0;0;2;2;0;0;0;0;0;2;2;0;6;0;2;0;4;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;0;0;2;4;2;0;0;4;0;2;0;0;0;0;16;2;0;0;0;0;0;0;2;2;2;4;4;0;0;0;2;2;0;4;2;0;0;2;0;0;0;0;0;2;0;2;4;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;2;2;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;2;4;2;2;0;2;2;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;10;2;4;0;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;2;4;2;0;6;0;2;2;0;0;2;2;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;10;0;2;0;4;4;0;0;4;2;6;2;2;0;2;2;2;4;0;2;0;0;0;0;2;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;6;4;2;2;2;0;0;0;0;8;0;0;0;4;2;2;6;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;2;2;2;2;0;0;0;0;6;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;4;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;4;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;2;6;0;6;0;2;0;0;0;0;2;2;2;0;2;2;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;4;2;0;0;2;0;0;0;0;2;0;0;0;4;0;2;2;0;0;2;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;2;2;0;0;0;2;0;4;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;4;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;2;2;0;2;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;4;0;2;2;0;0;0;2;2;0;4;2;2;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;12;2;0;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0
