;arizona;#thearizonaway;state;thank;budget;#azbalanced;new;great;arizonas;safety;public;students;work;support;people;jobs;year;thanks;million;lets;2020;everyone;veterans;help;schools;continue;school;tucson;put;proud;nation;life;education;grateful;service;rural;funding;law;kids;investments;access;welcome;opportunity;strengthen;leader;government;making;working;home;communities;#arizona;teachers;forward;country;focused;news;@azcentral;success;invests;growth;women;together;trade;sustainable;family;enforcement;coming;k12;@wmphoenixopen;care;spending;phoenix;#1;tech;protect;resources;important;project;leadership;adonis;hero;national;men;families;#rip;percent;honor;job;trooper;stop;place;navajo;#schoolchoiceweek;arizonans;tools;mexico;fight;4;border;prayers
arizona;0;38;28;28;12;12;14;8;6;10;8;14;12;18;14;12;12;10;4;6;2;12;4;8;8;18;10;6;8;16;16;8;8;14;8;0;4;6;6;4;8;6;12;6;10;4;6;8;10;6;0;4;4;6;10;2;6;4;2;8;6;4;8;4;4;4;4;6;6;6;2;2;4;6;4;4;2;0;4;4;4;4;6;6;6;4;2;2;0;2;4;4;4;2;0;2;8;2;4;6
#thearizonaway;0;0;28;4;48;44;14;8;6;14;14;16;6;2;12;6;14;2;18;22;10;2;10;16;16;8;6;10;12;2;4;2;8;0;4;6;14;12;10;12;6;0;4;4;0;8;10;6;6;4;0;4;6;6;6;0;2;8;10;0;2;6;0;8;0;6;2;4;0;8;4;2;0;2;2;8;6;8;4;6;4;4;2;6;0;4;2;0;2;2;2;2;4;2;6;0;0;2;2;0
state;0;0;0;6;6;2;8;4;8;2;0;2;4;2;6;4;6;12;2;4;6;10;8;2;0;6;4;2;4;6;6;6;2;0;6;2;2;2;0;2;2;2;6;4;0;4;4;2;2;0;0;0;2;8;4;0;0;0;0;2;4;0;2;0;0;2;2;0;2;0;0;2;6;2;4;0;0;0;0;2;2;0;4;0;2;0;6;0;4;4;0;0;2;2;0;0;2;0;0;0
thank;0;0;0;0;0;0;0;6;6;2;0;8;10;14;2;0;0;0;0;0;2;6;0;6;0;2;4;0;0;6;2;4;2;6;2;0;0;2;0;0;4;6;0;0;2;2;2;0;4;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;4;0;0;2;0;2;0;2;2;2;4;2;4;2;0;0;0;2;0;0;2;2;0;0;2;2;2;0;0;0;0;2;2;0
budget;0;0;0;0;0;42;4;0;0;10;12;8;4;2;0;2;0;0;12;4;0;0;8;4;10;2;4;4;6;0;0;0;2;0;2;4;8;4;6;6;4;0;0;2;0;2;4;2;2;4;0;4;0;4;4;0;4;6;12;0;2;0;0;4;0;4;0;6;0;4;2;2;0;0;2;4;2;6;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0
#azbalanced;0;0;0;0;0;0;4;0;0;12;16;10;4;2;0;2;0;0;12;4;0;0;6;2;12;2;4;2;6;0;0;0;2;0;0;6;8;2;4;8;4;0;0;2;0;0;6;2;2;4;0;4;0;2;4;0;4;6;12;0;2;0;0;6;0;2;0;6;0;2;2;2;0;0;0;4;2;6;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0
new;0;0;0;0;0;0;0;2;2;2;2;0;0;0;6;16;8;4;6;2;2;2;2;2;2;4;2;0;2;2;4;0;0;0;2;0;4;2;0;4;0;4;0;4;2;0;0;0;2;0;2;0;4;2;0;0;0;0;0;0;0;2;8;2;0;2;0;2;0;0;4;2;4;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;2;2;0
great;0;0;0;0;0;0;0;0;8;2;2;0;2;2;4;4;4;4;0;0;6;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;4;0;0;0;0;0;0;4;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
arizonas;0;0;0;0;0;0;0;0;0;2;2;0;4;4;4;2;2;2;0;2;8;4;2;2;0;0;0;0;2;2;4;2;2;4;6;2;2;0;2;0;2;2;2;4;2;2;0;2;0;2;0;0;2;0;2;4;2;0;0;6;2;0;0;0;4;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;2;0;2;0;2;0;4;0;0;0;0;2;0;0;0;2;2;2;0;4
safety;0;0;0;0;0;0;0;0;0;0;16;0;4;2;0;0;2;0;4;0;0;0;4;0;2;6;2;0;4;0;0;0;6;2;0;4;4;4;0;6;4;0;0;2;0;0;0;0;0;6;0;0;0;0;4;2;2;0;2;2;0;0;0;4;0;4;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0
public;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;2;0;0;0;4;0;12;2;4;0;4;2;0;0;8;2;0;4;2;0;0;10;4;0;0;2;2;0;4;0;0;4;0;0;0;0;4;2;2;2;2;2;0;0;0;8;0;0;0;8;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
students;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;2;0;6;10;0;6;0;4;0;4;0;2;2;2;0;0;0;4;4;2;4;0;0;2;2;8;2;0;0;0;4;0;0;4;0;0;6;2;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;6;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;4;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;2;0;4;2;2;0;2;0;0;4;4;2;0;2;6;0;0;0;2;0;2;0;0;2;2;4;0;0;0;0;4;2;2;0;0;2;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;2;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;6;0;2;0;4;0;2;0;2;0;2;0;4;0;0;2;0;4;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;6;4;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;4;0;4;0;0;0;4;0;2;0;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;2;0;0;2;0;2;0;2;0;0;0;0;4;0;2;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;4;4;2;0;0;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;4;0;4;0;0;2;6;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;2;2;0;0;0;0;0;0;2;4;2;2;2;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;4;6;0;0;2;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
