;great;trump;president;united;states;people;new;house;american;government;news;national;federal;state;administration;white;obama;country;world;democrats;man;working;republican;party;department;york;help;thank;big;fbi;donald;campaign;media;best;history;senate;job;election;2016;court;police;good;washington;may;presidential;americans;former;russia;love;fake;justice;city;year;article;million;america;bill;military;congress;security;thing;committee;times;left;hard;hillary;law;china;story;post;released;clinton;war;proud;supreme;trying;killed;investigation;nothing;team;important;support;work;act;called;announce;night;vote;report;senator;win;strong;end;radical;political;fact;amazing;russian;week;think
great;0;402;426;308;304;558;392;190;410;134;226;140;102;300;124;154;78;280;128;134;120;212;168;108;54;114;140;264;196;32;84;64;106;138;76;88;344;82;52;38;34;146;92;42;44;100;42;42;224;84;40;62;88;42;36;188;108;110;78;48;86;40;58;80;130;30;50;56;74;52;26;24;50;124;28;76;14;12;60;92;82;86;118;48;56;88;68;66;66;136;84;138;54;56;46;52;136;18;60;54
trump;0;0;1562;402;374;336;474;398;196;152;328;276;128;162;478;326;190;140;100;212;108;152;236;150;172;200;104;72;122;264;838;518;208;62;88;118;122;210;228;88;38;94;212;166;244;100;194;260;42;172;162;58;44;62;50;70;62;72;100;116;88;146;152;88;98;126;68;86;98;116;100;130;56;46;62;98;30;146;90;54;48;52;50;56;116;36;72;64;80;58;98;60;64;56;100;94;40;156;60;80
president;0;0;0;728;676;360;340;434;284;166;286;246;128;150;154;344;306;174;106;150;94;148;120;102;138;146;78;94;94;178;308;140;176;74;138;128;124;128;120;102;30;102;160;122;116;100;226;138;14;150;136;56;48;62;40;106;88;90;110;136;96;96;112;68;108;84;76;110;60;70;80;86;60;46;72;70;32;120;86;36;70;56;46;68;136;36;70;46;56;44;48;66;72;80;78;86;42;118;76;80
united;0;0;0;0;2884;400;216;158;208;254;114;132;116;202;230;114;148;220;256;66;52;144;70;62;100;76;134;90;82;46;108;44;46;48;152;90;90;84;52;146;36;60;60;80;60;78;50;112;46;38;66;56;58;52;68;232;54;164;62;110;54;20;58;52;60;42;56;162;44;62;60;36;146;72;116;60;66;34;42;32;76;86;58;50;64;70;32;44;30;40;32;58;66;76;54;50;48;58;30;40
states;0;0;0;0;0;382;228;154;194;282;112;132;156;210;220;102;140;224;240;72;50;144;80;76;98;64;154;86;88;50;98;48;42;44;142;94;92;82;58;166;32;64;58;74;58;80;48;100;46;34;70;54;62;54;82;228;72;152;66;96;46;24;54;54;52;38;68;150;42;60;48;32;144;68;126;62;64;34;40;28;74;86;60;62;64;82;30;50;36;44;40;58;66;80;44;50;44;54;28;42
people;0;0;0;0;0;0;290;122;678;182;148;136;144;176;134;110;100;186;146;126;70;170;128;114;82;108;138;118;124;78;74;62;100;86;78;76;130;102;90;80;58;108;108;68;62;58;38;44;96;76;60;64;76;40;102;108;52;84;74;80;68;50;72;96;100;40;60;68;50;50;40;36;48;78;60;72;112;38;78;34;54;64;72;72;48;38;60;76;36;52;46;88;60;48;68;66;86;40;54;114
new;0;0;0;0;0;0;0;118;160;144;210;146;122;196;130;108;108;96;90;94;76;120;92;82;100;946;74;50;106;90;126;106;70;96;76;42;84;68;68;48;74;98;128;58;92;76;94;52;84;86;72;186;94;88;70;74;70;48;62;40;48;34;402;46;70;88;54;42;104;124;108;98;42;80;28;38;22;64;46;64;40;46;44;34;86;100;64;32;86;48;58;38;48;34;56;42;54;30;42;44
house;0;0;0;0;0;0;0;0;112;88;134;124;72;66;84;1020;104;42;20;178;28;70;96;70;60;46;56;90;36;78;62;56;62;30;40;178;50;88;76;20;20;38;80;72;48;40;82;74;20;52;46;20;28;30;30;50;120;38;80;66;32;176;36;62;38;34;28;24;30;32;56;34;16;20;12;44;22;70;48;24;40;26;24;64;28;32;38;66;46;26;64;18;50;54;26;26;22;70;64;18
american;0;0;0;0;0;0;0;0;0;76;98;94;66;46;100;78;110;106;54;100;74;102;76;50;68;54;56;78;68;44;38;28;62;32;164;68;56;52;54;48;18;44;60;26;44;74;40;32;40;52;50;22;50;42;24;56;60;74;80;60;38;26;36;46;46;24;26;38;44;48;44;24;48;68;36;48;36;20;40;24;52;24;36;58;52;28;26;36;32;40;30;46;40;56;76;36;36;26;26;36
government;0;0;0;0;0;0;0;0;0;0;44;68;506;74;92;36;54;76;64;60;16;112;40;42;62;32;134;32;50;44;30;46;32;28;38;46;38;40;28;80;26;42;20;36;26;64;22;38;4;20;28;40;38;22;106;28;52;34;36;64;42;28;24;40;22;20;40;26;14;20;52;18;22;12;52;38;20;28;28;6;32;68;34;38;18;34;14;18;46;14;14;26;46;28;22;20;10;86;28;20
news;0;0;0;0;0;0;0;0;0;0;0;60;64;62;58;108;62;44;50;84;58;58;86;54;50;70;36;66;82;62;84;64;342;78;72;42;54;40;60;24;34;98;80;34;70;52;36;58;34;642;44;16;22;28;14;26;26;10;28;26;44;26;50;52;36;36;8;16;74;54;20;38;18;20;20;86;12;42;36;22;30;6;24;18;34;22;32;30;46;28;16;6;34;26;36;36;22;36;40;34
national;0;0;0;0;0;0;0;0;0;0;0;0;46;76;72;82;76;50;34;60;28;42;194;92;40;34;70;48;42;78;80;114;30;40;38;32;22;62;104;32;24;22;64;66;82;92;144;42;16;24;26;22;42;26;46;30;18;24;50;366;20;294;22;22;22;70;40;18;14;32;72;54;16;54;22;22;12;52;20;46;12;34;26;26;38;66;18;28;28;38;30;12;32;16;32;24;24;36;30;14
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;108;90;38;44;26;36;34;32;78;30;26;78;48;106;30;40;42;54;34;22;24;36;44;58;46;20;138;44;36;34;38;22;52;44;12;4;22;48;64;50;20;108;22;38;6;30;44;30;32;26;14;24;28;72;14;10;24;24;24;22;12;52;18;14;60;28;8;28;38;18;52;12;22;20;22;28;18;8;22;22;6;18;24;12;14;40;16
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;44;56;60;46;48;30;76;88;58;180;80;72;52;48;36;32;58;22;36;38;40;24;46;54;72;44;32;68;56;42;32;106;24;44;18;32;56;36;24;56;42;32;30;42;32;16;14;26;16;28;96;50;14;26;12;50;94;20;36;56;28;30;28;22;24;30;50;34;22;28;34;34;32;24;40;40;32;30;10;18;26;30;18;16;16
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;710;44;38;58;20;76;34;30;78;48;64;20;38;48;46;38;38;18;48;26;28;50;38;38;16;24;46;52;28;54;42;62;18;28;48;14;22;22;36;38;26;26;70;56;12;36;36;28;34;18;28;40;22;38;58;20;42;24;16;40;16;42;44;6;32;28;16;38;18;22;12;12;60;16;10;16;28;28;22;38;12;34;28;18
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;28;24;68;46;40;44;30;42;48;30;72;14;66;66;30;48;26;22;46;40;32;28;14;36;24;66;52;18;28;56;42;18;38;26;28;12;22;16;50;18;26;48;50;26;28;34;32;20;34;12;26;36;26;36;34;16;12;8;20;22;44;16;18;22;20;18;16;26;22;34;18;28;16;24;12;32;24;20;18;24;32;36;14
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;30;44;32;32;48;24;78;38;40;10;36;52;38;78;24;18;46;28;30;52;44;32;14;24;64;48;50;40;82;56;6;24;60;6;26;46;28;32;20;18;46;56;16;42;38;12;20;42;34;30;22;42;54;36;34;6;22;40;18;46;46;12;18;12;12;34;34;4;12;12;52;28;10;12;24;28;24;38;8;34;24;10
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;58;36;42;44;34;26;30;46;58;54;12;30;20;16;38;60;22;22;32;22;26;16;30;12;14;22;48;6;16;64;16;20;26;36;14;34;68;26;46;38;20;44;18;24;48;34;20;34;20;28;12;14;18;28;30;26;26;24;12;36;14;34;36;26;14;10;22;18;20;20;28;18;56;18;50;18;38;28;14;20;20
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;46;34;12;16;8;22;22;36;34;12;28;18;26;74;62;4;32;18;8;12;16;26;10;14;18;28;4;12;22;20;4;26;26;16;24;40;4;50;12;26;24;6;10;26;26;12;8;56;26;4;14;10;74;36;10;20;14;4;14;24;24;18;16;14;20;16;16;10;8;10;18;24;30;24;20;16;32;6;4;10
