;trump;president;united;new;people;states;government;great;house;media;party;take;former;love;national;york;san;obama;team;department;white;democrats;university;times;american;free;administration;senate;republican;family;committee;work;group;working;world;looking;job;league;clinton;moving;may;home;event;next;cold;news;agreed;francisco;state;season;hard;country;whether;chief;left;disaster;democrat;federal;j;investigating;says;nba;russia;washington;help;man;100000;amazing;reports;dc;special;post;place;thursday;intelligence;air;warriors;aircraft;told;days;considering;proud;court;conference;navy;nfl;jackson;something;given;affected;fantasy;donald;discuss;radical;america;information;city;chinese;usa;donte
trump;0;24;4;6;4;4;2;6;8;4;0;2;6;0;4;4;0;0;0;4;6;4;0;4;4;0;2;6;2;2;4;4;2;2;4;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;4;4;0;0;0;0;4;6;2;0;4;2;2;0;0;0;2;0;2;4;0;2;4;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;0;0;4;0;0;0;0;0
president;0;0;8;4;2;6;0;2;8;4;2;4;6;0;6;4;0;0;0;2;6;2;0;4;0;0;2;4;2;2;2;4;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;0;2;0;2;2;2;0;0;2;0;0;0;0;2;0;2;4;0;2;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0
united;0;0;0;0;2;18;4;0;2;0;2;2;4;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;2;0;0;4;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0
new;0;0;0;0;4;0;0;2;0;0;0;4;2;2;2;8;0;0;2;0;0;0;0;6;6;2;2;0;0;0;0;2;2;0;2;4;0;2;2;0;2;2;0;0;0;0;2;0;2;4;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;2;2;2;0;0;0;0;2;2;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0
people;0;0;0;0;0;0;0;4;2;6;0;0;0;2;2;2;0;0;2;0;2;0;0;2;4;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;4;4;0;0;0;2;2;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;2;0
states;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0
government;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;8;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;2;2;0;4;0;4;0;0;0;0;2;12;2;0;0;0;0;0;2;4;2;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;6;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
san;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;4;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0
university;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
