;new;city;covid19;york;people;crisis;yorkers;help;health;care;cases;workers;call;lives;take;stay;updates;home;federal;work;response;testing;public;working;fight;protect;hospitals;citys;thank;hospital;coronavirus;government;save;join;close;school;week;symptoms;masks;contact;spread;supplies;positive;feel;continue;ventilators;hall;immediately;coming;tested;staff;information;state;case;doctor;could;everyone;311;still;system;sick;medical;lot;front;good;safe;confirmed;social;families;risk;together;covid;distancing;students;update;community;face;part;692692;needs;schools;disease;family;important;text;anyone;lost;hands;kids;enough;next;days;essential;businesses;weeks;news;nyc;food;cant;million
new;0;178;98;160;38;56;130;54;42;34;48;12;30;18;20;18;28;18;12;16;22;12;18;14;26;18;20;26;14;12;16;8;20;16;8;8;12;12;10;6;22;12;10;18;20;12;22;6;24;4;2;16;24;10;6;10;6;20;8;4;16;4;14;8;6;12;20;14;6;6;16;14;12;4;10;22;14;12;14;4;2;4;8;6;14;10;8;8;2;8;8;14;6;10;10;8;4;10;8;8
city;0;0;100;142;20;54;40;44;30;38;24;14;24;20;10;2;20;6;10;12;40;8;22;18;34;12;20;28;20;10;20;10;18;34;10;4;4;6;10;4;6;12;4;8;6;8;38;12;18;6;6;10;14;10;2;4;10;14;16;4;2;4;10;14;0;10;14;4;10;2;14;2;6;2;12;14;8;10;2;18;4;8;10;6;4;8;10;4;0;4;8;0;8;6;8;0;8;6;2;8
covid19;0;0;0;66;32;46;24;18;16;14;38;2;12;8;4;10;30;10;8;10;50;12;4;6;20;8;2;36;2;2;0;8;6;36;6;6;8;12;0;14;18;2;20;12;2;0;34;8;6;20;0;6;6;6;6;8;2;8;10;6;8;6;8;4;4;6;18;2;6;4;2;2;2;4;16;10;4;6;2;2;2;6;2;10;2;0;4;4;2;2;2;2;2;4;4;6;2;2;2;2
york;0;0;0;0;8;24;16;24;18;18;26;8;16;10;4;4;14;8;6;4;20;6;14;4;12;2;10;24;6;10;10;2;14;16;4;4;4;4;8;2;6;6;4;8;0;8;22;4;14;0;0;6;14;10;2;2;2;8;6;2;2;4;8;6;0;0;16;4;4;0;2;0;4;0;8;12;6;6;0;4;2;2;4;4;2;4;6;4;0;4;8;2;0;4;6;2;2;2;2;6
people;0;0;0;0;0;28;16;16;24;14;6;2;6;8;14;14;4;16;6;8;2;8;6;12;2;14;6;2;2;0;14;6;6;0;8;2;0;6;0;14;6;2;6;8;4;0;0;2;2;4;4;4;8;4;6;8;4;2;6;14;2;4;10;0;10;12;2;8;2;10;6;2;8;2;8;2;4;6;2;0;0;6;4;4;2;2;6;2;2;2;4;10;2;2;2;10;8;2;6;2
crisis;0;0;0;0;0;0;16;20;20;22;8;8;10;8;18;8;6;10;6;10;6;4;10;8;12;2;8;2;6;6;2;8;8;8;4;2;2;2;6;4;14;6;2;10;8;0;4;4;12;2;6;4;2;0;2;18;8;8;10;8;4;0;4;6;0;2;0;0;10;2;6;2;0;2;2;4;4;0;2;4;2;0;0;0;4;4;2;4;2;6;2;0;4;4;2;2;4;2;4;2
yorkers;0;0;0;0;0;0;0;28;22;16;18;2;18;6;10;14;12;12;6;6;0;4;0;10;14;12;6;6;10;2;2;4;8;0;2;0;6;6;2;4;16;8;4;10;18;4;0;2;6;2;0;8;10;0;4;0;2;10;2;2;10;2;8;2;2;8;0;4;4;4;16;14;4;2;2;8;6;4;14;2;0;0;2;2;12;8;6;4;2;6;0;6;6;6;4;2;2;8;6;4
help;0;0;0;0;0;0;0;0;26;22;8;6;20;14;8;8;0;6;22;2;0;6;18;12;8;6;18;6;12;8;2;12;14;2;4;0;4;4;2;4;10;16;0;8;4;6;0;8;14;0;8;4;4;0;8;6;6;8;4;0;4;10;6;6;8;2;2;4;6;4;4;0;4;2;2;4;2;2;0;10;2;2;2;4;0;6;2;4;2;8;0;6;6;4;4;4;8;4;6;0
health;0;0;0;0;0;0;0;0;0;70;6;30;18;12;4;12;0;12;0;8;2;8;10;10;12;16;8;4;8;2;2;0;12;6;6;2;0;6;0;2;4;2;0;10;4;2;0;2;8;2;2;0;8;0;8;2;6;4;2;18;6;6;2;8;4;2;0;0;4;2;0;0;2;6;4;4;2;0;0;14;4;4;2;4;0;8;4;6;4;0;4;4;6;0;4;0;2;2;4;2
care;0;0;0;0;0;0;0;0;0;0;6;28;22;12;4;4;0;4;0;8;2;4;10;2;12;10;12;2;10;6;4;2;10;6;2;4;0;10;0;4;6;2;0;4;2;2;0;4;6;2;4;6;2;2;8;0;2;14;2;18;2;6;2;8;2;0;0;0;6;0;0;0;0;6;0;0;0;0;0;12;4;2;2;0;0;6;4;2;4;2;2;0;4;0;2;0;2;2;6;4
cases;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;8;0;4;4;0;4;0;2;2;2;2;2;0;2;2;0;0;2;4;0;2;4;0;4;6;2;6;4;2;0;2;0;0;0;0;4;4;0;2;2;2;2;0;2;2;0;2;4;0;2;18;2;6;0;0;0;2;0;4;4;0;0;0;0;0;4;0;0;0;0;10;0;0;0;2;2;0;2;0;0;0;0;0;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;2;0;6;0;0;4;2;2;4;2;0;10;0;0;0;6;2;0;8;2;0;0;0;0;2;0;2;0;2;2;2;2;0;8;0;0;0;0;0;2;0;0;4;2;2;0;6;4;2;0;0;4;0;2;0;0;4;0;0;0;0;0;2;4;0;4;0;0;0;4;2;4;2;0;0;8;0;0;0;2;8;0;2
