;trump;people;president;new;great;court;united;federal;campaign;government;house;democrats;department;history;states;story;donald;congress;republican;senate;world;supreme;american;released;bernie;country;news;whether;fire;sanders;book;investigation;may;radical;debate;monday;york;help;order;beautiful;national;media;law;best;obama;investigating;another;thank;bill;2016;presidential;wonderful;center;asking;2;white;3;election;later;detroit;folks;stop;combat;die;coming;lost;photo;businesses;texas;austin;nations;sen;@nytimes;create;controversial;youtube;j;ohio;real;vibe;10;information;person;quick;thing;failed;love;biggest;provide;intelligence;finally;fbi;justice;year;everyone;drug;security;times;trying;4
trump;0;4;14;6;6;4;2;4;12;4;8;2;4;2;2;0;10;2;6;2;0;4;2;4;2;4;0;4;6;2;0;0;4;0;2;2;2;0;2;2;0;2;2;0;4;6;2;0;0;4;6;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;2;2;0;0;0;4;2;2;4;2;0;0;0;2;0;2
people;0;0;6;4;6;2;2;0;0;0;2;2;2;4;0;0;0;4;2;0;2;2;6;0;2;2;0;0;2;2;0;0;2;2;0;0;2;0;0;2;2;0;0;4;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2
president;0;0;0;6;4;2;8;4;0;2;8;0;4;0;8;0;2;4;2;2;0;2;4;2;2;2;0;0;4;2;0;4;2;0;0;0;4;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;6;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;2;2;2;0;2;2;0;0;4;4;0;2
new;0;0;0;0;4;2;2;6;2;2;2;2;4;2;0;0;0;0;2;0;0;0;0;4;4;2;2;0;0;4;2;2;0;0;0;0;8;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;6;0;0
great;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
court;0;0;0;0;0;0;2;6;2;2;0;0;2;0;2;0;0;2;2;0;0;8;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2
united;0;0;0;0;0;0;0;0;0;2;4;0;2;0;12;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
campaign;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;4;0;4;0;0;2;0;2;2;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;4;6;0;0;0;2;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;4;0;0;0;0;0;2;2;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;8;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0
